state_name,year,condition_status,counts,condition
Florida,2003,Unknown or Not Stated,29,pregnancy-associated_hypertension
Florida,2004,Yes,9158,pregnancy-associated_hypertension
Florida,2004,No,208389,pregnancy-associated_hypertension
Florida,2004,Unknown or Not Stated,506,pregnancy-associated_hypertension
Florida,2005,Yes,10700,pregnancy-associated_hypertension
Florida,2005,No,214538,pregnancy-associated_hypertension
Florida,2005,Unknown or Not Stated,1002,pregnancy-associated_hypertension
Florida,2006,Yes,10772,pregnancy-associated_hypertension
Florida,2006,No,224978,pregnancy-associated_hypertension
Florida,2006,Unknown or Not Stated,1052,pregnancy-associated_hypertension
Georgia,2003,Yes,3173,pregnancy-associated_hypertension
Georgia,2003,No,132236,pregnancy-associated_hypertension
Georgia,2003,Unknown or Not Stated,570,pregnancy-associated_hypertension
Georgia,2004,Yes,3681,pregnancy-associated_hypertension
Georgia,2004,No,134565,pregnancy-associated_hypertension
Georgia,2004,Unknown or Not Stated,603,pregnancy-associated_hypertension
Georgia,2005,Yes,4010,pregnancy-associated_hypertension
Georgia,2005,No,137562,pregnancy-associated_hypertension
Georgia,2005,Unknown or Not Stated,628,pregnancy-associated_hypertension
Georgia,2006,Yes,4420,pregnancy-associated_hypertension
Georgia,2006,No,142760,pregnancy-associated_hypertension
Georgia,2006,Unknown or Not Stated,1453,pregnancy-associated_hypertension
Hawaii,2003,Yes,632,pregnancy-associated_hypertension
Hawaii,2003,No,17467,pregnancy-associated_hypertension
Hawaii,2004,Yes,783,pregnancy-associated_hypertension
Hawaii,2004,No,17497,pregnancy-associated_hypertension
Hawaii,2005,Yes,684,pregnancy-associated_hypertension
Hawaii,2005,No,17239,pregnancy-associated_hypertension
Hawaii,2006,Yes,640,pregnancy-associated_hypertension
Hawaii,2006,No,18342,pregnancy-associated_hypertension
Idaho,2003,Yes,1100,pregnancy-associated_hypertension
Idaho,2003,No,20647,pregnancy-associated_hypertension
Idaho,2003,Unknown or Not Stated,53,pregnancy-associated_hypertension
Idaho,2004,Yes,1249,pregnancy-associated_hypertension
Idaho,2004,No,21105,pregnancy-associated_hypertension
Idaho,2004,Unknown or Not Stated,178,pregnancy-associated_hypertension
Idaho,2005,Yes,1345,pregnancy-associated_hypertension
Idaho,2005,No,21634,pregnancy-associated_hypertension
Idaho,2005,Unknown or Not Stated,83,pregnancy-associated_hypertension
Idaho,2006,Yes,1352,pregnancy-associated_hypertension
Idaho,2006,No,22780,pregnancy-associated_hypertension
Idaho,2006,Unknown or Not Stated,52,pregnancy-associated_hypertension
Illinois,2003,Yes,6074,pregnancy-associated_hypertension
Illinois,2003,No,176384,pregnancy-associated_hypertension
Illinois,2003,Unknown or Not Stated,37,pregnancy-associated_hypertension
Illinois,2004,Yes,6005,pregnancy-associated_hypertension
Illinois,2004,No,174748,pregnancy-associated_hypertension
Illinois,2004,Unknown or Not Stated,25,pregnancy-associated_hypertension
Illinois,2005,Yes,6039,pregnancy-associated_hypertension
Illinois,2005,No,172961,pregnancy-associated_hypertension
Illinois,2005,Unknown or Not Stated,20,pregnancy-associated_hypertension
Illinois,2006,Yes,6080,pregnancy-associated_hypertension
Illinois,2006,No,174481,pregnancy-associated_hypertension
Illinois,2006,Unknown or Not Stated,11,pregnancy-associated_hypertension
Indiana,2003,Yes,3896,pregnancy-associated_hypertension
Indiana,2003,No,82520,pregnancy-associated_hypertension
Indiana,2003,Unknown or Not Stated,18,pregnancy-associated_hypertension
Indiana,2004,Yes,3791,pregnancy-associated_hypertension
Indiana,2004,No,83345,pregnancy-associated_hypertension
Indiana,2005,Yes,3909,pregnancy-associated_hypertension
Indiana,2005,No,83280,pregnancy-associated_hypertension
Indiana,2006,Yes,3615,pregnancy-associated_hypertension
Indiana,2006,No,85001,pregnancy-associated_hypertension
Indiana,2006,Unknown or Not Stated,15,pregnancy-associated_hypertension
Iowa,2003,Yes,1898,pregnancy-associated_hypertension
Iowa,2003,No,36261,pregnancy-associated_hypertension
Iowa,2003,Unknown or Not Stated,15,pregnancy-associated_hypertension
Iowa,2004,Yes,1995,pregnancy-associated_hypertension
Iowa,2004,No,36431,pregnancy-associated_hypertension
Iowa,2004,Unknown or Not Stated,12,pregnancy-associated_hypertension
Iowa,2005,Yes,2089,pregnancy-associated_hypertension
Iowa,2005,No,37204,pregnancy-associated_hypertension
Iowa,2005,Unknown or Not Stated,18,pregnancy-associated_hypertension
Iowa,2006,Yes,2211,pregnancy-associated_hypertension
Iowa,2006,No,38374,pregnancy-associated_hypertension
Iowa,2006,Unknown or Not Stated,22,pregnancy-associated_hypertension
Kansas,2003,Yes,1328,pregnancy-associated_hypertension
Kansas,2003,No,38138,pregnancy-associated_hypertension
Kansas,2003,Unknown or Not Stated,10,pregnancy-associated_hypertension
Kansas,2004,Yes,1338,pregnancy-associated_hypertension
Kansas,2004,No,38309,pregnancy-associated_hypertension
Kansas,2004,Unknown or Not Stated,22,pregnancy-associated_hypertension
Kansas,2005,Yes,1462,pregnancy-associated_hypertension
Kansas,2005,No,38424,pregnancy-associated_hypertension
Kansas,2006,Yes,1585,pregnancy-associated_hypertension
Kansas,2006,No,39383,pregnancy-associated_hypertension
Kentucky,2003,Yes,2939,pregnancy-associated_hypertension
Kentucky,2003,No,50922,pregnancy-associated_hypertension
Kentucky,2003,Unknown or Not Stated,1375,pregnancy-associated_hypertension
Kentucky,2004,Yes,3465,pregnancy-associated_hypertension
Kentucky,2004,No,52041,pregnancy-associated_hypertension
Kentucky,2004,Unknown or Not Stated,214,pregnancy-associated_hypertension
Kentucky,2005,Yes,3560,pregnancy-associated_hypertension
Kentucky,2005,No,52783,pregnancy-associated_hypertension
Kentucky,2005,Unknown or Not Stated,101,pregnancy-associated_hypertension
Kentucky,2006,Yes,3467,pregnancy-associated_hypertension
Kentucky,2006,No,54620,pregnancy-associated_hypertension
Kentucky,2006,Unknown or Not Stated,163,pregnancy-associated_hypertension
Louisiana,2003,Yes,2096,pregnancy-associated_hypertension
Louisiana,2003,No,62846,pregnancy-associated_hypertension
Louisiana,2003,Unknown or Not Stated,98,pregnancy-associated_hypertension
Louisiana,2004,Yes,2062,pregnancy-associated_hypertension
Louisiana,2004,No,63227,pregnancy-associated_hypertension
Louisiana,2004,Unknown or Not Stated,80,pregnancy-associated_hypertension
Louisiana,2005,Yes,2449,pregnancy-associated_hypertension
Louisiana,2005,No,58451,pregnancy-associated_hypertension
Louisiana,2005,Unknown or Not Stated,37,pregnancy-associated_hypertension
Louisiana,2006,Yes,2455,pregnancy-associated_hypertension
Louisiana,2006,No,60884,pregnancy-associated_hypertension
Louisiana,2006,Unknown or Not Stated,37,pregnancy-associated_hypertension
Maine,2003,Yes,791,pregnancy-associated_hypertension
Maine,2003,No,13053,pregnancy-associated_hypertension
Maine,2003,Unknown or Not Stated,11,pregnancy-associated_hypertension
Maine,2004,Yes,741,pregnancy-associated_hypertension
Maine,2004,No,13192,pregnancy-associated_hypertension
Maine,2004,Unknown or Not Stated,11,pregnancy-associated_hypertension
Maine,2005,Yes,731,pregnancy-associated_hypertension
Maine,2005,No,13359,pregnancy-associated_hypertension
Maine,2005,Unknown or Not Stated,22,pregnancy-associated_hypertension
Maine,2006,Yes,744,pregnancy-associated_hypertension
Maine,2006,No,13383,pregnancy-associated_hypertension
Maine,2006,Unknown or Not Stated,24,pregnancy-associated_hypertension
Maryland,2003,Yes,2795,pregnancy-associated_hypertension
Maryland,2003,No,72133,pregnancy-associated_hypertension
Maryland,2004,Yes,2889,pregnancy-associated_hypertension
Maryland,2004,No,71731,pregnancy-associated_hypertension
Maryland,2005,Yes,3048,pregnancy-associated_hypertension
Maryland,2005,No,71930,pregnancy-associated_hypertension
Maryland,2006,Yes,2940,pregnancy-associated_hypertension
Maryland,2006,No,74552,pregnancy-associated_hypertension
Massachusetts,2003,Yes,2656,pregnancy-associated_hypertension
Massachusetts,2003,No,77295,pregnancy-associated_hypertension
Massachusetts,2003,Unknown or Not Stated,233,pregnancy-associated_hypertension
Massachusetts,2004,Yes,2674,pregnancy-associated_hypertension
Massachusetts,2004,No,75592,pregnancy-associated_hypertension
Massachusetts,2004,Unknown or Not Stated,218,pregnancy-associated_hypertension
Massachusetts,2005,Yes,2595,pregnancy-associated_hypertension
Massachusetts,2005,No,74141,pregnancy-associated_hypertension
