	"2016"	"2016"	"Yes"	"1"	33829
	"2016"	"2016"	"No"	"2"	3908265
	"2017"	"2017"	"Yes"	"1"	35336
	"2017"	"2017"	"No"	"2"	3816453
	"2018"	"2018"	"Yes"	"1"	35735
	"2018"	"2018"	"No"	"2"	3753095
	"2019"	"2019"	"Yes"	"1"	36566
	"2019"	"2019"	"No"	"2"	3707690
	"2020"	"2020"	"Yes"	"1"	38093
	"2020"	"2020"	"No"	"2"	3571491
	"2021"	"2021"	"Yes"	"1"	39736
	"2021"	"2021"	"No"	"2"	3619351
