state_name,Condition,Year,Counts
Kansas,No,2021,34337
Kentucky,Yes,2016,556
Kentucky,Yes,2017,582
Kentucky,Yes,2018,533
Kentucky,Yes,2019,557
Kentucky,Yes,2020,627
Kentucky,Yes,2021,632
Kentucky,No,2016,54612
Kentucky,No,2017,53978
Kentucky,No,2018,53249
Kentucky,No,2019,52366
Kentucky,No,2020,50498
Kentucky,No,2021,51343
Louisiana,Yes,2016,712
Louisiana,Yes,2017,624
Louisiana,Yes,2018,647
Louisiana,Yes,2019,631
Louisiana,Yes,2020,624
Louisiana,Yes,2021,682
Louisiana,No,2016,62466
Louisiana,No,2017,60394
Louisiana,No,2018,58968
Louisiana,No,2019,58309
Louisiana,No,2020,56703
Louisiana,No,2021,56753
Maine,Yes,2016,111
Maine,Yes,2017,88
Maine,Yes,2018,108
Maine,Yes,2019,99
Maine,Yes,2020,116
Maine,Yes,2021,132
Maine,No,2016,12579
Maine,No,2017,12208
Maine,No,2018,12202
Maine,No,2019,11678
Maine,No,2020,11423
Maine,No,2021,11874
Maryland,Yes,2016,719
Maryland,Yes,2017,786
Maryland,Yes,2018,751
Maryland,Yes,2019,669
Maryland,Yes,2020,750
Maryland,Yes,2021,718
Maryland,No,2016,72406
Maryland,No,2017,70786
Maryland,No,2018,70287
Maryland,No,2019,69469
Maryland,No,2020,67765
Maryland,No,2021,67525
Massachusetts,Yes,2016,576
Massachusetts,Yes,2017,675
Massachusetts,Yes,2018,650
Massachusetts,Yes,2019,648
Massachusetts,Yes,2020,609
Massachusetts,Yes,2021,844
Massachusetts,No,2016,70645
Massachusetts,No,2017,69956
Massachusetts,No,2018,68383
Massachusetts,No,2019,68332
Massachusetts,No,2020,65586
Massachusetts,No,2021,68081
Michigan,Yes,2016,974
Michigan,Yes,2017,953
Michigan,Yes,2018,943
Michigan,Yes,2019,1008
Michigan,Yes,2020,1020
Michigan,Yes,2021,1043
Michigan,No,2016,112073
Michigan,No,2017,110161
Michigan,No,2018,108820
Michigan,No,2019,106639
Michigan,No,2020,102872
Michigan,No,2021,103792
Minnesota,Yes,2016,611
Minnesota,Yes,2017,640
Minnesota,Yes,2018,605
Minnesota,Yes,2019,641
Minnesota,Yes,2020,730
Minnesota,Yes,2021,771
Minnesota,No,2016,69074
Minnesota,No,2017,67852
Minnesota,No,2018,66696
Minnesota,No,2019,65307
Minnesota,No,2020,62659
Minnesota,No,2021,63609
Mississippi,Yes,2016,277
Mississippi,Yes,2017,313
Mississippi,Yes,2018,317
Mississippi,Yes,2019,351
Mississippi,Yes,2020,359
Mississippi,Yes,2021,393
Mississippi,No,2016,37640
Mississippi,No,2017,37034
Mississippi,No,2018,36666
Mississippi,No,2019,36274
Mississippi,No,2020,35109
Mississippi,No,2021,34754
Missouri,Yes,2016,628
Missouri,Yes,2017,670
Missouri,Yes,2018,676
Missouri,Yes,2019,754
Missouri,Yes,2020,747
Missouri,Yes,2021,857
Missouri,No,2016,74076
Missouri,No,2017,72364
Missouri,No,2018,72593
Missouri,No,2019,71370
Missouri,No,2020,68536
Missouri,No,2021,68594
Montana,Yes,2016,95
Montana,Yes,2017,122
Montana,Yes,2018,96
Montana,Yes,2019,112
Montana,Yes,2020,113
Montana,Yes,2021,115
Montana,No,2016,12175
Montana,No,2017,11670
Montana,No,2018,11411
Montana,No,2019,10965
Montana,No,2020,10677
Montana,No,2021,11116
Nebraska,Yes,2016,248
Nebraska,Yes,2017,270
Nebraska,Yes,2018,274
Nebraska,Yes,2019,299
Nebraska,Yes,2020,311
Nebraska,Yes,2021,311
Nebraska,No,2016,26304
Nebraska,No,2017,25525
Nebraska,No,2018,25187
Nebraska,No,2019,24426
