"""Notes""","""State of Residence""","""State of Residence Code""","""Year""","""Year Code""","""Gestational Diabetes""","""Gestational Diabetes Code""","Births"
NA,"""Minnesota""","""27""","""2017""","""2017""","""Yes""","""1""",5102
NA,"""Minnesota""","""27""","""2017""","""2017""","""No""","""2""",63390
NA,"""Minnesota""","""27""","""2017""","""2017""","""Unknown or Not Stated""","""9""",103
NA,"""Minnesota""","""27""","""2018""","""2018""","""Yes""","""1""",4950
NA,"""Minnesota""","""27""","""2018""","""2018""","""No""","""2""",62351
NA,"""Minnesota""","""27""","""2018""","""2018""","""Unknown or Not Stated""","""9""",43
NA,"""Minnesota""","""27""","""2019""","""2019""","""Yes""","""1""",4857
NA,"""Minnesota""","""27""","""2019""","""2019""","""No""","""2""",61091
NA,"""Minnesota""","""27""","""2019""","""2019""","""Unknown or Not Stated""","""9""",79
NA,"""Minnesota""","""27""","""2020""","""2020""","""Yes""","""1""",5366
NA,"""Minnesota""","""27""","""2020""","""2020""","""No""","""2""",58023
NA,"""Minnesota""","""27""","""2020""","""2020""","""Unknown or Not Stated""","""9""",54
NA,"""Minnesota""","""27""","""2021""","""2021""","""Yes""","""1""",6031
NA,"""Minnesota""","""27""","""2021""","""2021""","""No""","""2""",58349
NA,"""Minnesota""","""27""","""2021""","""2021""","""Unknown or Not Stated""","""9""",45
NA,"""Mississippi""","""28""","""2016""","""2016""","""Yes""","""1""",1312
NA,"""Mississippi""","""28""","""2016""","""2016""","""No""","""2""",36605
NA,"""Mississippi""","""28""","""2016""","""2016""","""Unknown or Not Stated""","""9""",11
NA,"""Mississippi""","""28""","""2017""","""2017""","""Yes""","""1""",1415
NA,"""Mississippi""","""28""","""2017""","""2017""","""No""","""2""",35932
NA,"""Mississippi""","""28""","""2017""","""2017""","""Unknown or Not Stated""","""9""",10
NA,"""Mississippi""","""28""","""2018""","""2018""","""Yes""","""1""",1397
NA,"""Mississippi""","""28""","""2018""","""2018""","""No""","""2""",35586
NA,"""Mississippi""","""28""","""2018""","""2018""","""Unknown or Not Stated""","""9""",17
NA,"""Mississippi""","""28""","""2019""","""2019""","""Yes""","""1""",1495
NA,"""Mississippi""","""28""","""2019""","""2019""","""No""","""2""",35130
NA,"""Mississippi""","""28""","""2019""","""2019""","""Unknown or Not Stated""","""9""",11
NA,"""Mississippi""","""28""","""2020""","""2020""","""Yes""","""1""",1678
NA,"""Mississippi""","""28""","""2020""","""2020""","""No""","""2""",33790
NA,"""Mississippi""","""28""","""2021""","""2021""","""Yes""","""1""",1889
NA,"""Mississippi""","""28""","""2021""","""2021""","""No""","""2""",33258
NA,"""Missouri""","""29""","""2016""","""2016""","""Yes""","""1""",4558
NA,"""Missouri""","""29""","""2016""","""2016""","""No""","""2""",70146
NA,"""Missouri""","""29""","""2017""","""2017""","""Yes""","""1""",4861
NA,"""Missouri""","""29""","""2017""","""2017""","""No""","""2""",68173
NA,"""Missouri""","""29""","""2018""","""2018""","""Yes""","""1""",5073
NA,"""Missouri""","""29""","""2018""","""2018""","""No""","""2""",68196
NA,"""Missouri""","""29""","""2019""","""2019""","""Yes""","""1""",5301
NA,"""Missouri""","""29""","""2019""","""2019""","""No""","""2""",66823
NA,"""Missouri""","""29""","""2020""","""2020""","""Yes""","""1""",5937
NA,"""Missouri""","""29""","""2020""","""2020""","""No""","""2""",63346
NA,"""Missouri""","""29""","""2021""","""2021""","""Yes""","""1""",6107
NA,"""Missouri""","""29""","""2021""","""2021""","""No""","""2""",63344
NA,"""Montana""","""30""","""2016""","""2016""","""Yes""","""1""",528
NA,"""Montana""","""30""","""2016""","""2016""","""No""","""2""",11742
NA,"""Montana""","""30""","""2016""","""2016""","""Unknown or Not Stated""","""9""",12
NA,"""Montana""","""30""","""2017""","""2017""","""Yes""","""1""",526
NA,"""Montana""","""30""","""2017""","""2017""","""No""","""2""",11266
NA,"""Montana""","""30""","""2018""","""2018""","""Yes""","""1""",568
NA,"""Montana""","""30""","""2018""","""2018""","""No""","""2""",10939
NA,"""Montana""","""30""","""2019""","""2019""","""Yes""","""1""",554
NA,"""Montana""","""30""","""2019""","""2019""","""No""","""2""",10523
NA,"""Montana""","""30""","""2020""","""2020""","""Yes""","""1""",677
NA,"""Montana""","""30""","""2020""","""2020""","""No""","""2""",10113
NA,"""Montana""","""30""","""2021""","""2021""","""Yes""","""1""",728
NA,"""Montana""","""30""","""2021""","""2021""","""No""","""2""",10503
NA,"""Nebraska""","""31""","""2016""","""2016""","""Yes""","""1""",1679
NA,"""Nebraska""","""31""","""2016""","""2016""","""No""","""2""",24873
NA,"""Nebraska""","""31""","""2016""","""2016""","""Unknown or Not Stated""","""9""",37
NA,"""Nebraska""","""31""","""2017""","""2017""","""Yes""","""1""",1795
NA,"""Nebraska""","""31""","""2017""","""2017""","""No""","""2""",24000
NA,"""Nebraska""","""31""","""2017""","""2017""","""Unknown or Not Stated""","""9""",26
NA,"""Nebraska""","""31""","""2018""","""2018""","""Yes""","""1""",1662
NA,"""Nebraska""","""31""","""2018""","""2018""","""No""","""2""",23799
NA,"""Nebraska""","""31""","""2018""","""2018""","""Unknown or Not Stated""","""9""",27
NA,"""Nebraska""","""31""","""2019""","""2019""","""Yes""","""1""",1744
NA,"""Nebraska""","""31""","""2019""","""2019""","""No""","""2""",22981
NA,"""Nebraska""","""31""","""2019""","""2019""","""Unknown or Not Stated""","""9""",30
NA,"""Nebraska""","""31""","""2020""","""2020""","""Yes""","""1""",1915
NA,"""Nebraska""","""31""","""2020""","""2020""","""No""","""2""",22324
NA,"""Nebraska""","""31""","""2020""","""2020""","""Unknown or Not Stated""","""9""",52
NA,"""Nebraska""","""31""","""2021""","""2021""","""Yes""","""1""",2212
NA,"""Nebraska""","""31""","""2021""","""2021""","""No""","""2""",22360
NA,"""Nebraska""","""31""","""2021""","""2021""","""Unknown or Not Stated""","""9""",37
NA,"""Nevada""","""32""","""2016""","""2016""","""Yes""","""1""",2372
NA,"""Nevada""","""32""","""2016""","""2016""","""No""","""2""",33888
NA,"""Nevada""","""32""","""2017""","""2017""","""Yes""","""1""",2501
NA,"""Nevada""","""32""","""2017""","""2017""","""No""","""2""",33255
NA,"""Nevada""","""32""","""2018""","""2018""","""Yes""","""1""",2559
NA,"""Nevada""","""32""","""2018""","""2018""","""No""","""2""",33121
NA,"""Nevada""","""32""","""2019""","""2019""","""Yes""","""1""",2412
NA,"""Nevada""","""32""","""2019""","""2019""","""No""","""2""",32659
NA,"""Nevada""","""32""","""2020""","""2020""","""Yes""","""1""",2700
NA,"""Nevada""","""32""","""2020""","""2020""","""No""","""2""",30953
NA,"""Nevada""","""32""","""2021""","""2021""","""Yes""","""1""",2918
NA,"""Nevada""","""32""","""2021""","""2021""","""No""","""2""",30768
NA,"""New Hampshire""","""33""","""2016""","""2016""","""Yes""","""1""",650
NA,"""New Hampshire""","""33""","""2016""","""2016""","""No""","""2""",11510
NA,"""New Hampshire""","""33""","""2016""","""2016""","""Unknown or Not Stated""","""9""",107
NA,"""New Hampshire""","""33""","""2017""","""2017""","""Yes""","""1""",777
NA,"""New Hampshire""","""33""","""2017""","""2017""","""No""","""2""",11292
NA,"""New Hampshire""","""33""","""2017""","""2017""","""Unknown or Not Stated""","""9""",47
NA,"""New Hampshire""","""33""","""2018""","""2018""","""Yes""","""1""",864
NA,"""New Hampshire""","""33""","""2018""","""2018""","""No""","""2""",11084
NA,"""New Hampshire""","""33""","""2018""","""2018""","""Unknown or Not Stated""","""9""",47
NA,"""New Hampshire""","""33""","""2019""","""2019""","""Yes""","""1""",862
NA,"""New Hampshire""","""33""","""2019""","""2019""","""No""","""2""",10933
NA,"""New Hampshire""","""33""","""2019""","""2019""","""Unknown or Not Stated""","""9""",44
NA,"""New Hampshire""","""33""","""2020""","""2020""","""Yes""","""1""",958
NA,"""New Hampshire""","""33""","""2020""","""2020""","""No""","""2""",10797
NA,"""New Hampshire""","""33""","""2020""","""2020""","""Unknown or Not Stated""","""9""",36
NA,"""New Hampshire""","""33""","""2021""","""2021""","""Yes""","""1""",1013
NA,"""New Hampshire""","""33""","""2021""","""2021""","""No""","""2""",11575
NA,"""New Hampshire""","""33""","""2021""","""2021""","""Unknown or Not Stated""","""9""",37
NA,"""New Jersey""","""34""","""2016""","""2016""","""Yes""","""1""",7547
NA,"""New Jersey""","""34""","""2016""","""2016""","""No""","""2""",95093
NA,"""New Jersey""","""34""","""2017""","""2017""","""Yes""","""1""",7938
NA,"""New Jersey""","""34""","""2017""","""2017""","""No""","""2""",93305
NA,"""New Jersey""","""34""","""2018""","""2018""","""Yes""","""1""",8557
NA,"""New Jersey""","""34""","""2018""","""2018""","""No""","""2""",92659
NA,"""New Jersey""","""34""","""2019""","""2019""","""Yes""","""1""",8548
NA,"""New Jersey""","""34""","""2019""","""2019""","""No""","""2""",91031
NA,"""New Jersey""","""34""","""2020""","""2020""","""Yes""","""1""",9367
NA,"""New Jersey""","""34""","""2020""","""2020""","""No""","""2""",88579
NA,"""New Jersey""","""34""","""2021""","""2021""","""Yes""","""1""",9994
NA,"""New Jersey""","""34""","""2021""","""2021""","""No""","""2""",91494
NA,"""New Mexico""","""35""","""2016""","""2016""","""Yes""","""1""",1405
NA,"""New Mexico""","""35""","""2016""","""2016""","""No""","""2""",23287
NA,"""New Mexico""","""35""","""2017""","""2017""","""Yes""","""1""",1320
NA,"""New Mexico""","""35""","""2017""","""2017""","""No""","""2""",22447
NA,"""New Mexico""","""35""","""2018""","""2018""","""Yes""","""1""",1255
NA,"""New Mexico""","""35""","""2018""","""2018""","""No""","""2""",21784
NA,"""New Mexico""","""35""","""2019""","""2019""","""Yes""","""1""",1203
NA,"""New Mexico""","""35""","""2019""","""2019""","""No""","""2""",21752
NA,"""New Mexico""","""35""","""2020""","""2020""","""Yes""","""1""",1415
NA,"""New Mexico""","""35""","""2020""","""2020""","""No""","""2""",20486
NA,"""New Mexico""","""35""","""2021""","""2021""","""Yes""","""1""",1509
NA,"""New Mexico""","""35""","""2021""","""2021""","""No""","""2""",19880
NA,"""New York""","""36""","""2016""","""2016""","""Yes""","""1""",17618
NA,"""New York""","""36""","""2016""","""2016""","""No""","""2""",216447
NA,"""New York""","""36""","""2016""","""2016""","""Unknown or Not Stated""","""9""",218
NA,"""New York""","""36""","""2017""","""2017""","""Yes""","""1""",17730
NA,"""New York""","""36""","""2017""","""2017""","""No""","""2""",211601
NA,"""New York""","""36""","""2017""","""2017""","""Unknown or Not Stated""","""9""",406
NA,"""New York""","""36""","""2018""","""2018""","""Yes""","""1""",18265
NA,"""New York""","""36""","""2018""","""2018""","""No""","""2""",207479
NA,"""New York""","""36""","""2018""","""2018""","""Unknown or Not Stated""","""9""",494
NA,"""New York""","""36""","""2019""","""2019""","""Yes""","""1""",17952
NA,"""New York""","""36""","""2019""","""2019""","""No""","""2""",203103
NA,"""New York""","""36""","""2019""","""2019""","""Unknown or Not Stated""","""9""",484
NA,"""New York""","""36""","""2020""","""2020""","""Yes""","""1""",18804
NA,"""New York""","""36""","""2020""","""2020""","""No""","""2""",190136
NA,"""New York""","""36""","""2020""","""2020""","""Unknown or Not Stated""","""9""",398
NA,"""New York""","""36""","""2021""","""2021""","""Yes""","""1""",19482
NA,"""New York""","""36""","""2021""","""2021""","""No""","""2""",190809
NA,"""New York""","""36""","""2021""","""2021""","""Unknown or Not Stated""","""9""",451
NA,"""North Carolina""","""37""","""2016""","""2016""","""Yes""","""1""",6859
NA,"""North Carolina""","""37""","""2016""","""2016""","""No""","""2""",113904
NA,"""North Carolina""","""37""","""2016""","""2016""","""Unknown or Not Stated""","""9""",16
NA,"""North Carolina""","""37""","""2017""","""2017""","""Yes""","""1""",7677
NA,"""North Carolina""","""37""","""2017""","""2017""","""No""","""2""",112438
NA,"""North Carolina""","""37""","""2017""","""2017""","""Unknown or Not Stated""","""9""",10
NA,"""North Carolina""","""37""","""2018""","""2018""","""Yes""","""1""",7803
NA,"""North Carolina""","""37""","""2018""","""2018""","""No""","""2""",111131
NA,"""North Carolina""","""37""","""2018""","""2018""","""Unknown or Not Stated""","""9""",20
NA,"""North Carolina""","""37""","""2019""","""2019""","""Yes""","""1""",7462
NA,"""North Carolina""","""37""","""2019""","""2019""","""No""","""2""",111257
NA,"""North Carolina""","""37""","""2020""","""2020""","""Yes""","""1""",8591
NA,"""North Carolina""","""37""","""2020""","""2020""","""No""","""2""",108130
NA,"""North Carolina""","""37""","""2021""","""2021""","""Yes""","""1""",9888
NA,"""North Carolina""","""37""","""2021""","""2021""","""No""","""2""",110555
NA,"""North Carolina""","""37""","""2021""","""2021""","""Unknown or Not Stated""","""9""",23
NA,"""North Dakota""","""38""","""2016""","""2016""","""Yes""","""1""",655
NA,"""North Dakota""","""38""","""2016""","""2016""","""No""","""2""",10728
NA,"""North Dakota""","""38""","""2017""","""2017""","""Yes""","""1""",603
NA,"""North Dakota""","""38""","""2017""","""2017""","""No""","""2""",10133
NA,"""North Dakota""","""38""","""2018""","""2018""","""Yes""","""1""",646
NA,"""North Dakota""","""38""","""2018""","""2018""","""No""","""2""",9988
NA,"""North Dakota""","""38""","""2019""","""2019""","""Yes""","""1""",612
NA,"""North Dakota""","""38""","""2019""","""2019""","""No""","""2""",9842
NA,"""North Dakota""","""38""","""2020""","""2020""","""Yes""","""1""",634
NA,"""North Dakota""","""38""","""2020""","""2020""","""No""","""2""",9425
NA,"""North Dakota""","""38""","""2021""","""2021""","""Yes""","""1""",764
NA,"""North Dakota""","""38""","""2021""","""2021""","""No""","""2""",9348
NA,"""Ohio""","""39""","""2016""","""2016""","""Yes""","""1""",10238
NA,"""Ohio""","""39""","""2016""","""2016""","""No""","""2""",127820
NA,"""Ohio""","""39""","""2016""","""2016""","""Unknown or Not Stated""","""9""",27
NA,"""Ohio""","""39""","""2017""","""2017""","""Yes""","""1""",10553
NA,"""Ohio""","""39""","""2017""","""2017""","""No""","""2""",126265
NA,"""Ohio""","""39""","""2017""","""2017""","""Unknown or Not Stated""","""9""",14
NA,"""Ohio""","""39""","""2018""","""2018""","""Yes""","""1""",10850
NA,"""Ohio""","""39""","""2018""","""2018""","""No""","""2""",124272
NA,"""Ohio""","""39""","""2018""","""2018""","""Unknown or Not Stated""","""9""",12
NA,"""Ohio""","""39""","""2019""","""2019""","""Yes""","""1""",11032
NA,"""Ohio""","""39""","""2019""","""2019""","""No""","""2""",123421
NA,"""Ohio""","""39""","""2020""","""2020""","""Yes""","""1""",11541
NA,"""Ohio""","""39""","""2020""","""2020""","""No""","""2""",117634
NA,"""Ohio""","""39""","""2020""","""2020""","""Unknown or Not Stated""","""9""",16
NA,"""Ohio""","""39""","""2021""","""2021""","""Yes""","""1""",12040
NA,"""Ohio""","""39""","""2021""","""2021""","""No""","""2""",117732
NA,"""Ohio""","""39""","""2021""","""2021""","""Unknown or Not Stated""","""9""",19
NA,"""Oklahoma""","""40""","""2016""","""2016""","""Yes""","""1""",2505
NA,"""Oklahoma""","""40""","""2016""","""2016""","""No""","""2""",50086
NA,"""Oklahoma""","""40""","""2017""","""2017""","""Yes""","""1""",2552
NA,"""Oklahoma""","""40""","""2017""","""2017""","""No""","""2""",47661
NA,"""Oklahoma""","""40""","""2018""","""2018""","""Yes""","""1""",2719
NA,"""Oklahoma""","""40""","""2018""","""2018""","""No""","""2""",47081
NA,"""Oklahoma""","""40""","""2019""","""2019""","""Yes""","""1""",2907
NA,"""Oklahoma""","""40""","""2019""","""2019""","""No""","""2""",46234
NA,"""Oklahoma""","""40""","""2020""","""2020""","""Yes""","""1""",3053
NA,"""Oklahoma""","""40""","""2020""","""2020""","""No""","""2""",44570
NA,"""Oklahoma""","""40""","""2021""","""2021""","""Yes""","""1""",3199
NA,"""Oklahoma""","""40""","""2021""","""2021""","""No""","""2""",45205
NA,"""Oregon""","""41""","""2016""","""2016""","""Yes""","""1""",3731
NA,"""Oregon""","""41""","""2016""","""2016""","""No""","""2""",41802
NA,"""Oregon""","""41""","""2017""","""2017""","""Yes""","""1""",3799
NA,"""Oregon""","""41""","""2017""","""2017""","""No""","""2""",39832
NA,"""Oregon""","""41""","""2018""","""2018""","""Yes""","""1""",3839
NA,"""Oregon""","""41""","""2018""","""2018""","""No""","""2""",38349
NA,"""Oregon""","""41""","""2019""","""2019""","""Yes""","""1""",3862
NA,"""Oregon""","""41""","""2019""","""2019""","""No""","""2""",37994
NA,"""Oregon""","""41""","""2020""","""2020""","""Yes""","""1""",4021
NA,"""Oregon""","""41""","""2020""","""2020""","""No""","""2""",35797
NA,"""Oregon""","""41""","""2021""","""2021""","""Yes""","""1""",4495
NA,"""Oregon""","""41""","""2021""","""2021""","""No""","""2""",36419
NA,"""Pennsylvania""","""42""","""2016""","""2016""","""Yes""","""1""",7659
NA,"""Pennsylvania""","""42""","""2016""","""2016""","""No""","""2""",131729
NA,"""Pennsylvania""","""42""","""2016""","""2016""","""Unknown or Not Stated""","""9""",21
NA,"""Pennsylvania""","""42""","""2017""","""2017""","""Yes""","""1""",8067
NA,"""Pennsylvania""","""42""","""2017""","""2017""","""No""","""2""",129650
NA,"""Pennsylvania""","""42""","""2017""","""2017""","""Unknown or Not Stated""","""9""",28
NA,"""Pennsylvania""","""42""","""2018""","""2018""","""Yes""","""1""",8754
NA,"""Pennsylvania""","""42""","""2018""","""2018""","""No""","""2""",126881
NA,"""Pennsylvania""","""42""","""2018""","""2018""","""Unknown or Not Stated""","""9""",38
NA,"""Pennsylvania""","""42""","""2019""","""2019""","""Yes""","""1""",8861
NA,"""Pennsylvania""","""42""","""2019""","""2019""","""No""","""2""",125337
NA,"""Pennsylvania""","""42""","""2019""","""2019""","""Unknown or Not Stated""","""9""",32
NA,"""Pennsylvania""","""42""","""2020""","""2020""","""Yes""","""1""",9955
NA,"""Pennsylvania""","""42""","""2020""","""2020""","""No""","""2""",120693
NA,"""Pennsylvania""","""42""","""2020""","""2020""","""Unknown or Not Stated""","""9""",45
NA,"""Pennsylvania""","""42""","""2021""","""2021""","""Yes""","""1""",11681
NA,"""Pennsylvania""","""42""","""2021""","""2021""","""No""","""2""",120668
NA,"""Pennsylvania""","""42""","""2021""","""2021""","""Unknown or Not Stated""","""9""",273
NA,"""Rhode Island""","""44""","""2016""","""2016""","""Yes""","""1""",710
NA,"""Rhode Island""","""44""","""2016""","""2016""","""No""","""2""",10081
NA,"""Rhode Island""","""44""","""2017""","""2017""","""Yes""","""1""",762
NA,"""Rhode Island""","""44""","""2017""","""2017""","""No""","""2""",9873
NA,"""Rhode Island""","""44""","""2018""","""2018""","""Yes""","""1""",807
NA,"""Rhode Island""","""44""","""2018""","""2018""","""No""","""2""",9694
NA,"""Rhode Island""","""44""","""2019""","""2019""","""Yes""","""1""",784
NA,"""Rhode Island""","""44""","""2019""","""2019""","""No""","""2""",9377
NA,"""Rhode Island""","""44""","""2019""","""2019""","""Unknown or Not Stated""","""9""",14
NA,"""Rhode Island""","""44""","""2020""","""2020""","""Yes""","""1""",855
NA,"""Rhode Island""","""44""","""2020""","""2020""","""No""","""2""",9229
NA,"""Rhode Island""","""44""","""2020""","""2020""","""Unknown or Not Stated""","""9""",17
NA,"""Rhode Island""","""44""","""2021""","""2021""","""Yes""","""1""",931
NA,"""Rhode Island""","""44""","""2021""","""2021""","""No""","""2""",9519
NA,"""Rhode Island""","""44""","""2021""","""2021""","""Unknown or Not Stated""","""9""",14
NA,"""South Carolina""","""45""","""2016""","""2016""","""Yes""","""1""",3770
NA,"""South Carolina""","""45""","""2016""","""2016""","""No""","""2""",53570
NA,"""South Carolina""","""45""","""2017""","""2017""","""Yes""","""1""",3574
NA,"""South Carolina""","""45""","""2017""","""2017""","""No""","""2""",53452
NA,"""South Carolina""","""45""","""2018""","""2018""","""Yes""","""1""",3739
NA,"""South Carolina""","""45""","""2018""","""2018""","""No""","""2""",52926
NA,"""South Carolina""","""45""","""2019""","""2019""","""Yes""","""1""",3659
NA,"""South Carolina""","""45""","""2019""","""2019""","""No""","""2""",53375
NA,"""South Carolina""","""45""","""2020""","""2020""","""Yes""","""1""",4204
NA,"""South Carolina""","""45""","""2020""","""2020""","""No""","""2""",51495
NA,"""South Carolina""","""45""","""2021""","""2021""","""Yes""","""1""",4150
NA,"""South Carolina""","""45""","""2021""","""2021""","""No""","""2""",52968
NA,"""South Carolina""","""45""","""2021""","""2021""","""Unknown or Not Stated""","""9""",67
NA,"""South Dakota""","""46""","""2016""","""2016""","""Yes""","""1""",955
NA,"""South Dakota""","""46""","""2016""","""2016""","""No""","""2""",11319
NA,"""South Dakota""","""46""","""2017""","""2017""","""Yes""","""1""",953
NA,"""South Dakota""","""46""","""2017""","""2017""","""No""","""2""",11177
NA,"""South Dakota""","""46""","""2018""","""2018""","""Yes""","""1""",990
NA,"""South Dakota""","""46""","""2018""","""2018""","""No""","""2""",10891
NA,"""South Dakota""","""46""","""2018""","""2018""","""Unknown or Not Stated""","""9""",12
NA,"""South Dakota""","""46""","""2019""","""2019""","""Yes""","""1""",1007
NA,"""South Dakota""","""46""","""2019""","""2019""","""No""","""2""",10439
NA,"""South Dakota""","""46""","""2020""","""2020""","""Yes""","""1""",1031
NA,"""South Dakota""","""46""","""2020""","""2020""","""No""","""2""",9920
NA,"""South Dakota""","""46""","""2021""","""2021""","""Yes""","""1""",1226
NA,"""South Dakota""","""46""","""2021""","""2021""","""No""","""2""",10138
NA,"""Tennessee""","""47""","""2016""","""2016""","""Yes""","""1""",4623
NA,"""Tennessee""","""47""","""2016""","""2016""","""No""","""2""",76180
NA,"""Tennessee""","""47""","""2017""","""2017""","""Yes""","""1""",4971
NA,"""Tennessee""","""47""","""2017""","""2017""","""No""","""2""",75977
NA,"""Tennessee""","""47""","""2017""","""2017""","""Unknown or Not Stated""","""9""",68
NA,"""Tennessee""","""47""","""2018""","""2018""","""Yes""","""1""",4889
NA,"""Tennessee""","""47""","""2018""","""2018""","""No""","""2""",75821
NA,"""Tennessee""","""47""","""2018""","""2018""","""Unknown or Not Stated""","""9""",41
NA,"""Tennessee""","""47""","""2019""","""2019""","""Yes""","""1""",5550
NA,"""Tennessee""","""47""","""2019""","""2019""","""No""","""2""",74896
NA,"""Tennessee""","""47""","""2020""","""2020""","""Yes""","""1""",5972
NA,"""Tennessee""","""47""","""2020""","""2020""","""No""","""2""",72715
NA,"""Tennessee""","""47""","""2021""","""2021""","""Yes""","""1""",6758
NA,"""Tennessee""","""47""","""2021""","""2021""","""No""","""2""",74954
NA,"""Texas""","""48""","""2016""","""2016""","""Yes""","""1""",19766
NA,"""Texas""","""48""","""2016""","""2016""","""No""","""2""",378279
NA,"""Texas""","""48""","""2017""","""2017""","""Yes""","""1""",20152
NA,"""Texas""","""48""","""2017""","""2017""","""No""","""2""",361897
NA,"""Texas""","""48""","""2018""","""2018""","""Yes""","""1""",20233
NA,"""Texas""","""48""","""2018""","""2018""","""No""","""2""",358358
NA,"""Texas""","""48""","""2018""","""2018""","""Unknown or Not Stated""","""9""",33
NA,"""Texas""","""48""","""2019""","""2019""","""Yes""","""1""",20856
NA,"""Texas""","""48""","""2019""","""2019""","""No""","""2""",356343
NA,"""Texas""","""48""","""2019""","""2019""","""Unknown or Not Stated""","""9""",400
NA,"""Texas""","""48""","""2020""","""2020""","""Yes""","""1""",23608
NA,"""Texas""","""48""","""2020""","""2020""","""No""","""2""",344085
NA,"""Texas""","""48""","""2020""","""2020""","""Unknown or Not Stated""","""9""",497
NA,"""Texas""","""48""","""2021""","""2021""","""Yes""","""1""",24881
NA,"""Texas""","""48""","""2021""","""2021""","""No""","""2""",348155
NA,"""Texas""","""48""","""2021""","""2021""","""Unknown or Not Stated""","""9""",558
NA,"""Utah""","""49""","""2016""","""2016""","""Yes""","""1""",2999
NA,"""Utah""","""49""","""2016""","""2016""","""No""","""2""",47465
NA,"""Utah""","""49""","""2017""","""2017""","""Yes""","""1""",3028
NA,"""Utah""","""49""","""2017""","""2017""","""No""","""2""",45556
NA,"""Utah""","""49""","""2018""","""2018""","""Yes""","""1""",3092
NA,"""Utah""","""49""","""2018""","""2018""","""No""","""2""",44116
NA,"""Utah""","""49""","""2019""","""2019""","""Yes""","""1""",2885
NA,"""Utah""","""49""","""2019""","""2019""","""No""","""2""",43941
NA,"""Utah""","""49""","""2020""","""2020""","""Yes""","""1""",3116
NA,"""Utah""","""49""","""2020""","""2020""","""No""","""2""",42586
NA,"""Utah""","""49""","""2021""","""2021""","""Yes""","""1""",3522
NA,"""Utah""","""49""","""2021""","""2021""","""No""","""2""",43190
NA,"""Vermont""","""50""","""2016""","""2016""","""Yes""","""1""",276
NA,"""Vermont""","""50""","""2016""","""2016""","""No""","""2""",5480
NA,"""Vermont""","""50""","""2017""","""2017""","""Yes""","""1""",332
NA,"""Vermont""","""50""","""2017""","""2017""","""No""","""2""",5323
NA,"""Vermont""","""50""","""2018""","""2018""","""Yes""","""1""",347
NA,"""Vermont""","""50""","""2018""","""2018""","""No""","""2""",5083
NA,"""Vermont""","""50""","""2019""","""2019""","""Yes""","""1""",334
NA,"""Vermont""","""50""","""2019""","""2019""","""No""","""2""",5026
NA,"""Vermont""","""50""","""2020""","""2020""","""Yes""","""1""",377
NA,"""Vermont""","""50""","""2020""","""2020""","""No""","""2""",4756
NA,"""Vermont""","""50""","""2021""","""2021""","""Yes""","""1""",480
NA,"""Vermont""","""50""","""2021""","""2021""","""No""","""2""",4904
NA,"""Virginia""","""51""","""2016""","""2016""","""Yes""","""1""",5856
NA,"""Virginia""","""51""","""2016""","""2016""","""No""","""2""",96600
NA,"""Virginia""","""51""","""2017""","""2017""","""Yes""","""1""",5357
NA,"""Virginia""","""51""","""2017""","""2017""","""No""","""2""",95033
NA,"""Virginia""","""51""","""2018""","""2018""","""Yes""","""1""",5591
NA,"""Virginia""","""51""","""2018""","""2018""","""No""","""2""",94251
NA,"""Virginia""","""51""","""2019""","""2019""","""Yes""","""1""",5592
NA,"""Virginia""","""51""","""2019""","""2019""","""No""","""2""",91831
NA,"""Virginia""","""51""","""2020""","""2020""","""Yes""","""1""",6753
NA,"""Virginia""","""51""","""2020""","""2020""","""No""","""2""",87993
NA,"""Virginia""","""51""","""2021""","""2021""","""Yes""","""1""",7597
NA,"""Virginia""","""51""","""2021""","""2021""","""No""","""2""",88224
NA,"""Washington""","""53""","""2016""","""2016""","""Yes""","""1""",7658
NA,"""Washington""","""53""","""2016""","""2016""","""No""","""2""",82414
NA,"""Washington""","""53""","""2016""","""2016""","""Unknown or Not Stated""","""9""",433
NA,"""Washington""","""53""","""2017""","""2017""","""Yes""","""1""",7883
NA,"""Washington""","""53""","""2017""","""2017""","""No""","""2""",79302
NA,"""Washington""","""53""","""2017""","""2017""","""Unknown or Not Stated""","""9""",377
NA,"""Washington""","""53""","""2018""","""2018""","""Yes""","""1""",8166
NA,"""Washington""","""53""","""2018""","""2018""","""No""","""2""",77919
NA,"""Washington""","""53""","""2019""","""2019""","""Yes""","""1""",8378
NA,"""Washington""","""53""","""2019""","""2019""","""No""","""2""",76490
NA,"""Washington""","""53""","""2019""","""2019""","""Unknown or Not Stated""","""9""",27
NA,"""Washington""","""53""","""2020""","""2020""","""Yes""","""1""",9023
NA,"""Washington""","""53""","""2020""","""2020""","""No""","""2""",73485
NA,"""Washington""","""53""","""2020""","""2020""","""Unknown or Not Stated""","""9""",578
NA,"""Washington""","""53""","""2021""","""2021""","""Yes""","""1""",9886
NA,"""Washington""","""53""","""2021""","""2021""","""No""","""2""",73044
NA,"""Washington""","""53""","""2021""","""2021""","""Unknown or Not Stated""","""9""",981
NA,"""West Virginia""","""54""","""2016""","""2016""","""Yes""","""1""",1254
NA,"""West Virginia""","""54""","""2016""","""2016""","""No""","""2""",17727
NA,"""West Virginia""","""54""","""2016""","""2016""","""Unknown or Not Stated""","""9""",98
