"""Notes""","""State of Residence""","""State of Residence Code""","""Year""","""Year Code""","""Gestational Diabetes""","""Gestational Diabetes Code""","Births"
NA,"""Colorado""","""08""","""2021""","""2021""","""No""","""2""",58906
NA,"""Connecticut""","""09""","""2016""","""2016""","""Yes""","""1""",2325
NA,"""Connecticut""","""09""","""2016""","""2016""","""No""","""2""",32996
NA,"""Connecticut""","""09""","""2016""","""2016""","""Unknown or Not Stated""","""9""",694
NA,"""Connecticut""","""09""","""2017""","""2017""","""Yes""","""1""",2382
NA,"""Connecticut""","""09""","""2017""","""2017""","""No""","""2""",32566
NA,"""Connecticut""","""09""","""2017""","""2017""","""Unknown or Not Stated""","""9""",273
NA,"""Connecticut""","""09""","""2018""","""2018""","""Yes""","""1""",2388
NA,"""Connecticut""","""09""","""2018""","""2018""","""No""","""2""",32226
NA,"""Connecticut""","""09""","""2018""","""2018""","""Unknown or Not Stated""","""9""",111
NA,"""Connecticut""","""09""","""2019""","""2019""","""Yes""","""1""",2518
NA,"""Connecticut""","""09""","""2019""","""2019""","""No""","""2""",31619
NA,"""Connecticut""","""09""","""2019""","""2019""","""Unknown or Not Stated""","""9""",121
NA,"""Connecticut""","""09""","""2020""","""2020""","""Yes""","""1""",2492
NA,"""Connecticut""","""09""","""2020""","""2020""","""No""","""2""",30829
NA,"""Connecticut""","""09""","""2020""","""2020""","""Unknown or Not Stated""","""9""",139
NA,"""Connecticut""","""09""","""2021""","""2021""","""Yes""","""1""",2856
NA,"""Connecticut""","""09""","""2021""","""2021""","""No""","""2""",32789
NA,"""Connecticut""","""09""","""2021""","""2021""","""Unknown or Not Stated""","""9""",25
NA,"""Delaware""","""10""","""2016""","""2016""","""Yes""","""1""",797
NA,"""Delaware""","""10""","""2016""","""2016""","""No""","""2""",10194
NA,"""Delaware""","""10""","""2017""","""2017""","""Yes""","""1""",845
NA,"""Delaware""","""10""","""2017""","""2017""","""No""","""2""",10009
NA,"""Delaware""","""10""","""2018""","""2018""","""Yes""","""1""",840
NA,"""Delaware""","""10""","""2018""","""2018""","""No""","""2""",9777
NA,"""Delaware""","""10""","""2019""","""2019""","""Yes""","""1""",597
NA,"""Delaware""","""10""","""2019""","""2019""","""No""","""2""",9950
NA,"""Delaware""","""10""","""2019""","""2019""","""Unknown or Not Stated""","""9""",15
NA,"""Delaware""","""10""","""2020""","""2020""","""Yes""","""1""",953
NA,"""Delaware""","""10""","""2020""","""2020""","""No""","""2""",9407
NA,"""Delaware""","""10""","""2020""","""2020""","""Unknown or Not Stated""","""9""",32
NA,"""Delaware""","""10""","""2021""","""2021""","""Yes""","""1""",881
NA,"""Delaware""","""10""","""2021""","""2021""","""No""","""2""",9575
