"""Notes""","""State of Residence""","""State of Residence Code""","""Year""","""Year Code""","""Gestational Hypertension""","""Gestational Hypertension Code""","Births"
NA,"""Minnesota""","""27""","""2016""","""2016""","""No""","""2""",65036
NA,"""Minnesota""","""27""","""2016""","""2016""","""Unknown or Not Stated""","""9""",64
NA,"""Minnesota""","""27""","""2017""","""2017""","""Yes""","""1""",5093
NA,"""Minnesota""","""27""","""2017""","""2017""","""No""","""2""",63399
NA,"""Minnesota""","""27""","""2017""","""2017""","""Unknown or Not Stated""","""9""",103
NA,"""Minnesota""","""27""","""2018""","""2018""","""Yes""","""1""",5438
NA,"""Minnesota""","""27""","""2018""","""2018""","""No""","""2""",61863
NA,"""Minnesota""","""27""","""2018""","""2018""","""Unknown or Not Stated""","""9""",43
NA,"""Minnesota""","""27""","""2019""","""2019""","""Yes""","""1""",6183
NA,"""Minnesota""","""27""","""2019""","""2019""","""No""","""2""",59765
NA,"""Minnesota""","""27""","""2019""","""2019""","""Unknown or Not Stated""","""9""",79
NA,"""Minnesota""","""27""","""2020""","""2020""","""Yes""","""1""",6474
NA,"""Minnesota""","""27""","""2020""","""2020""","""No""","""2""",56915
NA,"""Minnesota""","""27""","""2020""","""2020""","""Unknown or Not Stated""","""9""",54
NA,"""Minnesota""","""27""","""2021""","""2021""","""Yes""","""1""",7186
NA,"""Minnesota""","""27""","""2021""","""2021""","""No""","""2""",57194
NA,"""Minnesota""","""27""","""2021""","""2021""","""Unknown or Not Stated""","""9""",45
NA,"""Mississippi""","""28""","""2016""","""2016""","""Yes""","""1""",2435
NA,"""Mississippi""","""28""","""2016""","""2016""","""No""","""2""",35482
NA,"""Mississippi""","""28""","""2016""","""2016""","""Unknown or Not Stated""","""9""",11
NA,"""Mississippi""","""28""","""2017""","""2017""","""Yes""","""1""",2458
NA,"""Mississippi""","""28""","""2017""","""2017""","""No""","""2""",34889
NA,"""Mississippi""","""28""","""2017""","""2017""","""Unknown or Not Stated""","""9""",10
NA,"""Mississippi""","""28""","""2018""","""2018""","""Yes""","""1""",2647
NA,"""Mississippi""","""28""","""2018""","""2018""","""No""","""2""",34336
NA,"""Mississippi""","""28""","""2018""","""2018""","""Unknown or Not Stated""","""9""",17
NA,"""Mississippi""","""28""","""2019""","""2019""","""Yes""","""1""",3161
NA,"""Mississippi""","""28""","""2019""","""2019""","""No""","""2""",33464
NA,"""Mississippi""","""28""","""2019""","""2019""","""Unknown or Not Stated""","""9""",11
NA,"""Mississippi""","""28""","""2020""","""2020""","""Yes""","""1""",3154
NA,"""Mississippi""","""28""","""2020""","""2020""","""No""","""2""",32314
NA,"""Mississippi""","""28""","""2021""","""2021""","""Yes""","""1""",3604
NA,"""Mississippi""","""28""","""2021""","""2021""","""No""","""2""",31543
NA,"""Missouri""","""29""","""2016""","""2016""","""Yes""","""1""",5502
NA,"""Missouri""","""29""","""2016""","""2016""","""No""","""2""",69202
NA,"""Missouri""","""29""","""2017""","""2017""","""Yes""","""1""",5815
NA,"""Missouri""","""29""","""2017""","""2017""","""No""","""2""",67219
NA,"""Missouri""","""29""","""2018""","""2018""","""Yes""","""1""",5993
NA,"""Missouri""","""29""","""2018""","""2018""","""No""","""2""",67276
NA,"""Missouri""","""29""","""2019""","""2019""","""Yes""","""1""",6256
NA,"""Missouri""","""29""","""2019""","""2019""","""No""","""2""",65868
NA,"""Missouri""","""29""","""2020""","""2020""","""Yes""","""1""",6363
NA,"""Missouri""","""29""","""2020""","""2020""","""No""","""2""",62920
NA,"""Missouri""","""29""","""2021""","""2021""","""Yes""","""1""",6965
NA,"""Missouri""","""29""","""2021""","""2021""","""No""","""2""",62486
NA,"""Montana""","""30""","""2016""","""2016""","""Yes""","""1""",751
NA,"""Montana""","""30""","""2016""","""2016""","""No""","""2""",11519
NA,"""Montana""","""30""","""2016""","""2016""","""Unknown or Not Stated""","""9""",12
NA,"""Montana""","""30""","""2017""","""2017""","""Yes""","""1""",718
NA,"""Montana""","""30""","""2017""","""2017""","""No""","""2""",11074
NA,"""Montana""","""30""","""2018""","""2018""","""Yes""","""1""",819
NA,"""Montana""","""30""","""2018""","""2018""","""No""","""2""",10688
NA,"""Montana""","""30""","""2019""","""2019""","""Yes""","""1""",951
NA,"""Montana""","""30""","""2019""","""2019""","""No""","""2""",10126
NA,"""Montana""","""30""","""2020""","""2020""","""Yes""","""1""",1010
NA,"""Montana""","""30""","""2020""","""2020""","""No""","""2""",9780
NA,"""Montana""","""30""","""2021""","""2021""","""Yes""","""1""",1040
NA,"""Montana""","""30""","""2021""","""2021""","""No""","""2""",10191
NA,"""Nebraska""","""31""","""2016""","""2016""","""Yes""","""1""",1510
NA,"""Nebraska""","""31""","""2016""","""2016""","""No""","""2""",25042
NA,"""Nebraska""","""31""","""2016""","""2016""","""Unknown or Not Stated""","""9""",37
NA,"""Nebraska""","""31""","""2017""","""2017""","""Yes""","""1""",1741
NA,"""Nebraska""","""31""","""2017""","""2017""","""No""","""2""",24054
NA,"""Nebraska""","""31""","""2017""","""2017""","""Unknown or Not Stated""","""9""",26
NA,"""Nebraska""","""31""","""2018""","""2018""","""Yes""","""1""",1959
NA,"""Nebraska""","""31""","""2018""","""2018""","""No""","""2""",23502
NA,"""Nebraska""","""31""","""2018""","""2018""","""Unknown or Not Stated""","""9""",27
NA,"""Nebraska""","""31""","""2019""","""2019""","""Yes""","""1""",2080
NA,"""Nebraska""","""31""","""2019""","""2019""","""No""","""2""",22645
NA,"""Nebraska""","""31""","""2019""","""2019""","""Unknown or Not Stated""","""9""",30
NA,"""Nebraska""","""31""","""2020""","""2020""","""Yes""","""1""",2153
NA,"""Nebraska""","""31""","""2020""","""2020""","""No""","""2""",22086
NA,"""Nebraska""","""31""","""2020""","""2020""","""Unknown or Not Stated""","""9""",52
NA,"""Nebraska""","""31""","""2021""","""2021""","""Yes""","""1""",2320
NA,"""Nebraska""","""31""","""2021""","""2021""","""No""","""2""",22252
NA,"""Nebraska""","""31""","""2021""","""2021""","""Unknown or Not Stated""","""9""",37
NA,"""Nevada""","""32""","""2016""","""2016""","""Yes""","""1""",1646
NA,"""Nevada""","""32""","""2016""","""2016""","""No""","""2""",34614
NA,"""Nevada""","""32""","""2017""","""2017""","""Yes""","""1""",1694
NA,"""Nevada""","""32""","""2017""","""2017""","""No""","""2""",34062
NA,"""Nevada""","""32""","""2018""","""2018""","""Yes""","""1""",1885
NA,"""Nevada""","""32""","""2018""","""2018""","""No""","""2""",33795
NA,"""Nevada""","""32""","""2019""","""2019""","""Yes""","""1""",2155
NA,"""Nevada""","""32""","""2019""","""2019""","""No""","""2""",32916
NA,"""Nevada""","""32""","""2020""","""2020""","""Yes""","""1""",2315
NA,"""Nevada""","""32""","""2020""","""2020""","""No""","""2""",31338
NA,"""Nevada""","""32""","""2021""","""2021""","""Yes""","""1""",2664
NA,"""Nevada""","""32""","""2021""","""2021""","""No""","""2""",31022
NA,"""New Hampshire""","""33""","""2016""","""2016""","""Yes""","""1""",995
NA,"""New Hampshire""","""33""","""2016""","""2016""","""No""","""2""",11165
NA,"""New Hampshire""","""33""","""2016""","""2016""","""Unknown or Not Stated""","""9""",107
NA,"""New Hampshire""","""33""","""2017""","""2017""","""Yes""","""1""",1096
NA,"""New Hampshire""","""33""","""2017""","""2017""","""No""","""2""",10973
NA,"""New Hampshire""","""33""","""2017""","""2017""","""Unknown or Not Stated""","""9""",47
NA,"""New Hampshire""","""33""","""2018""","""2018""","""Yes""","""1""",1226
NA,"""New Hampshire""","""33""","""2018""","""2018""","""No""","""2""",10722
NA,"""New Hampshire""","""33""","""2018""","""2018""","""Unknown or Not Stated""","""9""",47
NA,"""New Hampshire""","""33""","""2019""","""2019""","""Yes""","""1""",1184
NA,"""New Hampshire""","""33""","""2019""","""2019""","""No""","""2""",10611
NA,"""New Hampshire""","""33""","""2019""","""2019""","""Unknown or Not Stated""","""9""",44
NA,"""New Hampshire""","""33""","""2020""","""2020""","""Yes""","""1""",1226
NA,"""New Hampshire""","""33""","""2020""","""2020""","""No""","""2""",10529
NA,"""New Hampshire""","""33""","""2020""","""2020""","""Unknown or Not Stated""","""9""",36
NA,"""New Hampshire""","""33""","""2021""","""2021""","""Yes""","""1""",1480
NA,"""New Hampshire""","""33""","""2021""","""2021""","""No""","""2""",11108
NA,"""New Hampshire""","""33""","""2021""","""2021""","""Unknown or Not Stated""","""9""",37
NA,"""New Jersey""","""34""","""2016""","""2016""","""Yes""","""1""",4807
NA,"""New Jersey""","""34""","""2016""","""2016""","""No""","""2""",97833
NA,"""New Jersey""","""34""","""2017""","""2017""","""Yes""","""1""",4828
NA,"""New Jersey""","""34""","""2017""","""2017""","""No""","""2""",96415
NA,"""New Jersey""","""34""","""2018""","""2018""","""Yes""","""1""",5532
NA,"""New Jersey""","""34""","""2018""","""2018""","""No""","""2""",95684
NA,"""New Jersey""","""34""","""2019""","""2019""","""Yes""","""1""",6006
NA,"""New Jersey""","""34""","""2019""","""2019""","""No""","""2""",93573
NA,"""New Jersey""","""34""","""2020""","""2020""","""Yes""","""1""",6576
NA,"""New Jersey""","""34""","""2020""","""2020""","""No""","""2""",91370
NA,"""New Jersey""","""34""","""2021""","""2021""","""Yes""","""1""",6902
NA,"""New Jersey""","""34""","""2021""","""2021""","""No""","""2""",94586
NA,"""New Mexico""","""35""","""2016""","""2016""","""Yes""","""1""",1594
NA,"""New Mexico""","""35""","""2016""","""2016""","""No""","""2""",23098
NA,"""New Mexico""","""35""","""2017""","""2017""","""Yes""","""1""",1454
NA,"""New Mexico""","""35""","""2017""","""2017""","""No""","""2""",22313
NA,"""New Mexico""","""35""","""2018""","""2018""","""Yes""","""1""",1690
NA,"""New Mexico""","""35""","""2018""","""2018""","""No""","""2""",21349
NA,"""New Mexico""","""35""","""2019""","""2019""","""Yes""","""1""",1633
NA,"""New Mexico""","""35""","""2019""","""2019""","""No""","""2""",21322
NA,"""New Mexico""","""35""","""2020""","""2020""","""Yes""","""1""",1713
NA,"""New Mexico""","""35""","""2020""","""2020""","""No""","""2""",20188
NA,"""New Mexico""","""35""","""2021""","""2021""","""Yes""","""1""",1752
NA,"""New Mexico""","""35""","""2021""","""2021""","""No""","""2""",19637
NA,"""New York""","""36""","""2016""","""2016""","""Yes""","""1""",14897
NA,"""New York""","""36""","""2016""","""2016""","""No""","""2""",219168
NA,"""New York""","""36""","""2016""","""2016""","""Unknown or Not Stated""","""9""",218
NA,"""New York""","""36""","""2017""","""2017""","""Yes""","""1""",13188
NA,"""New York""","""36""","""2017""","""2017""","""No""","""2""",216143
NA,"""New York""","""36""","""2017""","""2017""","""Unknown or Not Stated""","""9""",406
NA,"""New York""","""36""","""2018""","""2018""","""Yes""","""1""",14218
NA,"""New York""","""36""","""2018""","""2018""","""No""","""2""",211526
NA,"""New York""","""36""","""2018""","""2018""","""Unknown or Not Stated""","""9""",494
NA,"""New York""","""36""","""2019""","""2019""","""Yes""","""1""",15221
NA,"""New York""","""36""","""2019""","""2019""","""No""","""2""",205834
NA,"""New York""","""36""","""2019""","""2019""","""Unknown or Not Stated""","""9""",484
NA,"""New York""","""36""","""2020""","""2020""","""Yes""","""1""",16141
NA,"""New York""","""36""","""2020""","""2020""","""No""","""2""",192799
NA,"""New York""","""36""","""2020""","""2020""","""Unknown or Not Stated""","""9""",398
NA,"""New York""","""36""","""2021""","""2021""","""Yes""","""1""",16865
NA,"""New York""","""36""","""2021""","""2021""","""No""","""2""",193426
NA,"""New York""","""36""","""2021""","""2021""","""Unknown or Not Stated""","""9""",451
NA,"""North Carolina""","""37""","""2016""","""2016""","""Yes""","""1""",8107
NA,"""North Carolina""","""37""","""2016""","""2016""","""No""","""2""",112656
NA,"""North Carolina""","""37""","""2016""","""2016""","""Unknown or Not Stated""","""9""",16
NA,"""North Carolina""","""37""","""2017""","""2017""","""Yes""","""1""",8731
NA,"""North Carolina""","""37""","""2017""","""2017""","""No""","""2""",111384
NA,"""North Carolina""","""37""","""2017""","""2017""","""Unknown or Not Stated""","""9""",10
NA,"""North Carolina""","""37""","""2018""","""2018""","""Yes""","""1""",9390
NA,"""North Carolina""","""37""","""2018""","""2018""","""No""","""2""",109544
NA,"""North Carolina""","""37""","""2018""","""2018""","""Unknown or Not Stated""","""9""",20
NA,"""North Carolina""","""37""","""2019""","""2019""","""Yes""","""1""",9332
NA,"""North Carolina""","""37""","""2019""","""2019""","""No""","""2""",109387
NA,"""North Carolina""","""37""","""2020""","""2020""","""Yes""","""1""",10689
NA,"""North Carolina""","""37""","""2020""","""2020""","""No""","""2""",106032
NA,"""North Carolina""","""37""","""2021""","""2021""","""Yes""","""1""",12261
NA,"""North Carolina""","""37""","""2021""","""2021""","""No""","""2""",108182
NA,"""North Carolina""","""37""","""2021""","""2021""","""Unknown or Not Stated""","""9""",23
NA,"""North Dakota""","""38""","""2016""","""2016""","""Yes""","""1""",649
NA,"""North Dakota""","""38""","""2016""","""2016""","""No""","""2""",10734
NA,"""North Dakota""","""38""","""2017""","""2017""","""Yes""","""1""",693
NA,"""North Dakota""","""38""","""2017""","""2017""","""No""","""2""",10043
NA,"""North Dakota""","""38""","""2018""","""2018""","""Yes""","""1""",756
NA,"""North Dakota""","""38""","""2018""","""2018""","""No""","""2""",9878
NA,"""North Dakota""","""38""","""2019""","""2019""","""Yes""","""1""",879
NA,"""North Dakota""","""38""","""2019""","""2019""","""No""","""2""",9575
NA,"""North Dakota""","""38""","""2020""","""2020""","""Yes""","""1""",932
NA,"""North Dakota""","""38""","""2020""","""2020""","""No""","""2""",9127
NA,"""North Dakota""","""38""","""2021""","""2021""","""Yes""","""1""",958
NA,"""North Dakota""","""38""","""2021""","""2021""","""No""","""2""",9154
NA,"""Ohio""","""39""","""2016""","""2016""","""Yes""","""1""",11147
NA,"""Ohio""","""39""","""2016""","""2016""","""No""","""2""",126911
NA,"""Ohio""","""39""","""2016""","""2016""","""Unknown or Not Stated""","""9""",27
NA,"""Ohio""","""39""","""2017""","""2017""","""Yes""","""1""",11752
NA,"""Ohio""","""39""","""2017""","""2017""","""No""","""2""",125066
NA,"""Ohio""","""39""","""2017""","""2017""","""Unknown or Not Stated""","""9""",14
NA,"""Ohio""","""39""","""2018""","""2018""","""Yes""","""1""",12665
NA,"""Ohio""","""39""","""2018""","""2018""","""No""","""2""",122457
NA,"""Ohio""","""39""","""2018""","""2018""","""Unknown or Not Stated""","""9""",12
NA,"""Ohio""","""39""","""2019""","""2019""","""Yes""","""1""",13696
NA,"""Ohio""","""39""","""2019""","""2019""","""No""","""2""",120757
NA,"""Ohio""","""39""","""2020""","""2020""","""Yes""","""1""",14391
NA,"""Ohio""","""39""","""2020""","""2020""","""No""","""2""",114784
NA,"""Ohio""","""39""","""2020""","""2020""","""Unknown or Not Stated""","""9""",16
NA,"""Ohio""","""39""","""2021""","""2021""","""Yes""","""1""",15490
NA,"""Ohio""","""39""","""2021""","""2021""","""No""","""2""",114282
NA,"""Ohio""","""39""","""2021""","""2021""","""Unknown or Not Stated""","""9""",19
NA,"""Oklahoma""","""40""","""2016""","""2016""","""Yes""","""1""",3029
NA,"""Oklahoma""","""40""","""2016""","""2016""","""No""","""2""",49562
NA,"""Oklahoma""","""40""","""2017""","""2017""","""Yes""","""1""",3063
NA,"""Oklahoma""","""40""","""2017""","""2017""","""No""","""2""",47150
NA,"""Oklahoma""","""40""","""2018""","""2018""","""Yes""","""1""",3486
NA,"""Oklahoma""","""40""","""2018""","""2018""","""No""","""2""",46314
NA,"""Oklahoma""","""40""","""2019""","""2019""","""Yes""","""1""",3630
NA,"""Oklahoma""","""40""","""2019""","""2019""","""No""","""2""",45511
NA,"""Oklahoma""","""40""","""2020""","""2020""","""Yes""","""1""",3836
NA,"""Oklahoma""","""40""","""2020""","""2020""","""No""","""2""",43787
NA,"""Oklahoma""","""40""","""2021""","""2021""","""Yes""","""1""",4009
NA,"""Oklahoma""","""40""","""2021""","""2021""","""No""","""2""",44395
NA,"""Oregon""","""41""","""2016""","""2016""","""Yes""","""1""",3341
NA,"""Oregon""","""41""","""2016""","""2016""","""No""","""2""",42192
NA,"""Oregon""","""41""","""2017""","""2017""","""Yes""","""1""",3577
NA,"""Oregon""","""41""","""2017""","""2017""","""No""","""2""",40054
NA,"""Oregon""","""41""","""2018""","""2018""","""Yes""","""1""",3805
NA,"""Oregon""","""41""","""2018""","""2018""","""No""","""2""",38383
NA,"""Oregon""","""41""","""2019""","""2019""","""Yes""","""1""",3968
NA,"""Oregon""","""41""","""2019""","""2019""","""No""","""2""",37888
NA,"""Oregon""","""41""","""2020""","""2020""","""Yes""","""1""",4055
NA,"""Oregon""","""41""","""2020""","""2020""","""No""","""2""",35763
NA,"""Oregon""","""41""","""2021""","""2021""","""Yes""","""1""",4621
NA,"""Oregon""","""41""","""2021""","""2021""","""No""","""2""",36293
NA,"""Pennsylvania""","""42""","""2016""","""2016""","""Yes""","""1""",7689
NA,"""Pennsylvania""","""42""","""2016""","""2016""","""No""","""2""",131699
NA,"""Pennsylvania""","""42""","""2016""","""2016""","""Unknown or Not Stated""","""9""",21
NA,"""Pennsylvania""","""42""","""2017""","""2017""","""Yes""","""1""",8552
NA,"""Pennsylvania""","""42""","""2017""","""2017""","""No""","""2""",129165
NA,"""Pennsylvania""","""42""","""2017""","""2017""","""Unknown or Not Stated""","""9""",28
NA,"""Pennsylvania""","""42""","""2018""","""2018""","""Yes""","""1""",9149
NA,"""Pennsylvania""","""42""","""2018""","""2018""","""No""","""2""",126486
NA,"""Pennsylvania""","""42""","""2018""","""2018""","""Unknown or Not Stated""","""9""",38
NA,"""Pennsylvania""","""42""","""2019""","""2019""","""Yes""","""1""",10342
NA,"""Pennsylvania""","""42""","""2019""","""2019""","""No""","""2""",123856
NA,"""Pennsylvania""","""42""","""2019""","""2019""","""Unknown or Not Stated""","""9""",32
NA,"""Pennsylvania""","""42""","""2020""","""2020""","""Yes""","""1""",10553
NA,"""Pennsylvania""","""42""","""2020""","""2020""","""No""","""2""",120095
NA,"""Pennsylvania""","""42""","""2020""","""2020""","""Unknown or Not Stated""","""9""",45
NA,"""Pennsylvania""","""42""","""2021""","""2021""","""Yes""","""1""",12448
NA,"""Pennsylvania""","""42""","""2021""","""2021""","""No""","""2""",119901
NA,"""Pennsylvania""","""42""","""2021""","""2021""","""Unknown or Not Stated""","""9""",273
NA,"""Rhode Island""","""44""","""2016""","""2016""","""Yes""","""1""",707
NA,"""Rhode Island""","""44""","""2016""","""2016""","""No""","""2""",10084
NA,"""Rhode Island""","""44""","""2017""","""2017""","""Yes""","""1""",785
NA,"""Rhode Island""","""44""","""2017""","""2017""","""No""","""2""",9850
NA,"""Rhode Island""","""44""","""2018""","""2018""","""Yes""","""1""",859
NA,"""Rhode Island""","""44""","""2018""","""2018""","""No""","""2""",9642
NA,"""Rhode Island""","""44""","""2019""","""2019""","""Yes""","""1""",925
NA,"""Rhode Island""","""44""","""2019""","""2019""","""No""","""2""",9236
NA,"""Rhode Island""","""44""","""2019""","""2019""","""Unknown or Not Stated""","""9""",14
NA,"""Rhode Island""","""44""","""2020""","""2020""","""Yes""","""1""",918
NA,"""Rhode Island""","""44""","""2020""","""2020""","""No""","""2""",9166
NA,"""Rhode Island""","""44""","""2020""","""2020""","""Unknown or Not Stated""","""9""",17
NA,"""Rhode Island""","""44""","""2021""","""2021""","""Yes""","""1""",1126
NA,"""Rhode Island""","""44""","""2021""","""2021""","""No""","""2""",9324
NA,"""Rhode Island""","""44""","""2021""","""2021""","""Unknown or Not Stated""","""9""",14
NA,"""South Carolina""","""45""","""2016""","""2016""","""Yes""","""1""",4248
NA,"""South Carolina""","""45""","""2016""","""2016""","""No""","""2""",53092
NA,"""South Carolina""","""45""","""2017""","""2017""","""Yes""","""1""",4737
NA,"""South Carolina""","""45""","""2017""","""2017""","""No""","""2""",52289
NA,"""South Carolina""","""45""","""2018""","""2018""","""Yes""","""1""",4945
NA,"""South Carolina""","""45""","""2018""","""2018""","""No""","""2""",51720
NA,"""South Carolina""","""45""","""2019""","""2019""","""Yes""","""1""",4935
NA,"""South Carolina""","""45""","""2019""","""2019""","""No""","""2""",52099
NA,"""South Carolina""","""45""","""2020""","""2020""","""Yes""","""1""",5098
NA,"""South Carolina""","""45""","""2020""","""2020""","""No""","""2""",50601
NA,"""South Carolina""","""45""","""2021""","""2021""","""Yes""","""1""",5345
NA,"""South Carolina""","""45""","""2021""","""2021""","""No""","""2""",51773
NA,"""South Carolina""","""45""","""2021""","""2021""","""Unknown or Not Stated""","""9""",67
NA,"""South Dakota""","""46""","""2016""","""2016""","""Yes""","""1""",724
NA,"""South Dakota""","""46""","""2016""","""2016""","""No""","""2""",11550
NA,"""South Dakota""","""46""","""2017""","""2017""","""Yes""","""1""",749
NA,"""South Dakota""","""46""","""2017""","""2017""","""No""","""2""",11381
NA,"""South Dakota""","""46""","""2018""","""2018""","""Yes""","""1""",803
NA,"""South Dakota""","""46""","""2018""","""2018""","""No""","""2""",11078
NA,"""South Dakota""","""46""","""2018""","""2018""","""Unknown or Not Stated""","""9""",12
NA,"""South Dakota""","""46""","""2019""","""2019""","""Yes""","""1""",819
NA,"""South Dakota""","""46""","""2019""","""2019""","""No""","""2""",10627
NA,"""South Dakota""","""46""","""2020""","""2020""","""Yes""","""1""",807
NA,"""South Dakota""","""46""","""2020""","""2020""","""No""","""2""",10144
NA,"""South Dakota""","""46""","""2021""","""2021""","""Yes""","""1""",935
NA,"""South Dakota""","""46""","""2021""","""2021""","""No""","""2""",10429
NA,"""Tennessee""","""47""","""2016""","""2016""","""Yes""","""1""",4557
NA,"""Tennessee""","""47""","""2016""","""2016""","""No""","""2""",76246
NA,"""Tennessee""","""47""","""2017""","""2017""","""Yes""","""1""",4686
NA,"""Tennessee""","""47""","""2017""","""2017""","""No""","""2""",76262
NA,"""Tennessee""","""47""","""2017""","""2017""","""Unknown or Not Stated""","""9""",68
NA,"""Tennessee""","""47""","""2018""","""2018""","""Yes""","""1""",5039
NA,"""Tennessee""","""47""","""2018""","""2018""","""No""","""2""",75671
NA,"""Tennessee""","""47""","""2018""","""2018""","""Unknown or Not Stated""","""9""",41
NA,"""Tennessee""","""47""","""2019""","""2019""","""Yes""","""1""",6198
NA,"""Tennessee""","""47""","""2019""","""2019""","""No""","""2""",74248
NA,"""Tennessee""","""47""","""2020""","""2020""","""Yes""","""1""",6482
NA,"""Tennessee""","""47""","""2020""","""2020""","""No""","""2""",72205
NA,"""Tennessee""","""47""","""2021""","""2021""","""Yes""","""1""",7470
NA,"""Tennessee""","""47""","""2021""","""2021""","""No""","""2""",74242
NA,"""Texas""","""48""","""2016""","""2016""","""Yes""","""1""",24273
NA,"""Texas""","""48""","""2016""","""2016""","""No""","""2""",373772
NA,"""Texas""","""48""","""2017""","""2017""","""Yes""","""1""",25241
NA,"""Texas""","""48""","""2017""","""2017""","""No""","""2""",356808
NA,"""Texas""","""48""","""2018""","""2018""","""Yes""","""1""",26995
NA,"""Texas""","""48""","""2018""","""2018""","""No""","""2""",351596
NA,"""Texas""","""48""","""2018""","""2018""","""Unknown or Not Stated""","""9""",33
NA,"""Texas""","""48""","""2019""","""2019""","""Yes""","""1""",27834
NA,"""Texas""","""48""","""2019""","""2019""","""No""","""2""",349365
NA,"""Texas""","""48""","""2019""","""2019""","""Unknown or Not Stated""","""9""",400
NA,"""Texas""","""48""","""2020""","""2020""","""Yes""","""1""",28114
NA,"""Texas""","""48""","""2020""","""2020""","""No""","""2""",339579
NA,"""Texas""","""48""","""2020""","""2020""","""Unknown or Not Stated""","""9""",497
NA,"""Texas""","""48""","""2021""","""2021""","""Yes""","""1""",30191
NA,"""Texas""","""48""","""2021""","""2021""","""No""","""2""",342845
NA,"""Texas""","""48""","""2021""","""2021""","""Unknown or Not Stated""","""9""",558
NA,"""Utah""","""49""","""2016""","""2016""","""Yes""","""1""",2942
NA,"""Utah""","""49""","""2016""","""2016""","""No""","""2""",47522
NA,"""Utah""","""49""","""2017""","""2017""","""Yes""","""1""",3335
NA,"""Utah""","""49""","""2017""","""2017""","""No""","""2""",45249
NA,"""Utah""","""49""","""2018""","""2018""","""Yes""","""1""",3517
NA,"""Utah""","""49""","""2018""","""2018""","""No""","""2""",43691
NA,"""Utah""","""49""","""2019""","""2019""","""Yes""","""1""",3595
NA,"""Utah""","""49""","""2019""","""2019""","""No""","""2""",43231
NA,"""Utah""","""49""","""2020""","""2020""","""Yes""","""1""",3499
NA,"""Utah""","""49""","""2020""","""2020""","""No""","""2""",42203
NA,"""Utah""","""49""","""2021""","""2021""","""Yes""","""1""",3876
NA,"""Utah""","""49""","""2021""","""2021""","""No""","""2""",42836
NA,"""Vermont""","""50""","""2016""","""2016""","""Yes""","""1""",466
NA,"""Vermont""","""50""","""2016""","""2016""","""No""","""2""",5290
NA,"""Vermont""","""50""","""2017""","""2017""","""Yes""","""1""",518
NA,"""Vermont""","""50""","""2017""","""2017""","""No""","""2""",5137
NA,"""Vermont""","""50""","""2018""","""2018""","""Yes""","""1""",482
NA,"""Vermont""","""50""","""2018""","""2018""","""No""","""2""",4948
NA,"""Vermont""","""50""","""2019""","""2019""","""Yes""","""1""",550
NA,"""Vermont""","""50""","""2019""","""2019""","""No""","""2""",4810
NA,"""Vermont""","""50""","""2020""","""2020""","""Yes""","""1""",523
NA,"""Vermont""","""50""","""2020""","""2020""","""No""","""2""",4610
NA,"""Vermont""","""50""","""2021""","""2021""","""Yes""","""1""",594
NA,"""Vermont""","""50""","""2021""","""2021""","""No""","""2""",4790
NA,"""Virginia""","""51""","""2016""","""2016""","""Yes""","""1""",4571
NA,"""Virginia""","""51""","""2016""","""2016""","""No""","""2""",97885
NA,"""Virginia""","""51""","""2017""","""2017""","""Yes""","""1""",4883
NA,"""Virginia""","""51""","""2017""","""2017""","""No""","""2""",95507
NA,"""Virginia""","""51""","""2018""","""2018""","""Yes""","""1""",6209
NA,"""Virginia""","""51""","""2018""","""2018""","""No""","""2""",93633
NA,"""Virginia""","""51""","""2019""","""2019""","""Yes""","""1""",6768
NA,"""Virginia""","""51""","""2019""","""2019""","""No""","""2""",90655
NA,"""Virginia""","""51""","""2020""","""2020""","""Yes""","""1""",7806
NA,"""Virginia""","""51""","""2020""","""2020""","""No""","""2""",86940
NA,"""Virginia""","""51""","""2021""","""2021""","""Yes""","""1""",9146
NA,"""Virginia""","""51""","""2021""","""2021""","""No""","""2""",86675
NA,"""Washington""","""53""","""2016""","""2016""","""Yes""","""1""",5702
NA,"""Washington""","""53""","""2016""","""2016""","""No""","""2""",84370
NA,"""Washington""","""53""","""2016""","""2016""","""Unknown or Not Stated""","""9""",433
NA,"""Washington""","""53""","""2017""","""2017""","""Yes""","""1""",6211
NA,"""Washington""","""53""","""2017""","""2017""","""No""","""2""",80974
NA,"""Washington""","""53""","""2017""","""2017""","""Unknown or Not Stated""","""9""",377
NA,"""Washington""","""53""","""2018""","""2018""","""Yes""","""1""",6676
NA,"""Washington""","""53""","""2018""","""2018""","""No""","""2""",79409
NA,"""Washington""","""53""","""2019""","""2019""","""Yes""","""1""",7350
NA,"""Washington""","""53""","""2019""","""2019""","""No""","""2""",77518
NA,"""Washington""","""53""","""2019""","""2019""","""Unknown or Not Stated""","""9""",27
NA,"""Washington""","""53""","""2020""","""2020""","""Yes""","""1""",7834
NA,"""Washington""","""53""","""2020""","""2020""","""No""","""2""",74674
NA,"""Washington""","""53""","""2020""","""2020""","""Unknown or Not Stated""","""9""",578
NA,"""Washington""","""53""","""2021""","""2021""","""Yes""","""1""",8460
NA,"""Washington""","""53""","""2021""","""2021""","""No""","""2""",74470
NA,"""Washington""","""53""","""2021""","""2021""","""Unknown or Not Stated""","""9""",981
NA,"""West Virginia""","""54""","""2016""","""2016""","""Yes""","""1""",1245
