"""Notes""","""State of Residence""","""State of Residence Code""","""Year""","""Year Code""","""Gestational Hypertension""","""Gestational Hypertension Code""","Births"
NA,"""Colorado""","""08""","""2021""","""2021""","""No""","""2""",56308
NA,"""Connecticut""","""09""","""2016""","""2016""","""Yes""","""1""",2062
NA,"""Connecticut""","""09""","""2016""","""2016""","""No""","""2""",33259
NA,"""Connecticut""","""09""","""2016""","""2016""","""Unknown or Not Stated""","""9""",694
NA,"""Connecticut""","""09""","""2017""","""2017""","""Yes""","""1""",2136
NA,"""Connecticut""","""09""","""2017""","""2017""","""No""","""2""",32812
NA,"""Connecticut""","""09""","""2017""","""2017""","""Unknown or Not Stated""","""9""",273
NA,"""Connecticut""","""09""","""2018""","""2018""","""Yes""","""1""",2358
NA,"""Connecticut""","""09""","""2018""","""2018""","""No""","""2""",32256
NA,"""Connecticut""","""09""","""2018""","""2018""","""Unknown or Not Stated""","""9""",111
NA,"""Connecticut""","""09""","""2019""","""2019""","""Yes""","""1""",2626
NA,"""Connecticut""","""09""","""2019""","""2019""","""No""","""2""",31511
NA,"""Connecticut""","""09""","""2019""","""2019""","""Unknown or Not Stated""","""9""",121
NA,"""Connecticut""","""09""","""2020""","""2020""","""Yes""","""1""",2639
NA,"""Connecticut""","""09""","""2020""","""2020""","""No""","""2""",30682
NA,"""Connecticut""","""09""","""2020""","""2020""","""Unknown or Not Stated""","""9""",139
NA,"""Connecticut""","""09""","""2021""","""2021""","""Yes""","""1""",3019
NA,"""Connecticut""","""09""","""2021""","""2021""","""No""","""2""",32626
NA,"""Connecticut""","""09""","""2021""","""2021""","""Unknown or Not Stated""","""9""",25
NA,"""Delaware""","""10""","""2016""","""2016""","""Yes""","""1""",815
NA,"""Delaware""","""10""","""2016""","""2016""","""No""","""2""",10176
NA,"""Delaware""","""10""","""2017""","""2017""","""Yes""","""1""",880
NA,"""Delaware""","""10""","""2017""","""2017""","""No""","""2""",9974
NA,"""Delaware""","""10""","""2018""","""2018""","""Yes""","""1""",993
NA,"""Delaware""","""10""","""2018""","""2018""","""No""","""2""",9624
NA,"""Delaware""","""10""","""2019""","""2019""","""Yes""","""1""",1088
NA,"""Delaware""","""10""","""2019""","""2019""","""No""","""2""",9459
NA,"""Delaware""","""10""","""2019""","""2019""","""Unknown or Not Stated""","""9""",15
NA,"""Delaware""","""10""","""2020""","""2020""","""Yes""","""1""",1075
NA,"""Delaware""","""10""","""2020""","""2020""","""No""","""2""",9285
NA,"""Delaware""","""10""","""2020""","""2020""","""Unknown or Not Stated""","""9""",32
NA,"""Delaware""","""10""","""2021""","""2021""","""Yes""","""1""",1125
NA,"""Delaware""","""10""","""2021""","""2021""","""No""","""2""",9331
NA,"""Delaware""","""10""","""2021""","""2021""","""Unknown or Not Stated""","""9""",26
NA,"""District of Columbia""","""11""","""2016""","""2016""","""Yes""","""1""",581
NA,"""District of Columbia""","""11""","""2016""","""2016""","""No""","""2""",9262
NA,"""District of Columbia""","""11""","""2016""","""2016""","""Unknown or Not Stated""","""9""",15
NA,"""District of Columbia""","""11""","""2017""","""2017""","""Yes""","""1""",504
NA,"""District of Columbia""","""11""","""2017""","""2017""","""No""","""2""",9055
NA,"""District of Columbia""","""11""","""2018""","""2018""","""Yes""","""1""",539
NA,"""District of Columbia""","""11""","""2018""","""2018""","""No""","""2""",8671
NA,"""District of Columbia""","""11""","""2019""","""2019""","""Yes""","""1""",762
NA,"""District of Columbia""","""11""","""2019""","""2019""","""No""","""2""",8313
NA,"""District of Columbia""","""11""","""2020""","""2020""","""Yes""","""1""",750
NA,"""District of Columbia""","""11""","""2020""","""2020""","""No""","""2""",8120
NA,"""District of Columbia""","""11""","""2021""","""2021""","""Yes""","""1""",836
NA,"""District of Columbia""","""11""","""2021""","""2021""","""No""","""2""",7818
NA,"""Florida""","""12""","""2016""","""2016""","""Yes""","""1""",12336
NA,"""Florida""","""12""","""2016""","""2016""","""No""","""2""",212270
NA,"""Florida""","""12""","""2016""","""2016""","""Unknown or Not Stated""","""9""",416
NA,"""Florida""","""12""","""2017""","""2017""","""Yes""","""1""",13321
NA,"""Florida""","""12""","""2017""","""2017""","""No""","""2""",209805
NA,"""Florida""","""12""","""2017""","""2017""","""Unknown or Not Stated""","""9""",504
NA,"""Florida""","""12""","""2018""","""2018""","""Yes""","""1""",16033
NA,"""Florida""","""12""","""2018""","""2018""","""No""","""2""",205037
NA,"""Florida""","""12""","""2018""","""2018""","""Unknown or Not Stated""","""9""",472
NA,"""Florida""","""12""","""2019""","""2019""","""Yes""","""1""",16935
NA,"""Florida""","""12""","""2019""","""2019""","""No""","""2""",202750
NA,"""Florida""","""12""","""2019""","""2019""","""Unknown or Not Stated""","""9""",317
NA,"""Florida""","""12""","""2020""","""2020""","""Yes""","""1""",17714
NA,"""Florida""","""12""","""2020""","""2020""","""No""","""2""",191663
NA,"""Florida""","""12""","""2020""","""2020""","""Unknown or Not Stated""","""9""",294
NA,"""Florida""","""12""","""2021""","""2021""","""Yes""","""1""",18555
NA,"""Florida""","""12""","""2021""","""2021""","""No""","""2""",197026
NA,"""Florida""","""12""","""2021""","""2021""","""Unknown or Not Stated""","""9""",679
NA,"""Georgia""","""13""","""2016""","""2016""","""Yes""","""1""",7810
NA,"""Georgia""","""13""","""2016""","""2016""","""No""","""2""",121884
NA,"""Georgia""","""13""","""2016""","""2016""","""Unknown or Not Stated""","""9""",348
NA,"""Georgia""","""13""","""2017""","""2017""","""Yes""","""1""",8192
NA,"""Georgia""","""13""","""2017""","""2017""","""No""","""2""",120669
NA,"""Georgia""","""13""","""2017""","""2017""","""Unknown or Not Stated""","""9""",382
NA,"""Georgia""","""13""","""2018""","""2018""","""Yes""","""1""",8533
NA,"""Georgia""","""13""","""2018""","""2018""","""No""","""2""",117378
NA,"""Georgia""","""13""","""2018""","""2018""","""Unknown or Not Stated""","""9""",261
NA,"""Georgia""","""13""","""2019""","""2019""","""Yes""","""1""",9052
NA,"""Georgia""","""13""","""2019""","""2019""","""No""","""2""",117118
NA,"""Georgia""","""13""","""2019""","""2019""","""Unknown or Not Stated""","""9""",201
NA,"""Georgia""","""13""","""2020""","""2020""","""Yes""","""1""",9724
NA,"""Georgia""","""13""","""2020""","""2020""","""No""","""2""",112606
NA,"""Georgia""","""13""","""2020""","""2020""","""Unknown or Not Stated""","""9""",143
NA,"""Georgia""","""13""","""2021""","""2021""","""Yes""","""1""",11416
NA,"""Georgia""","""13""","""2021""","""2021""","""No""","""2""",112488
NA,"""Georgia""","""13""","""2021""","""2021""","""Unknown or Not Stated""","""9""",169
NA,"""Hawaii""","""15""","""2016""","""2016""","""Yes""","""1""",776
NA,"""Hawaii""","""15""","""2016""","""2016""","""No""","""2""",17283
NA,"""Hawaii""","""15""","""2017""","""2017""","""Yes""","""1""",727
NA,"""Hawaii""","""15""","""2017""","""2017""","""No""","""2""",16790
NA,"""Hawaii""","""15""","""2018""","""2018""","""Yes""","""1""",849
NA,"""Hawaii""","""15""","""2018""","""2018""","""No""","""2""",16123
NA,"""Hawaii""","""15""","""2019""","""2019""","""Yes""","""1""",868
NA,"""Hawaii""","""15""","""2019""","""2019""","""No""","""2""",15929
NA,"""Hawaii""","""15""","""2020""","""2020""","""Yes""","""1""",866
NA,"""Hawaii""","""15""","""2020""","""2020""","""No""","""2""",14918
NA,"""Hawaii""","""15""","""2021""","""2021""","""Yes""","""1""",991
NA,"""Hawaii""","""15""","""2021""","""2021""","""No""","""2""",14629
NA,"""Idaho""","""16""","""2016""","""2016""","""Yes""","""1""",1606
NA,"""Idaho""","""16""","""2016""","""2016""","""No""","""2""",20852
NA,"""Idaho""","""16""","""2016""","""2016""","""Unknown or Not Stated""","""9""",24
NA,"""Idaho""","""16""","""2017""","""2017""","""Yes""","""1""",1510
