"""Notes""","""State of Residence""","""State of Residence Code""","""Year""","""Year Code""","""Previous Cesarean Delivery""","""Previous Cesarean Delivery Code""","Births"
NA,"""Minnesota""","""27""","""2017""","""2017""","""No""","""2""",59024
NA,"""Minnesota""","""27""","""2017""","""2017""","""Unknown or Not Stated""","""9""",103
NA,"""Minnesota""","""27""","""2018""","""2018""","""Yes""","""1""",9431
NA,"""Minnesota""","""27""","""2018""","""2018""","""No""","""2""",57870
NA,"""Minnesota""","""27""","""2018""","""2018""","""Unknown or Not Stated""","""9""",43
NA,"""Minnesota""","""27""","""2019""","""2019""","""Yes""","""1""",9488
NA,"""Minnesota""","""27""","""2019""","""2019""","""No""","""2""",56460
NA,"""Minnesota""","""27""","""2019""","""2019""","""Unknown or Not Stated""","""9""",79
NA,"""Minnesota""","""27""","""2020""","""2020""","""Yes""","""1""",9209
NA,"""Minnesota""","""27""","""2020""","""2020""","""No""","""2""",54180
NA,"""Minnesota""","""27""","""2020""","""2020""","""Unknown or Not Stated""","""9""",54
NA,"""Minnesota""","""27""","""2021""","""2021""","""Yes""","""1""",9584
NA,"""Minnesota""","""27""","""2021""","""2021""","""No""","""2""",54796
NA,"""Minnesota""","""27""","""2021""","""2021""","""Unknown or Not Stated""","""9""",45
NA,"""Mississippi""","""28""","""2016""","""2016""","""Yes""","""1""",6880
NA,"""Mississippi""","""28""","""2016""","""2016""","""No""","""2""",31037
NA,"""Mississippi""","""28""","""2016""","""2016""","""Unknown or Not Stated""","""9""",11
NA,"""Mississippi""","""28""","""2017""","""2017""","""Yes""","""1""",6927
NA,"""Mississippi""","""28""","""2017""","""2017""","""No""","""2""",30420
NA,"""Mississippi""","""28""","""2017""","""2017""","""Unknown or Not Stated""","""9""",10
NA,"""Mississippi""","""28""","""2018""","""2018""","""Yes""","""1""",7238
NA,"""Mississippi""","""28""","""2018""","""2018""","""No""","""2""",29745
NA,"""Mississippi""","""28""","""2018""","""2018""","""Unknown or Not Stated""","""9""",17
NA,"""Mississippi""","""28""","""2019""","""2019""","""Yes""","""1""",7258
NA,"""Mississippi""","""28""","""2019""","""2019""","""No""","""2""",29367
NA,"""Mississippi""","""28""","""2019""","""2019""","""Unknown or Not Stated""","""9""",11
NA,"""Mississippi""","""28""","""2020""","""2020""","""Yes""","""1""",6762
NA,"""Mississippi""","""28""","""2020""","""2020""","""No""","""2""",28706
NA,"""Mississippi""","""28""","""2021""","""2021""","""Yes""","""1""",6785
NA,"""Mississippi""","""28""","""2021""","""2021""","""No""","""2""",28362
NA,"""Missouri""","""29""","""2016""","""2016""","""Yes""","""1""",10172
NA,"""Missouri""","""29""","""2016""","""2016""","""No""","""2""",64532
NA,"""Missouri""","""29""","""2017""","""2017""","""Yes""","""1""",10118
NA,"""Missouri""","""29""","""2017""","""2017""","""No""","""2""",62916
NA,"""Missouri""","""29""","""2018""","""2018""","""Yes""","""1""",10178
NA,"""Missouri""","""29""","""2018""","""2018""","""No""","""2""",63091
NA,"""Missouri""","""29""","""2019""","""2019""","""Yes""","""1""",10436
NA,"""Missouri""","""29""","""2019""","""2019""","""No""","""2""",61688
NA,"""Missouri""","""29""","""2020""","""2020""","""Yes""","""1""",9761
NA,"""Missouri""","""29""","""2020""","""2020""","""No""","""2""",59522
NA,"""Missouri""","""29""","""2021""","""2021""","""Yes""","""1""",9938
NA,"""Missouri""","""29""","""2021""","""2021""","""No""","""2""",59513
NA,"""Montana""","""30""","""2016""","""2016""","""Yes""","""1""",1753
NA,"""Montana""","""30""","""2016""","""2016""","""No""","""2""",10517
NA,"""Montana""","""30""","""2016""","""2016""","""Unknown or Not Stated""","""9""",12
NA,"""Montana""","""30""","""2017""","""2017""","""Yes""","""1""",1615
NA,"""Montana""","""30""","""2017""","""2017""","""No""","""2""",10177
NA,"""Montana""","""30""","""2018""","""2018""","""Yes""","""1""",1576
NA,"""Montana""","""30""","""2018""","""2018""","""No""","""2""",9931
NA,"""Montana""","""30""","""2019""","""2019""","""Yes""","""1""",1587
NA,"""Montana""","""30""","""2019""","""2019""","""No""","""2""",9490
NA,"""Montana""","""30""","""2020""","""2020""","""Yes""","""1""",1480
NA,"""Montana""","""30""","""2020""","""2020""","""No""","""2""",9310
NA,"""Montana""","""30""","""2021""","""2021""","""Yes""","""1""",1474
NA,"""Montana""","""30""","""2021""","""2021""","""No""","""2""",9757
NA,"""Nebraska""","""31""","""2016""","""2016""","""Yes""","""1""",4292
NA,"""Nebraska""","""31""","""2016""","""2016""","""No""","""2""",22260
NA,"""Nebraska""","""31""","""2016""","""2016""","""Unknown or Not Stated""","""9""",37
NA,"""Nebraska""","""31""","""2017""","""2017""","""Yes""","""1""",4127
NA,"""Nebraska""","""31""","""2017""","""2017""","""No""","""2""",21668
NA,"""Nebraska""","""31""","""2017""","""2017""","""Unknown or Not Stated""","""9""",26
NA,"""Nebraska""","""31""","""2018""","""2018""","""Yes""","""1""",4206
NA,"""Nebraska""","""31""","""2018""","""2018""","""No""","""2""",21255
NA,"""Nebraska""","""31""","""2018""","""2018""","""Unknown or Not Stated""","""9""",27
NA,"""Nebraska""","""31""","""2019""","""2019""","""Yes""","""1""",3975
NA,"""Nebraska""","""31""","""2019""","""2019""","""No""","""2""",20750
NA,"""Nebraska""","""31""","""2019""","""2019""","""Unknown or Not Stated""","""9""",30
NA,"""Nebraska""","""31""","""2020""","""2020""","""Yes""","""1""",3974
NA,"""Nebraska""","""31""","""2020""","""2020""","""No""","""2""",20265
NA,"""Nebraska""","""31""","""2020""","""2020""","""Unknown or Not Stated""","""9""",52
NA,"""Nebraska""","""31""","""2021""","""2021""","""Yes""","""1""",3793
NA,"""Nebraska""","""31""","""2021""","""2021""","""No""","""2""",20779
NA,"""Nebraska""","""31""","""2021""","""2021""","""Unknown or Not Stated""","""9""",37
NA,"""Nevada""","""32""","""2016""","""2016""","""Yes""","""1""",5301
NA,"""Nevada""","""32""","""2016""","""2016""","""No""","""2""",30959
NA,"""Nevada""","""32""","""2017""","""2017""","""Yes""","""1""",5079
NA,"""Nevada""","""32""","""2017""","""2017""","""No""","""2""",30677
NA,"""Nevada""","""32""","""2018""","""2018""","""Yes""","""1""",5408
NA,"""Nevada""","""32""","""2018""","""2018""","""No""","""2""",30272
NA,"""Nevada""","""32""","""2019""","""2019""","""Yes""","""1""",4955
NA,"""Nevada""","""32""","""2019""","""2019""","""No""","""2""",30116
NA,"""Nevada""","""32""","""2020""","""2020""","""Yes""","""1""",4692
NA,"""Nevada""","""32""","""2020""","""2020""","""No""","""2""",28961
NA,"""Nevada""","""32""","""2021""","""2021""","""Yes""","""1""",4795
NA,"""Nevada""","""32""","""2021""","""2021""","""No""","""2""",28891
NA,"""New Hampshire""","""33""","""2016""","""2016""","""Yes""","""1""",1517
NA,"""New Hampshire""","""33""","""2016""","""2016""","""No""","""2""",10643
NA,"""New Hampshire""","""33""","""2016""","""2016""","""Unknown or Not Stated""","""9""",107
NA,"""New Hampshire""","""33""","""2017""","""2017""","""Yes""","""1""",1612
NA,"""New Hampshire""","""33""","""2017""","""2017""","""No""","""2""",10457
NA,"""New Hampshire""","""33""","""2017""","""2017""","""Unknown or Not Stated""","""9""",47
NA,"""New Hampshire""","""33""","""2018""","""2018""","""Yes""","""1""",1633
NA,"""New Hampshire""","""33""","""2018""","""2018""","""No""","""2""",10315
NA,"""New Hampshire""","""33""","""2018""","""2018""","""Unknown or Not Stated""","""9""",47
NA,"""New Hampshire""","""33""","""2019""","""2019""","""Yes""","""1""",1653
NA,"""New Hampshire""","""33""","""2019""","""2019""","""No""","""2""",10142
NA,"""New Hampshire""","""33""","""2019""","""2019""","""Unknown or Not Stated""","""9""",44
NA,"""New Hampshire""","""33""","""2020""","""2020""","""Yes""","""1""",1659
NA,"""New Hampshire""","""33""","""2020""","""2020""","""No""","""2""",10096
NA,"""New Hampshire""","""33""","""2020""","""2020""","""Unknown or Not Stated""","""9""",36
NA,"""New Hampshire""","""33""","""2021""","""2021""","""Yes""","""1""",1821
NA,"""New Hampshire""","""33""","""2021""","""2021""","""No""","""2""",10767
NA,"""New Hampshire""","""33""","""2021""","""2021""","""Unknown or Not Stated""","""9""",37
NA,"""New Jersey""","""34""","""2016""","""2016""","""Yes""","""1""",17731
NA,"""New Jersey""","""34""","""2016""","""2016""","""No""","""2""",84909
NA,"""New Jersey""","""34""","""2017""","""2017""","""Yes""","""1""",17859
NA,"""New Jersey""","""34""","""2017""","""2017""","""No""","""2""",83384
NA,"""New Jersey""","""34""","""2018""","""2018""","""Yes""","""1""",18177
NA,"""New Jersey""","""34""","""2018""","""2018""","""No""","""2""",83039
NA,"""New Jersey""","""34""","""2019""","""2019""","""Yes""","""1""",17733
NA,"""New Jersey""","""34""","""2019""","""2019""","""No""","""2""",81846
NA,"""New Jersey""","""34""","""2020""","""2020""","""Yes""","""1""",17224
NA,"""New Jersey""","""34""","""2020""","""2020""","""No""","""2""",80722
NA,"""New Jersey""","""34""","""2021""","""2021""","""Yes""","""1""",17477
NA,"""New Jersey""","""34""","""2021""","""2021""","""No""","""2""",84011
NA,"""New Mexico""","""35""","""2016""","""2016""","""Yes""","""1""",2968
NA,"""New Mexico""","""35""","""2016""","""2016""","""No""","""2""",21724
NA,"""New Mexico""","""35""","""2017""","""2017""","""Yes""","""1""",2815
NA,"""New Mexico""","""35""","""2017""","""2017""","""No""","""2""",20952
NA,"""New Mexico""","""35""","""2018""","""2018""","""Yes""","""1""",2874
NA,"""New Mexico""","""35""","""2018""","""2018""","""No""","""2""",20165
NA,"""New Mexico""","""35""","""2019""","""2019""","""Yes""","""1""",2834
NA,"""New Mexico""","""35""","""2019""","""2019""","""No""","""2""",20121
NA,"""New Mexico""","""35""","""2020""","""2020""","""Yes""","""1""",2689
NA,"""New Mexico""","""35""","""2020""","""2020""","""No""","""2""",19212
NA,"""New Mexico""","""35""","""2021""","""2021""","""Yes""","""1""",2713
NA,"""New Mexico""","""35""","""2021""","""2021""","""No""","""2""",18676
NA,"""New York""","""36""","""2016""","""2016""","""Yes""","""1""",39998
NA,"""New York""","""36""","""2016""","""2016""","""No""","""2""",194067
NA,"""New York""","""36""","""2016""","""2016""","""Unknown or Not Stated""","""9""",218
NA,"""New York""","""36""","""2017""","""2017""","""Yes""","""1""",39768
NA,"""New York""","""36""","""2017""","""2017""","""No""","""2""",189563
NA,"""New York""","""36""","""2017""","""2017""","""Unknown or Not Stated""","""9""",406
NA,"""New York""","""36""","""2018""","""2018""","""Yes""","""1""",38687
NA,"""New York""","""36""","""2018""","""2018""","""No""","""2""",187057
NA,"""New York""","""36""","""2018""","""2018""","""Unknown or Not Stated""","""9""",494
NA,"""New York""","""36""","""2019""","""2019""","""Yes""","""1""",37589
NA,"""New York""","""36""","""2019""","""2019""","""No""","""2""",183466
NA,"""New York""","""36""","""2019""","""2019""","""Unknown or Not Stated""","""9""",484
NA,"""New York""","""36""","""2020""","""2020""","""Yes""","""1""",35970
NA,"""New York""","""36""","""2020""","""2020""","""No""","""2""",172970
NA,"""New York""","""36""","""2020""","""2020""","""Unknown or Not Stated""","""9""",398
NA,"""New York""","""36""","""2021""","""2021""","""Yes""","""1""",36158
NA,"""New York""","""36""","""2021""","""2021""","""No""","""2""",174133
NA,"""New York""","""36""","""2021""","""2021""","""Unknown or Not Stated""","""9""",451
NA,"""North Carolina""","""37""","""2016""","""2016""","""Yes""","""1""",16775
NA,"""North Carolina""","""37""","""2016""","""2016""","""No""","""2""",103988
NA,"""North Carolina""","""37""","""2016""","""2016""","""Unknown or Not Stated""","""9""",16
NA,"""North Carolina""","""37""","""2017""","""2017""","""Yes""","""1""",16946
NA,"""North Carolina""","""37""","""2017""","""2017""","""No""","""2""",103169
NA,"""North Carolina""","""37""","""2017""","""2017""","""Unknown or Not Stated""","""9""",10
NA,"""North Carolina""","""37""","""2018""","""2018""","""Yes""","""1""",17003
NA,"""North Carolina""","""37""","""2018""","""2018""","""No""","""2""",101931
NA,"""North Carolina""","""37""","""2018""","""2018""","""Unknown or Not Stated""","""9""",20
NA,"""North Carolina""","""37""","""2019""","""2019""","""Yes""","""1""",17410
NA,"""North Carolina""","""37""","""2019""","""2019""","""No""","""2""",101309
NA,"""North Carolina""","""37""","""2020""","""2020""","""Yes""","""1""",16855
NA,"""North Carolina""","""37""","""2020""","""2020""","""No""","""2""",99866
NA,"""North Carolina""","""37""","""2021""","""2021""","""Yes""","""1""",17283
NA,"""North Carolina""","""37""","""2021""","""2021""","""No""","""2""",103160
NA,"""North Carolina""","""37""","""2021""","""2021""","""Unknown or Not Stated""","""9""",23
NA,"""North Dakota""","""38""","""2016""","""2016""","""Yes""","""1""",1607
NA,"""North Dakota""","""38""","""2016""","""2016""","""No""","""2""",9776
NA,"""North Dakota""","""38""","""2017""","""2017""","""Yes""","""1""",1602
NA,"""North Dakota""","""38""","""2017""","""2017""","""No""","""2""",9134
NA,"""North Dakota""","""38""","""2018""","""2018""","""Yes""","""1""",1522
NA,"""North Dakota""","""38""","""2018""","""2018""","""No""","""2""",9112
NA,"""North Dakota""","""38""","""2019""","""2019""","""Yes""","""1""",1524
NA,"""North Dakota""","""38""","""2019""","""2019""","""No""","""2""",8930
NA,"""North Dakota""","""38""","""2020""","""2020""","""Yes""","""1""",1538
NA,"""North Dakota""","""38""","""2020""","""2020""","""No""","""2""",8521
NA,"""North Dakota""","""38""","""2021""","""2021""","""Yes""","""1""",1536
NA,"""North Dakota""","""38""","""2021""","""2021""","""No""","""2""",8576
NA,"""Ohio""","""39""","""2016""","""2016""","""Yes""","""1""",21768
NA,"""Ohio""","""39""","""2016""","""2016""","""No""","""2""",116290
NA,"""Ohio""","""39""","""2016""","""2016""","""Unknown or Not Stated""","""9""",27
NA,"""Ohio""","""39""","""2017""","""2017""","""Yes""","""1""",21381
NA,"""Ohio""","""39""","""2017""","""2017""","""No""","""2""",115437
NA,"""Ohio""","""39""","""2017""","""2017""","""Unknown or Not Stated""","""9""",14
NA,"""Ohio""","""39""","""2018""","""2018""","""Yes""","""1""",21752
NA,"""Ohio""","""39""","""2018""","""2018""","""No""","""2""",113370
NA,"""Ohio""","""39""","""2018""","""2018""","""Unknown or Not Stated""","""9""",12
NA,"""Ohio""","""39""","""2019""","""2019""","""Yes""","""1""",21729
NA,"""Ohio""","""39""","""2019""","""2019""","""No""","""2""",112724
NA,"""Ohio""","""39""","""2020""","""2020""","""Yes""","""1""",20870
NA,"""Ohio""","""39""","""2020""","""2020""","""No""","""2""",108305
NA,"""Ohio""","""39""","""2020""","""2020""","""Unknown or Not Stated""","""9""",16
NA,"""Ohio""","""39""","""2021""","""2021""","""Yes""","""1""",21032
NA,"""Ohio""","""39""","""2021""","""2021""","""No""","""2""",108740
NA,"""Ohio""","""39""","""2021""","""2021""","""Unknown or Not Stated""","""9""",19
NA,"""Oklahoma""","""40""","""2016""","""2016""","""Yes""","""1""",8588
NA,"""Oklahoma""","""40""","""2016""","""2016""","""No""","""2""",44003
NA,"""Oklahoma""","""40""","""2017""","""2017""","""Yes""","""1""",8026
NA,"""Oklahoma""","""40""","""2017""","""2017""","""No""","""2""",42187
NA,"""Oklahoma""","""40""","""2018""","""2018""","""Yes""","""1""",8111
NA,"""Oklahoma""","""40""","""2018""","""2018""","""No""","""2""",41689
NA,"""Oklahoma""","""40""","""2019""","""2019""","""Yes""","""1""",7891
NA,"""Oklahoma""","""40""","""2019""","""2019""","""No""","""2""",41250
NA,"""Oklahoma""","""40""","""2020""","""2020""","""Yes""","""1""",7519
NA,"""Oklahoma""","""40""","""2020""","""2020""","""No""","""2""",40104
NA,"""Oklahoma""","""40""","""2021""","""2021""","""Yes""","""1""",7630
NA,"""Oklahoma""","""40""","""2021""","""2021""","""No""","""2""",40774
NA,"""Oregon""","""41""","""2016""","""2016""","""Yes""","""1""",6039
NA,"""Oregon""","""41""","""2016""","""2016""","""No""","""2""",39494
NA,"""Oregon""","""41""","""2017""","""2017""","""Yes""","""1""",5770
NA,"""Oregon""","""41""","""2017""","""2017""","""No""","""2""",37861
NA,"""Oregon""","""41""","""2018""","""2018""","""Yes""","""1""",5602
NA,"""Oregon""","""41""","""2018""","""2018""","""No""","""2""",36586
NA,"""Oregon""","""41""","""2019""","""2019""","""Yes""","""1""",5531
NA,"""Oregon""","""41""","""2019""","""2019""","""No""","""2""",36325
NA,"""Oregon""","""41""","""2020""","""2020""","""Yes""","""1""",5160
NA,"""Oregon""","""41""","""2020""","""2020""","""No""","""2""",34658
NA,"""Oregon""","""41""","""2021""","""2021""","""Yes""","""1""",5282
NA,"""Oregon""","""41""","""2021""","""2021""","""No""","""2""",35632
NA,"""Pennsylvania""","""42""","""2016""","""2016""","""Yes""","""1""",20076
NA,"""Pennsylvania""","""42""","""2016""","""2016""","""No""","""2""",119312
NA,"""Pennsylvania""","""42""","""2016""","""2016""","""Unknown or Not Stated""","""9""",21
NA,"""Pennsylvania""","""42""","""2017""","""2017""","""Yes""","""1""",20069
NA,"""Pennsylvania""","""42""","""2017""","""2017""","""No""","""2""",117648
NA,"""Pennsylvania""","""42""","""2017""","""2017""","""Unknown or Not Stated""","""9""",28
NA,"""Pennsylvania""","""42""","""2018""","""2018""","""Yes""","""1""",19803
NA,"""Pennsylvania""","""42""","""2018""","""2018""","""No""","""2""",115832
NA,"""Pennsylvania""","""42""","""2018""","""2018""","""Unknown or Not Stated""","""9""",38
NA,"""Pennsylvania""","""42""","""2019""","""2019""","""Yes""","""1""",19900
NA,"""Pennsylvania""","""42""","""2019""","""2019""","""No""","""2""",114298
NA,"""Pennsylvania""","""42""","""2019""","""2019""","""Unknown or Not Stated""","""9""",32
NA,"""Pennsylvania""","""42""","""2020""","""2020""","""Yes""","""1""",20010
NA,"""Pennsylvania""","""42""","""2020""","""2020""","""No""","""2""",110638
NA,"""Pennsylvania""","""42""","""2020""","""2020""","""Unknown or Not Stated""","""9""",45
NA,"""Pennsylvania""","""42""","""2021""","""2021""","""Yes""","""1""",20373
NA,"""Pennsylvania""","""42""","""2021""","""2021""","""No""","""2""",111976
NA,"""Pennsylvania""","""42""","""2021""","""2021""","""Unknown or Not Stated""","""9""",273
NA,"""Rhode Island""","""44""","""2016""","""2016""","""Yes""","""1""",1693
NA,"""Rhode Island""","""44""","""2016""","""2016""","""No""","""2""",9098
NA,"""Rhode Island""","""44""","""2017""","""2017""","""Yes""","""1""",1640
NA,"""Rhode Island""","""44""","""2017""","""2017""","""No""","""2""",8995
NA,"""Rhode Island""","""44""","""2018""","""2018""","""Yes""","""1""",1651
NA,"""Rhode Island""","""44""","""2018""","""2018""","""No""","""2""",8850
NA,"""Rhode Island""","""44""","""2019""","""2019""","""Yes""","""1""",1569
NA,"""Rhode Island""","""44""","""2019""","""2019""","""No""","""2""",8592
NA,"""Rhode Island""","""44""","""2019""","""2019""","""Unknown or Not Stated""","""9""",14
NA,"""Rhode Island""","""44""","""2020""","""2020""","""Yes""","""1""",1581
NA,"""Rhode Island""","""44""","""2020""","""2020""","""No""","""2""",8503
NA,"""Rhode Island""","""44""","""2020""","""2020""","""Unknown or Not Stated""","""9""",17
NA,"""Rhode Island""","""44""","""2021""","""2021""","""Yes""","""1""",1626
NA,"""Rhode Island""","""44""","""2021""","""2021""","""No""","""2""",8824
NA,"""Rhode Island""","""44""","""2021""","""2021""","""Unknown or Not Stated""","""9""",14
NA,"""South Carolina""","""45""","""2016""","""2016""","""Yes""","""1""",9425
NA,"""South Carolina""","""45""","""2016""","""2016""","""No""","""2""",47915
NA,"""South Carolina""","""45""","""2017""","""2017""","""Yes""","""1""",9448
NA,"""South Carolina""","""45""","""2017""","""2017""","""No""","""2""",47578
NA,"""South Carolina""","""45""","""2018""","""2018""","""Yes""","""1""",9365
NA,"""South Carolina""","""45""","""2018""","""2018""","""No""","""2""",47300
NA,"""South Carolina""","""45""","""2019""","""2019""","""Yes""","""1""",9313
NA,"""South Carolina""","""45""","""2019""","""2019""","""No""","""2""",47721
NA,"""South Carolina""","""45""","""2020""","""2020""","""Yes""","""1""",9130
NA,"""South Carolina""","""45""","""2020""","""2020""","""No""","""2""",46569
NA,"""South Carolina""","""45""","""2021""","""2021""","""Yes""","""1""",8559
NA,"""South Carolina""","""45""","""2021""","""2021""","""No""","""2""",48559
NA,"""South Carolina""","""45""","""2021""","""2021""","""Unknown or Not Stated""","""9""",67
NA,"""South Dakota""","""46""","""2016""","""2016""","""Yes""","""1""",1740
NA,"""South Dakota""","""46""","""2016""","""2016""","""No""","""2""",10534
NA,"""South Dakota""","""46""","""2017""","""2017""","""Yes""","""1""",1680
NA,"""South Dakota""","""46""","""2017""","""2017""","""No""","""2""",10450
NA,"""South Dakota""","""46""","""2018""","""2018""","""Yes""","""1""",1677
NA,"""South Dakota""","""46""","""2018""","""2018""","""No""","""2""",10204
NA,"""South Dakota""","""46""","""2018""","""2018""","""Unknown or Not Stated""","""9""",12
NA,"""South Dakota""","""46""","""2019""","""2019""","""Yes""","""1""",1579
NA,"""South Dakota""","""46""","""2019""","""2019""","""No""","""2""",9867
NA,"""South Dakota""","""46""","""2020""","""2020""","""Yes""","""1""",1482
NA,"""South Dakota""","""46""","""2020""","""2020""","""No""","""2""",9469
NA,"""South Dakota""","""46""","""2021""","""2021""","""Yes""","""1""",1496
NA,"""South Dakota""","""46""","""2021""","""2021""","""No""","""2""",9868
NA,"""Tennessee""","""47""","""2016""","""2016""","""Yes""","""1""",11643
NA,"""Tennessee""","""47""","""2016""","""2016""","""No""","""2""",69160
NA,"""Tennessee""","""47""","""2017""","""2017""","""Yes""","""1""",11515
NA,"""Tennessee""","""47""","""2017""","""2017""","""No""","""2""",69433
NA,"""Tennessee""","""47""","""2017""","""2017""","""Unknown or Not Stated""","""9""",68
NA,"""Tennessee""","""47""","""2018""","""2018""","""Yes""","""1""",12206
NA,"""Tennessee""","""47""","""2018""","""2018""","""No""","""2""",68504
NA,"""Tennessee""","""47""","""2018""","""2018""","""Unknown or Not Stated""","""9""",41
NA,"""Tennessee""","""47""","""2019""","""2019""","""Yes""","""1""",12420
NA,"""Tennessee""","""47""","""2019""","""2019""","""No""","""2""",68026
NA,"""Tennessee""","""47""","""2020""","""2020""","""Yes""","""1""",12136
NA,"""Tennessee""","""47""","""2020""","""2020""","""No""","""2""",66551
NA,"""Tennessee""","""47""","""2021""","""2021""","""Yes""","""1""",12466
NA,"""Tennessee""","""47""","""2021""","""2021""","""No""","""2""",69246
NA,"""Texas""","""48""","""2016""","""2016""","""Yes""","""1""",64289
NA,"""Texas""","""48""","""2016""","""2016""","""No""","""2""",333756
NA,"""Texas""","""48""","""2017""","""2017""","""Yes""","""1""",64349
NA,"""Texas""","""48""","""2017""","""2017""","""No""","""2""",317700
NA,"""Texas""","""48""","""2018""","""2018""","""Yes""","""1""",64664
NA,"""Texas""","""48""","""2018""","""2018""","""No""","""2""",313927
NA,"""Texas""","""48""","""2018""","""2018""","""Unknown or Not Stated""","""9""",33
NA,"""Texas""","""48""","""2019""","""2019""","""Yes""","""1""",59702
NA,"""Texas""","""48""","""2019""","""2019""","""No""","""2""",317497
NA,"""Texas""","""48""","""2019""","""2019""","""Unknown or Not Stated""","""9""",400
NA,"""Texas""","""48""","""2020""","""2020""","""Yes""","""1""",59665
NA,"""Texas""","""48""","""2020""","""2020""","""No""","""2""",308028
NA,"""Texas""","""48""","""2020""","""2020""","""Unknown or Not Stated""","""9""",497
NA,"""Texas""","""48""","""2021""","""2021""","""Yes""","""1""",59684
NA,"""Texas""","""48""","""2021""","""2021""","""No""","""2""",313352
NA,"""Texas""","""48""","""2021""","""2021""","""Unknown or Not Stated""","""9""",558
NA,"""Utah""","""49""","""2016""","""2016""","""Yes""","""1""",7014
NA,"""Utah""","""49""","""2016""","""2016""","""No""","""2""",43450
NA,"""Utah""","""49""","""2017""","""2017""","""Yes""","""1""",6769
NA,"""Utah""","""49""","""2017""","""2017""","""No""","""2""",41815
NA,"""Utah""","""49""","""2018""","""2018""","""Yes""","""1""",6390
NA,"""Utah""","""49""","""2018""","""2018""","""No""","""2""",40818
NA,"""Utah""","""49""","""2019""","""2019""","""Yes""","""1""",6433
NA,"""Utah""","""49""","""2019""","""2019""","""No""","""2""",40393
NA,"""Utah""","""49""","""2020""","""2020""","""Yes""","""1""",6272
NA,"""Utah""","""49""","""2020""","""2020""","""No""","""2""",39430
NA,"""Utah""","""49""","""2021""","""2021""","""Yes""","""1""",6312
NA,"""Utah""","""49""","""2021""","""2021""","""No""","""2""",40400
NA,"""Vermont""","""50""","""2016""","""2016""","""Yes""","""1""",747
NA,"""Vermont""","""50""","""2016""","""2016""","""No""","""2""",5009
NA,"""Vermont""","""50""","""2017""","""2017""","""Yes""","""1""",699
NA,"""Vermont""","""50""","""2017""","""2017""","""No""","""2""",4956
NA,"""Vermont""","""50""","""2018""","""2018""","""Yes""","""1""",701
NA,"""Vermont""","""50""","""2018""","""2018""","""No""","""2""",4729
NA,"""Vermont""","""50""","""2019""","""2019""","""Yes""","""1""",711
NA,"""Vermont""","""50""","""2019""","""2019""","""No""","""2""",4649
NA,"""Vermont""","""50""","""2020""","""2020""","""Yes""","""1""",657
NA,"""Vermont""","""50""","""2020""","""2020""","""No""","""2""",4476
NA,"""Vermont""","""50""","""2021""","""2021""","""Yes""","""1""",692
NA,"""Vermont""","""50""","""2021""","""2021""","""No""","""2""",4692
NA,"""Virginia""","""51""","""2016""","""2016""","""Yes""","""1""",17490
NA,"""Virginia""","""51""","""2016""","""2016""","""No""","""2""",84966
NA,"""Virginia""","""51""","""2017""","""2017""","""Yes""","""1""",17112
NA,"""Virginia""","""51""","""2017""","""2017""","""No""","""2""",83278
NA,"""Virginia""","""51""","""2018""","""2018""","""Yes""","""1""",17477
NA,"""Virginia""","""51""","""2018""","""2018""","""No""","""2""",82365
NA,"""Virginia""","""51""","""2019""","""2019""","""Yes""","""1""",16692
NA,"""Virginia""","""51""","""2019""","""2019""","""No""","""2""",80731
NA,"""Virginia""","""51""","""2020""","""2020""","""Yes""","""1""",16378
NA,"""Virginia""","""51""","""2020""","""2020""","""No""","""2""",78368
NA,"""Virginia""","""51""","""2021""","""2021""","""Yes""","""1""",16297
NA,"""Virginia""","""51""","""2021""","""2021""","""No""","""2""",79524
NA,"""Washington""","""53""","""2016""","""2016""","""Yes""","""1""",12421
NA,"""Washington""","""53""","""2016""","""2016""","""No""","""2""",77651
NA,"""Washington""","""53""","""2016""","""2016""","""Unknown or Not Stated""","""9""",433
NA,"""Washington""","""53""","""2017""","""2017""","""Yes""","""1""",12008
NA,"""Washington""","""53""","""2017""","""2017""","""No""","""2""",75177
NA,"""Washington""","""53""","""2017""","""2017""","""Unknown or Not Stated""","""9""",377
NA,"""Washington""","""53""","""2018""","""2018""","""Yes""","""1""",11948
NA,"""Washington""","""53""","""2018""","""2018""","""No""","""2""",74137
NA,"""Washington""","""53""","""2019""","""2019""","""Yes""","""1""",11957
NA,"""Washington""","""53""","""2019""","""2019""","""No""","""2""",72911
NA,"""Washington""","""53""","""2019""","""2019""","""Unknown or Not Stated""","""9""",27
NA,"""Washington""","""53""","""2020""","""2020""","""Yes""","""1""",11297
NA,"""Washington""","""53""","""2020""","""2020""","""No""","""2""",71211
NA,"""Washington""","""53""","""2020""","""2020""","""Unknown or Not Stated""","""9""",578
NA,"""Washington""","""53""","""2021""","""2021""","""Yes""","""1""",10823
NA,"""Washington""","""53""","""2021""","""2021""","""No""","""2""",72107
NA,"""Washington""","""53""","""2021""","""2021""","""Unknown or Not Stated""","""9""",981
NA,"""West Virginia""","""54""","""2016""","""2016""","""Yes""","""1""",3061
NA,"""West Virginia""","""54""","""2016""","""2016""","""No""","""2""",15920
NA,"""West Virginia""","""54""","""2016""","""2016""","""Unknown or Not Stated""","""9""",98
