"""Notes""","""State of Residence""","""State of Residence Code""","""Year""","""Year Code""","""Previous Cesarean Delivery""","""Previous Cesarean Delivery Code""","Births"
NA,"""Colorado""","""08""","""2017""","""2017""","""Yes""","""1""",8177
NA,"""Colorado""","""08""","""2017""","""2017""","""No""","""2""",56196
NA,"""Colorado""","""08""","""2018""","""2018""","""Yes""","""1""",7658
NA,"""Colorado""","""08""","""2018""","""2018""","""No""","""2""",55219
NA,"""Colorado""","""08""","""2019""","""2019""","""Yes""","""1""",7842
NA,"""Colorado""","""08""","""2019""","""2019""","""No""","""2""",55017
NA,"""Colorado""","""08""","""2019""","""2019""","""Unknown or Not Stated""","""9""",10
NA,"""Colorado""","""08""","""2020""","""2020""","""Yes""","""1""",7654
NA,"""Colorado""","""08""","""2020""","""2020""","""No""","""2""",53825
NA,"""Colorado""","""08""","""2020""","""2020""","""Unknown or Not Stated""","""9""",15
NA,"""Colorado""","""08""","""2021""","""2021""","""Yes""","""1""",7632
NA,"""Colorado""","""08""","""2021""","""2021""","""No""","""2""",55308
NA,"""Connecticut""","""09""","""2016""","""2016""","""Yes""","""1""",5462
NA,"""Connecticut""","""09""","""2016""","""2016""","""No""","""2""",29859
NA,"""Connecticut""","""09""","""2016""","""2016""","""Unknown or Not Stated""","""9""",694
NA,"""Connecticut""","""09""","""2017""","""2017""","""Yes""","""1""",5654
NA,"""Connecticut""","""09""","""2017""","""2017""","""No""","""2""",29294
NA,"""Connecticut""","""09""","""2017""","""2017""","""Unknown or Not Stated""","""9""",273
NA,"""Connecticut""","""09""","""2018""","""2018""","""Yes""","""1""",5699
NA,"""Connecticut""","""09""","""2018""","""2018""","""No""","""2""",28915
NA,"""Connecticut""","""09""","""2018""","""2018""","""Unknown or Not Stated""","""9""",111
NA,"""Connecticut""","""09""","""2019""","""2019""","""Yes""","""1""",5753
NA,"""Connecticut""","""09""","""2019""","""2019""","""No""","""2""",28384
NA,"""Connecticut""","""09""","""2019""","""2019""","""Unknown or Not Stated""","""9""",121
NA,"""Connecticut""","""09""","""2020""","""2020""","""Yes""","""1""",5362
NA,"""Connecticut""","""09""","""2020""","""2020""","""No""","""2""",27959
NA,"""Connecticut""","""09""","""2020""","""2020""","""Unknown or Not Stated""","""9""",139
NA,"""Connecticut""","""09""","""2021""","""2021""","""Yes""","""1""",5863
NA,"""Connecticut""","""09""","""2021""","""2021""","""No""","""2""",29782
NA,"""Connecticut""","""09""","""2021""","""2021""","""Unknown or Not Stated""","""9""",25
NA,"""Delaware""","""10""","""2016""","""2016""","""Yes""","""1""",1842
NA,"""Delaware""","""10""","""2016""","""2016""","""No""","""2""",9149
NA,"""Delaware""","""10""","""2017""","""2017""","""Yes""","""1""",1855
NA,"""Delaware""","""10""","""2017""","""2017""","""No""","""2""",8999
NA,"""Delaware""","""10""","""2018""","""2018""","""Yes""","""1""",1764
NA,"""Delaware""","""10""","""2018""","""2018""","""No""","""2""",8853
NA,"""Delaware""","""10""","""2019""","""2019""","""Yes""","""1""",1516
NA,"""Delaware""","""10""","""2019""","""2019""","""No""","""2""",9031
NA,"""Delaware""","""10""","""2019""","""2019""","""Unknown or Not Stated""","""9""",15
NA,"""Delaware""","""10""","""2020""","""2020""","""Yes""","""1""",1476
NA,"""Delaware""","""10""","""2020""","""2020""","""No""","""2""",8884
NA,"""Delaware""","""10""","""2020""","""2020""","""Unknown or Not Stated""","""9""",32
NA,"""Delaware""","""10""","""2021""","""2021""","""Yes""","""1""",1435
NA,"""Delaware""","""10""","""2021""","""2021""","""No""","""2""",9021
NA,"""Delaware""","""10""","""2021""","""2021""","""Unknown or Not Stated""","""9""",26
NA,"""District of Columbia""","""11""","""2016""","""2016""","""Yes""","""1""",1323
NA,"""District of Columbia""","""11""","""2016""","""2016""","""No""","""2""",8520
NA,"""District of Columbia""","""11""","""2016""","""2016""","""Unknown or Not Stated""","""9""",15
NA,"""District of Columbia""","""11""","""2017""","""2017""","""Yes""","""1""",1330
NA,"""District of Columbia""","""11""","""2017""","""2017""","""No""","""2""",8229
NA,"""District of Columbia""","""11""","""2018""","""2018""","""Yes""","""1""",1348
NA,"""District of Columbia""","""11""","""2018""","""2018""","""No""","""2""",7862
NA,"""District of Columbia""","""11""","""2019""","""2019""","""Yes""","""1""",1413
NA,"""District of Columbia""","""11""","""2019""","""2019""","""No""","""2""",7662
NA,"""District of Columbia""","""11""","""2020""","""2020""","""Yes""","""1""",1278
NA,"""District of Columbia""","""11""","""2020""","""2020""","""No""","""2""",7592
NA,"""District of Columbia""","""11""","""2021""","""2021""","""Yes""","""1""",1070
NA,"""District of Columbia""","""11""","""2021""","""2021""","""No""","""2""",7584
NA,"""Florida""","""12""","""2016""","""2016""","""Yes""","""1""",34258
NA,"""Florida""","""12""","""2016""","""2016""","""No""","""2""",190348
NA,"""Florida""","""12""","""2016""","""2016""","""Unknown or Not Stated""","""9""",416
NA,"""Florida""","""12""","""2017""","""2017""","""Yes""","""1""",34066
NA,"""Florida""","""12""","""2017""","""2017""","""No""","""2""",189060
NA,"""Florida""","""12""","""2017""","""2017""","""Unknown or Not Stated""","""9""",504
NA,"""Florida""","""12""","""2018""","""2018""","""Yes""","""1""",35160
NA,"""Florida""","""12""","""2018""","""2018""","""No""","""2""",185910
NA,"""Florida""","""12""","""2018""","""2018""","""Unknown or Not Stated""","""9""",472
NA,"""Florida""","""12""","""2019""","""2019""","""Yes""","""1""",35404
NA,"""Florida""","""12""","""2019""","""2019""","""No""","""2""",184281
NA,"""Florida""","""12""","""2019""","""2019""","""Unknown or Not Stated""","""9""",317
NA,"""Florida""","""12""","""2020""","""2020""","""Yes""","""1""",33148
NA,"""Florida""","""12""","""2020""","""2020""","""No""","""2""",176229
NA,"""Florida""","""12""","""2020""","""2020""","""Unknown or Not Stated""","""9""",294
NA,"""Florida""","""12""","""2021""","""2021""","""Yes""","""1""",33052
NA,"""Florida""","""12""","""2021""","""2021""","""No""","""2""",182529
NA,"""Florida""","""12""","""2021""","""2021""","""Unknown or Not Stated""","""9""",679
NA,"""Georgia""","""13""","""2016""","""2016""","""Yes""","""1""",18052
NA,"""Georgia""","""13""","""2016""","""2016""","""No""","""2""",111642
NA,"""Georgia""","""13""","""2016""","""2016""","""Unknown or Not Stated""","""9""",348
NA,"""Georgia""","""13""","""2017""","""2017""","""Yes""","""1""",17940
NA,"""Georgia""","""13""","""2017""","""2017""","""No""","""2""",110921
NA,"""Georgia""","""13""","""2017""","""2017""","""Unknown or Not Stated""","""9""",382
NA,"""Georgia""","""13""","""2018""","""2018""","""Yes""","""1""",17490
NA,"""Georgia""","""13""","""2018""","""2018""","""No""","""2""",108421
NA,"""Georgia""","""13""","""2018""","""2018""","""Unknown or Not Stated""","""9""",261
NA,"""Georgia""","""13""","""2019""","""2019""","""Yes""","""1""",17252
NA,"""Georgia""","""13""","""2019""","""2019""","""No""","""2""",108918
NA,"""Georgia""","""13""","""2019""","""2019""","""Unknown or Not Stated""","""9""",201
NA,"""Georgia""","""13""","""2020""","""2020""","""Yes""","""1""",16206
NA,"""Georgia""","""13""","""2020""","""2020""","""No""","""2""",106124
NA,"""Georgia""","""13""","""2020""","""2020""","""Unknown or Not Stated""","""9""",143
NA,"""Georgia""","""13""","""2021""","""2021""","""Yes""","""1""",17172
NA,"""Georgia""","""13""","""2021""","""2021""","""No""","""2""",106732
NA,"""Georgia""","""13""","""2021""","""2021""","""Unknown or Not Stated""","""9""",169
NA,"""Hawaii""","""15""","""2016""","""2016""","""Yes""","""1""",2286
NA,"""Hawaii""","""15""","""2016""","""2016""","""No""","""2""",15773
