"""Notes""","""State of Residence""","""State of Residence Code""","""Year""","""Year Code""","""Previous Preterm Birth""","""Previous Preterm Birth Code""","Births"
NA,"""Minnesota""","""27""","""2017""","""2017""","""Unknown or Not Stated""","""9""",103
NA,"""Minnesota""","""27""","""2018""","""2018""","""Yes""","""1""",3030
NA,"""Minnesota""","""27""","""2018""","""2018""","""No""","""2""",64271
NA,"""Minnesota""","""27""","""2018""","""2018""","""Unknown or Not Stated""","""9""",43
NA,"""Minnesota""","""27""","""2019""","""2019""","""Yes""","""1""",3105
NA,"""Minnesota""","""27""","""2019""","""2019""","""No""","""2""",62843
NA,"""Minnesota""","""27""","""2019""","""2019""","""Unknown or Not Stated""","""9""",79
NA,"""Minnesota""","""27""","""2020""","""2020""","""Yes""","""1""",2891
NA,"""Minnesota""","""27""","""2020""","""2020""","""No""","""2""",60498
NA,"""Minnesota""","""27""","""2020""","""2020""","""Unknown or Not Stated""","""9""",54
NA,"""Minnesota""","""27""","""2021""","""2021""","""Yes""","""1""",3009
NA,"""Minnesota""","""27""","""2021""","""2021""","""No""","""2""",61371
NA,"""Minnesota""","""27""","""2021""","""2021""","""Unknown or Not Stated""","""9""",45
NA,"""Mississippi""","""28""","""2016""","""2016""","""Yes""","""1""",1473
NA,"""Mississippi""","""28""","""2016""","""2016""","""No""","""2""",36444
NA,"""Mississippi""","""28""","""2016""","""2016""","""Unknown or Not Stated""","""9""",11
NA,"""Mississippi""","""28""","""2017""","""2017""","""Yes""","""1""",1428
NA,"""Mississippi""","""28""","""2017""","""2017""","""No""","""2""",35919
NA,"""Mississippi""","""28""","""2017""","""2017""","""Unknown or Not Stated""","""9""",10
NA,"""Mississippi""","""28""","""2018""","""2018""","""Yes""","""1""",1320
NA,"""Mississippi""","""28""","""2018""","""2018""","""No""","""2""",35663
NA,"""Mississippi""","""28""","""2018""","""2018""","""Unknown or Not Stated""","""9""",17
NA,"""Mississippi""","""28""","""2019""","""2019""","""Yes""","""1""",1398
NA,"""Mississippi""","""28""","""2019""","""2019""","""No""","""2""",35227
NA,"""Mississippi""","""28""","""2019""","""2019""","""Unknown or Not Stated""","""9""",11
NA,"""Mississippi""","""28""","""2020""","""2020""","""Yes""","""1""",1572
NA,"""Mississippi""","""28""","""2020""","""2020""","""No""","""2""",33896
NA,"""Mississippi""","""28""","""2021""","""2021""","""Yes""","""1""",1549
NA,"""Mississippi""","""28""","""2021""","""2021""","""No""","""2""",33598
NA,"""Missouri""","""29""","""2016""","""2016""","""Yes""","""1""",2773
NA,"""Missouri""","""29""","""2016""","""2016""","""No""","""2""",71931
NA,"""Missouri""","""29""","""2017""","""2017""","""Yes""","""1""",2906
NA,"""Missouri""","""29""","""2017""","""2017""","""No""","""2""",70128
NA,"""Missouri""","""29""","""2018""","""2018""","""Yes""","""1""",3166
NA,"""Missouri""","""29""","""2018""","""2018""","""No""","""2""",70103
NA,"""Missouri""","""29""","""2019""","""2019""","""Yes""","""1""",3442
NA,"""Missouri""","""29""","""2019""","""2019""","""No""","""2""",68682
NA,"""Missouri""","""29""","""2020""","""2020""","""Yes""","""1""",3332
NA,"""Missouri""","""29""","""2020""","""2020""","""No""","""2""",65951
NA,"""Missouri""","""29""","""2021""","""2021""","""Yes""","""1""",3408
NA,"""Missouri""","""29""","""2021""","""2021""","""No""","""2""",66043
NA,"""Montana""","""30""","""2016""","""2016""","""Yes""","""1""",399
NA,"""Montana""","""30""","""2016""","""2016""","""No""","""2""",11871
NA,"""Montana""","""30""","""2016""","""2016""","""Unknown or Not Stated""","""9""",12
NA,"""Montana""","""30""","""2017""","""2017""","""Yes""","""1""",365
NA,"""Montana""","""30""","""2017""","""2017""","""No""","""2""",11427
NA,"""Montana""","""30""","""2018""","""2018""","""Yes""","""1""",396
NA,"""Montana""","""30""","""2018""","""2018""","""No""","""2""",11111
NA,"""Montana""","""30""","""2019""","""2019""","""Yes""","""1""",481
NA,"""Montana""","""30""","""2019""","""2019""","""No""","""2""",10596
NA,"""Montana""","""30""","""2020""","""2020""","""Yes""","""1""",432
NA,"""Montana""","""30""","""2020""","""2020""","""No""","""2""",10358
NA,"""Montana""","""30""","""2021""","""2021""","""Yes""","""1""",482
NA,"""Montana""","""30""","""2021""","""2021""","""No""","""2""",10749
NA,"""Nebraska""","""31""","""2016""","""2016""","""Yes""","""1""",1376
NA,"""Nebraska""","""31""","""2016""","""2016""","""No""","""2""",25176
NA,"""Nebraska""","""31""","""2016""","""2016""","""Unknown or Not Stated""","""9""",37
NA,"""Nebraska""","""31""","""2017""","""2017""","""Yes""","""1""",1319
NA,"""Nebraska""","""31""","""2017""","""2017""","""No""","""2""",24476
NA,"""Nebraska""","""31""","""2017""","""2017""","""Unknown or Not Stated""","""9""",26
NA,"""Nebraska""","""31""","""2018""","""2018""","""Yes""","""1""",1337
NA,"""Nebraska""","""31""","""2018""","""2018""","""No""","""2""",24124
NA,"""Nebraska""","""31""","""2018""","""2018""","""Unknown or Not Stated""","""9""",27
NA,"""Nebraska""","""31""","""2019""","""2019""","""Yes""","""1""",1333
NA,"""Nebraska""","""31""","""2019""","""2019""","""No""","""2""",23392
NA,"""Nebraska""","""31""","""2019""","""2019""","""Unknown or Not Stated""","""9""",30
NA,"""Nebraska""","""31""","""2020""","""2020""","""Yes""","""1""",1149
NA,"""Nebraska""","""31""","""2020""","""2020""","""No""","""2""",23090
NA,"""Nebraska""","""31""","""2020""","""2020""","""Unknown or Not Stated""","""9""",52
NA,"""Nebraska""","""31""","""2021""","""2021""","""Yes""","""1""",1141
NA,"""Nebraska""","""31""","""2021""","""2021""","""No""","""2""",23431
NA,"""Nebraska""","""31""","""2021""","""2021""","""Unknown or Not Stated""","""9""",37
NA,"""Nevada""","""32""","""2016""","""2016""","""Yes""","""1""",1366
NA,"""Nevada""","""32""","""2016""","""2016""","""No""","""2""",34894
NA,"""Nevada""","""32""","""2017""","""2017""","""Yes""","""1""",1196
NA,"""Nevada""","""32""","""2017""","""2017""","""No""","""2""",34560
NA,"""Nevada""","""32""","""2018""","""2018""","""Yes""","""1""",1443
NA,"""Nevada""","""32""","""2018""","""2018""","""No""","""2""",34237
NA,"""Nevada""","""32""","""2019""","""2019""","""Yes""","""1""",1389
NA,"""Nevada""","""32""","""2019""","""2019""","""No""","""2""",33682
NA,"""Nevada""","""32""","""2020""","""2020""","""Yes""","""1""",1436
NA,"""Nevada""","""32""","""2020""","""2020""","""No""","""2""",32217
NA,"""Nevada""","""32""","""2021""","""2021""","""Yes""","""1""",1457
NA,"""Nevada""","""32""","""2021""","""2021""","""No""","""2""",32229
NA,"""New Hampshire""","""33""","""2016""","""2016""","""Yes""","""1""",333
NA,"""New Hampshire""","""33""","""2016""","""2016""","""No""","""2""",11827
NA,"""New Hampshire""","""33""","""2016""","""2016""","""Unknown or Not Stated""","""9""",107
NA,"""New Hampshire""","""33""","""2017""","""2017""","""Yes""","""1""",350
NA,"""New Hampshire""","""33""","""2017""","""2017""","""No""","""2""",11719
NA,"""New Hampshire""","""33""","""2017""","""2017""","""Unknown or Not Stated""","""9""",47
NA,"""New Hampshire""","""33""","""2018""","""2018""","""Yes""","""1""",355
NA,"""New Hampshire""","""33""","""2018""","""2018""","""No""","""2""",11593
NA,"""New Hampshire""","""33""","""2018""","""2018""","""Unknown or Not Stated""","""9""",47
NA,"""New Hampshire""","""33""","""2019""","""2019""","""Yes""","""1""",400
NA,"""New Hampshire""","""33""","""2019""","""2019""","""No""","""2""",11395
NA,"""New Hampshire""","""33""","""2019""","""2019""","""Unknown or Not Stated""","""9""",44
NA,"""New Hampshire""","""33""","""2020""","""2020""","""Yes""","""1""",324
NA,"""New Hampshire""","""33""","""2020""","""2020""","""No""","""2""",11431
NA,"""New Hampshire""","""33""","""2020""","""2020""","""Unknown or Not Stated""","""9""",36
NA,"""New Hampshire""","""33""","""2021""","""2021""","""Yes""","""1""",362
NA,"""New Hampshire""","""33""","""2021""","""2021""","""No""","""2""",12226
NA,"""New Hampshire""","""33""","""2021""","""2021""","""Unknown or Not Stated""","""9""",37
NA,"""New Jersey""","""34""","""2016""","""2016""","""Yes""","""1""",3020
NA,"""New Jersey""","""34""","""2016""","""2016""","""No""","""2""",99620
NA,"""New Jersey""","""34""","""2017""","""2017""","""Yes""","""1""",2923
NA,"""New Jersey""","""34""","""2017""","""2017""","""No""","""2""",98320
NA,"""New Jersey""","""34""","""2018""","""2018""","""Yes""","""1""",2916
NA,"""New Jersey""","""34""","""2018""","""2018""","""No""","""2""",98300
NA,"""New Jersey""","""34""","""2019""","""2019""","""Yes""","""1""",2920
NA,"""New Jersey""","""34""","""2019""","""2019""","""No""","""2""",96659
NA,"""New Jersey""","""34""","""2020""","""2020""","""Yes""","""1""",2767
NA,"""New Jersey""","""34""","""2020""","""2020""","""No""","""2""",95179
NA,"""New Jersey""","""34""","""2021""","""2021""","""Yes""","""1""",3811
NA,"""New Jersey""","""34""","""2021""","""2021""","""No""","""2""",97677
NA,"""New Mexico""","""35""","""2016""","""2016""","""Yes""","""1""",1372
NA,"""New Mexico""","""35""","""2016""","""2016""","""No""","""2""",23320
NA,"""New Mexico""","""35""","""2017""","""2017""","""Yes""","""1""",1389
NA,"""New Mexico""","""35""","""2017""","""2017""","""No""","""2""",22378
NA,"""New Mexico""","""35""","""2018""","""2018""","""Yes""","""1""",1489
NA,"""New Mexico""","""35""","""2018""","""2018""","""No""","""2""",21550
NA,"""New Mexico""","""35""","""2019""","""2019""","""Yes""","""1""",1441
NA,"""New Mexico""","""35""","""2019""","""2019""","""No""","""2""",21514
NA,"""New Mexico""","""35""","""2020""","""2020""","""Yes""","""1""",1131
NA,"""New Mexico""","""35""","""2020""","""2020""","""No""","""2""",20770
NA,"""New Mexico""","""35""","""2021""","""2021""","""Yes""","""1""",1241
NA,"""New Mexico""","""35""","""2021""","""2021""","""No""","""2""",20148
NA,"""New York""","""36""","""2016""","""2016""","""Yes""","""1""",8734
NA,"""New York""","""36""","""2016""","""2016""","""No""","""2""",225331
NA,"""New York""","""36""","""2016""","""2016""","""Unknown or Not Stated""","""9""",218
NA,"""New York""","""36""","""2017""","""2017""","""Yes""","""1""",8917
NA,"""New York""","""36""","""2017""","""2017""","""No""","""2""",220414
NA,"""New York""","""36""","""2017""","""2017""","""Unknown or Not Stated""","""9""",406
NA,"""New York""","""36""","""2018""","""2018""","""Yes""","""1""",9135
NA,"""New York""","""36""","""2018""","""2018""","""No""","""2""",216609
NA,"""New York""","""36""","""2018""","""2018""","""Unknown or Not Stated""","""9""",494
NA,"""New York""","""36""","""2019""","""2019""","""Yes""","""1""",9253
NA,"""New York""","""36""","""2019""","""2019""","""No""","""2""",211802
NA,"""New York""","""36""","""2019""","""2019""","""Unknown or Not Stated""","""9""",484
NA,"""New York""","""36""","""2020""","""2020""","""Yes""","""1""",8439
NA,"""New York""","""36""","""2020""","""2020""","""No""","""2""",200501
NA,"""New York""","""36""","""2020""","""2020""","""Unknown or Not Stated""","""9""",398
NA,"""New York""","""36""","""2021""","""2021""","""Yes""","""1""",8250
NA,"""New York""","""36""","""2021""","""2021""","""No""","""2""",202041
NA,"""New York""","""36""","""2021""","""2021""","""Unknown or Not Stated""","""9""",451
NA,"""North Carolina""","""37""","""2016""","""2016""","""Yes""","""1""",4774
NA,"""North Carolina""","""37""","""2016""","""2016""","""No""","""2""",115989
NA,"""North Carolina""","""37""","""2016""","""2016""","""Unknown or Not Stated""","""9""",16
NA,"""North Carolina""","""37""","""2017""","""2017""","""Yes""","""1""",5369
NA,"""North Carolina""","""37""","""2017""","""2017""","""No""","""2""",114746
NA,"""North Carolina""","""37""","""2017""","""2017""","""Unknown or Not Stated""","""9""",10
NA,"""North Carolina""","""37""","""2018""","""2018""","""Yes""","""1""",5629
NA,"""North Carolina""","""37""","""2018""","""2018""","""No""","""2""",113305
NA,"""North Carolina""","""37""","""2018""","""2018""","""Unknown or Not Stated""","""9""",20
NA,"""North Carolina""","""37""","""2019""","""2019""","""Yes""","""1""",5935
NA,"""North Carolina""","""37""","""2019""","""2019""","""No""","""2""",112784
NA,"""North Carolina""","""37""","""2020""","""2020""","""Yes""","""1""",6202
NA,"""North Carolina""","""37""","""2020""","""2020""","""No""","""2""",110519
NA,"""North Carolina""","""37""","""2021""","""2021""","""Yes""","""1""",6498
NA,"""North Carolina""","""37""","""2021""","""2021""","""No""","""2""",113945
NA,"""North Carolina""","""37""","""2021""","""2021""","""Unknown or Not Stated""","""9""",23
NA,"""North Dakota""","""38""","""2016""","""2016""","""Yes""","""1""",479
NA,"""North Dakota""","""38""","""2016""","""2016""","""No""","""2""",10904
NA,"""North Dakota""","""38""","""2017""","""2017""","""Yes""","""1""",424
NA,"""North Dakota""","""38""","""2017""","""2017""","""No""","""2""",10312
NA,"""North Dakota""","""38""","""2018""","""2018""","""Yes""","""1""",467
NA,"""North Dakota""","""38""","""2018""","""2018""","""No""","""2""",10167
NA,"""North Dakota""","""38""","""2019""","""2019""","""Yes""","""1""",501
NA,"""North Dakota""","""38""","""2019""","""2019""","""No""","""2""",9953
NA,"""North Dakota""","""38""","""2020""","""2020""","""Yes""","""1""",484
NA,"""North Dakota""","""38""","""2020""","""2020""","""No""","""2""",9575
NA,"""North Dakota""","""38""","""2021""","""2021""","""Yes""","""1""",472
NA,"""North Dakota""","""38""","""2021""","""2021""","""No""","""2""",9640
NA,"""Ohio""","""39""","""2016""","""2016""","""Yes""","""1""",7940
NA,"""Ohio""","""39""","""2016""","""2016""","""No""","""2""",130118
NA,"""Ohio""","""39""","""2016""","""2016""","""Unknown or Not Stated""","""9""",27
NA,"""Ohio""","""39""","""2017""","""2017""","""Yes""","""1""",7976
NA,"""Ohio""","""39""","""2017""","""2017""","""No""","""2""",128842
NA,"""Ohio""","""39""","""2017""","""2017""","""Unknown or Not Stated""","""9""",14
NA,"""Ohio""","""39""","""2018""","""2018""","""Yes""","""1""",8463
NA,"""Ohio""","""39""","""2018""","""2018""","""No""","""2""",126659
NA,"""Ohio""","""39""","""2018""","""2018""","""Unknown or Not Stated""","""9""",12
NA,"""Ohio""","""39""","""2019""","""2019""","""Yes""","""1""",8435
NA,"""Ohio""","""39""","""2019""","""2019""","""No""","""2""",126018
NA,"""Ohio""","""39""","""2020""","""2020""","""Yes""","""1""",7929
NA,"""Ohio""","""39""","""2020""","""2020""","""No""","""2""",121246
NA,"""Ohio""","""39""","""2020""","""2020""","""Unknown or Not Stated""","""9""",16
NA,"""Ohio""","""39""","""2021""","""2021""","""Yes""","""1""",7682
NA,"""Ohio""","""39""","""2021""","""2021""","""No""","""2""",122090
NA,"""Ohio""","""39""","""2021""","""2021""","""Unknown or Not Stated""","""9""",19
NA,"""Oklahoma""","""40""","""2016""","""2016""","""Yes""","""1""",1623
NA,"""Oklahoma""","""40""","""2016""","""2016""","""No""","""2""",50968
NA,"""Oklahoma""","""40""","""2017""","""2017""","""Yes""","""1""",1734
NA,"""Oklahoma""","""40""","""2017""","""2017""","""No""","""2""",48479
NA,"""Oklahoma""","""40""","""2018""","""2018""","""Yes""","""1""",2111
NA,"""Oklahoma""","""40""","""2018""","""2018""","""No""","""2""",47689
NA,"""Oklahoma""","""40""","""2019""","""2019""","""Yes""","""1""",2216
NA,"""Oklahoma""","""40""","""2019""","""2019""","""No""","""2""",46925
NA,"""Oklahoma""","""40""","""2020""","""2020""","""Yes""","""1""",2173
NA,"""Oklahoma""","""40""","""2020""","""2020""","""No""","""2""",45450
NA,"""Oklahoma""","""40""","""2021""","""2021""","""Yes""","""1""",2120
NA,"""Oklahoma""","""40""","""2021""","""2021""","""No""","""2""",46284
NA,"""Oregon""","""41""","""2016""","""2016""","""Yes""","""1""",1748
NA,"""Oregon""","""41""","""2016""","""2016""","""No""","""2""",43785
NA,"""Oregon""","""41""","""2017""","""2017""","""Yes""","""1""",1569
NA,"""Oregon""","""41""","""2017""","""2017""","""No""","""2""",42062
NA,"""Oregon""","""41""","""2018""","""2018""","""Yes""","""1""",1569
NA,"""Oregon""","""41""","""2018""","""2018""","""No""","""2""",40619
NA,"""Oregon""","""41""","""2019""","""2019""","""Yes""","""1""",1487
NA,"""Oregon""","""41""","""2019""","""2019""","""No""","""2""",40369
NA,"""Oregon""","""41""","""2020""","""2020""","""Yes""","""1""",1470
NA,"""Oregon""","""41""","""2020""","""2020""","""No""","""2""",38348
NA,"""Oregon""","""41""","""2021""","""2021""","""Yes""","""1""",1452
NA,"""Oregon""","""41""","""2021""","""2021""","""No""","""2""",39462
NA,"""Pennsylvania""","""42""","""2016""","""2016""","""Yes""","""1""",5469
NA,"""Pennsylvania""","""42""","""2016""","""2016""","""No""","""2""",133919
NA,"""Pennsylvania""","""42""","""2016""","""2016""","""Unknown or Not Stated""","""9""",21
NA,"""Pennsylvania""","""42""","""2017""","""2017""","""Yes""","""1""",5847
NA,"""Pennsylvania""","""42""","""2017""","""2017""","""No""","""2""",131870
NA,"""Pennsylvania""","""42""","""2017""","""2017""","""Unknown or Not Stated""","""9""",28
NA,"""Pennsylvania""","""42""","""2018""","""2018""","""Yes""","""1""",6170
NA,"""Pennsylvania""","""42""","""2018""","""2018""","""No""","""2""",129465
NA,"""Pennsylvania""","""42""","""2018""","""2018""","""Unknown or Not Stated""","""9""",38
NA,"""Pennsylvania""","""42""","""2019""","""2019""","""Yes""","""1""",6053
NA,"""Pennsylvania""","""42""","""2019""","""2019""","""No""","""2""",128145
NA,"""Pennsylvania""","""42""","""2019""","""2019""","""Unknown or Not Stated""","""9""",32
NA,"""Pennsylvania""","""42""","""2020""","""2020""","""Yes""","""1""",6203
NA,"""Pennsylvania""","""42""","""2020""","""2020""","""No""","""2""",124445
NA,"""Pennsylvania""","""42""","""2020""","""2020""","""Unknown or Not Stated""","""9""",45
NA,"""Pennsylvania""","""42""","""2021""","""2021""","""Yes""","""1""",6737
NA,"""Pennsylvania""","""42""","""2021""","""2021""","""No""","""2""",125612
NA,"""Pennsylvania""","""42""","""2021""","""2021""","""Unknown or Not Stated""","""9""",273
NA,"""Rhode Island""","""44""","""2016""","""2016""","""Yes""","""1""",287
NA,"""Rhode Island""","""44""","""2016""","""2016""","""No""","""2""",10504
NA,"""Rhode Island""","""44""","""2017""","""2017""","""Yes""","""1""",265
NA,"""Rhode Island""","""44""","""2017""","""2017""","""No""","""2""",10370
NA,"""Rhode Island""","""44""","""2018""","""2018""","""Yes""","""1""",236
NA,"""Rhode Island""","""44""","""2018""","""2018""","""No""","""2""",10265
NA,"""Rhode Island""","""44""","""2019""","""2019""","""Yes""","""1""",275
NA,"""Rhode Island""","""44""","""2019""","""2019""","""No""","""2""",9886
NA,"""Rhode Island""","""44""","""2019""","""2019""","""Unknown or Not Stated""","""9""",14
NA,"""Rhode Island""","""44""","""2020""","""2020""","""Yes""","""1""",277
NA,"""Rhode Island""","""44""","""2020""","""2020""","""No""","""2""",9807
NA,"""Rhode Island""","""44""","""2020""","""2020""","""Unknown or Not Stated""","""9""",17
NA,"""Rhode Island""","""44""","""2021""","""2021""","""Yes""","""1""",272
NA,"""Rhode Island""","""44""","""2021""","""2021""","""No""","""2""",10178
NA,"""Rhode Island""","""44""","""2021""","""2021""","""Unknown or Not Stated""","""9""",14
NA,"""South Carolina""","""45""","""2016""","""2016""","""Yes""","""1""",2685
NA,"""South Carolina""","""45""","""2016""","""2016""","""No""","""2""",54655
NA,"""South Carolina""","""45""","""2017""","""2017""","""Yes""","""1""",2899
NA,"""South Carolina""","""45""","""2017""","""2017""","""No""","""2""",54127
NA,"""South Carolina""","""45""","""2018""","""2018""","""Yes""","""1""",2946
NA,"""South Carolina""","""45""","""2018""","""2018""","""No""","""2""",53719
NA,"""South Carolina""","""45""","""2019""","""2019""","""Yes""","""1""",2960
NA,"""South Carolina""","""45""","""2019""","""2019""","""No""","""2""",54074
NA,"""South Carolina""","""45""","""2020""","""2020""","""Yes""","""1""",2831
NA,"""South Carolina""","""45""","""2020""","""2020""","""No""","""2""",52868
NA,"""South Carolina""","""45""","""2021""","""2021""","""Yes""","""1""",2980
NA,"""South Carolina""","""45""","""2021""","""2021""","""No""","""2""",54138
NA,"""South Carolina""","""45""","""2021""","""2021""","""Unknown or Not Stated""","""9""",67
NA,"""South Dakota""","""46""","""2016""","""2016""","""Yes""","""1""",403
NA,"""South Dakota""","""46""","""2016""","""2016""","""No""","""2""",11871
NA,"""South Dakota""","""46""","""2017""","""2017""","""Yes""","""1""",382
NA,"""South Dakota""","""46""","""2017""","""2017""","""No""","""2""",11748
NA,"""South Dakota""","""46""","""2018""","""2018""","""Yes""","""1""",460
NA,"""South Dakota""","""46""","""2018""","""2018""","""No""","""2""",11421
NA,"""South Dakota""","""46""","""2018""","""2018""","""Unknown or Not Stated""","""9""",12
NA,"""South Dakota""","""46""","""2019""","""2019""","""Yes""","""1""",429
NA,"""South Dakota""","""46""","""2019""","""2019""","""No""","""2""",11017
NA,"""South Dakota""","""46""","""2020""","""2020""","""Yes""","""1""",430
NA,"""South Dakota""","""46""","""2020""","""2020""","""No""","""2""",10521
NA,"""South Dakota""","""46""","""2021""","""2021""","""Yes""","""1""",427
NA,"""South Dakota""","""46""","""2021""","""2021""","""No""","""2""",10937
NA,"""Tennessee""","""47""","""2016""","""2016""","""Yes""","""1""",2521
NA,"""Tennessee""","""47""","""2016""","""2016""","""No""","""2""",78282
NA,"""Tennessee""","""47""","""2017""","""2017""","""Yes""","""1""",2672
NA,"""Tennessee""","""47""","""2017""","""2017""","""No""","""2""",78276
NA,"""Tennessee""","""47""","""2017""","""2017""","""Unknown or Not Stated""","""9""",68
NA,"""Tennessee""","""47""","""2018""","""2018""","""Yes""","""1""",3030
NA,"""Tennessee""","""47""","""2018""","""2018""","""No""","""2""",77680
NA,"""Tennessee""","""47""","""2018""","""2018""","""Unknown or Not Stated""","""9""",41
NA,"""Tennessee""","""47""","""2019""","""2019""","""Yes""","""1""",3460
NA,"""Tennessee""","""47""","""2019""","""2019""","""No""","""2""",76986
NA,"""Tennessee""","""47""","""2020""","""2020""","""Yes""","""1""",3208
NA,"""Tennessee""","""47""","""2020""","""2020""","""No""","""2""",75479
NA,"""Tennessee""","""47""","""2021""","""2021""","""Yes""","""1""",3413
NA,"""Tennessee""","""47""","""2021""","""2021""","""No""","""2""",78299
NA,"""Texas""","""48""","""2016""","""2016""","""Yes""","""1""",10989
NA,"""Texas""","""48""","""2016""","""2016""","""No""","""2""",387056
NA,"""Texas""","""48""","""2017""","""2017""","""Yes""","""1""",12023
NA,"""Texas""","""48""","""2017""","""2017""","""No""","""2""",370026
NA,"""Texas""","""48""","""2018""","""2018""","""Yes""","""1""",12485
NA,"""Texas""","""48""","""2018""","""2018""","""No""","""2""",366106
NA,"""Texas""","""48""","""2018""","""2018""","""Unknown or Not Stated""","""9""",33
NA,"""Texas""","""48""","""2019""","""2019""","""Yes""","""1""",11698
NA,"""Texas""","""48""","""2019""","""2019""","""No""","""2""",365501
NA,"""Texas""","""48""","""2019""","""2019""","""Unknown or Not Stated""","""9""",400
NA,"""Texas""","""48""","""2020""","""2020""","""Yes""","""1""",11641
NA,"""Texas""","""48""","""2020""","""2020""","""No""","""2""",356052
NA,"""Texas""","""48""","""2020""","""2020""","""Unknown or Not Stated""","""9""",497
NA,"""Texas""","""48""","""2021""","""2021""","""Yes""","""1""",12221
NA,"""Texas""","""48""","""2021""","""2021""","""No""","""2""",360815
NA,"""Texas""","""48""","""2021""","""2021""","""Unknown or Not Stated""","""9""",558
NA,"""Utah""","""49""","""2016""","""2016""","""Yes""","""1""",2853
NA,"""Utah""","""49""","""2016""","""2016""","""No""","""2""",47611
NA,"""Utah""","""49""","""2017""","""2017""","""Yes""","""1""",2844
NA,"""Utah""","""49""","""2017""","""2017""","""No""","""2""",45740
NA,"""Utah""","""49""","""2018""","""2018""","""Yes""","""1""",2695
NA,"""Utah""","""49""","""2018""","""2018""","""No""","""2""",44513
NA,"""Utah""","""49""","""2019""","""2019""","""Yes""","""1""",2720
NA,"""Utah""","""49""","""2019""","""2019""","""No""","""2""",44106
NA,"""Utah""","""49""","""2020""","""2020""","""Yes""","""1""",2521
NA,"""Utah""","""49""","""2020""","""2020""","""No""","""2""",43181
NA,"""Utah""","""49""","""2021""","""2021""","""Yes""","""1""",2743
NA,"""Utah""","""49""","""2021""","""2021""","""No""","""2""",43969
NA,"""Vermont""","""50""","""2016""","""2016""","""Yes""","""1""",260
NA,"""Vermont""","""50""","""2016""","""2016""","""No""","""2""",5496
NA,"""Vermont""","""50""","""2017""","""2017""","""Yes""","""1""",229
NA,"""Vermont""","""50""","""2017""","""2017""","""No""","""2""",5426
NA,"""Vermont""","""50""","""2018""","""2018""","""Yes""","""1""",252
NA,"""Vermont""","""50""","""2018""","""2018""","""No""","""2""",5178
NA,"""Vermont""","""50""","""2019""","""2019""","""Yes""","""1""",242
NA,"""Vermont""","""50""","""2019""","""2019""","""No""","""2""",5118
NA,"""Vermont""","""50""","""2020""","""2020""","""Yes""","""1""",197
NA,"""Vermont""","""50""","""2020""","""2020""","""No""","""2""",4936
NA,"""Vermont""","""50""","""2021""","""2021""","""Yes""","""1""",206
NA,"""Vermont""","""50""","""2021""","""2021""","""No""","""2""",5178
NA,"""Virginia""","""51""","""2016""","""2016""","""Yes""","""1""",1657
NA,"""Virginia""","""51""","""2016""","""2016""","""No""","""2""",100799
NA,"""Virginia""","""51""","""2017""","""2017""","""Yes""","""1""",1476
NA,"""Virginia""","""51""","""2017""","""2017""","""No""","""2""",98914
NA,"""Virginia""","""51""","""2018""","""2018""","""Yes""","""1""",2417
NA,"""Virginia""","""51""","""2018""","""2018""","""No""","""2""",97425
NA,"""Virginia""","""51""","""2019""","""2019""","""Yes""","""1""",2455
NA,"""Virginia""","""51""","""2019""","""2019""","""No""","""2""",94968
NA,"""Virginia""","""51""","""2020""","""2020""","""Yes""","""1""",2157
NA,"""Virginia""","""51""","""2020""","""2020""","""No""","""2""",92589
NA,"""Virginia""","""51""","""2021""","""2021""","""Yes""","""1""",2433
NA,"""Virginia""","""51""","""2021""","""2021""","""No""","""2""",93388
NA,"""Washington""","""53""","""2016""","""2016""","""Yes""","""1""",3305
NA,"""Washington""","""53""","""2016""","""2016""","""No""","""2""",86767
NA,"""Washington""","""53""","""2016""","""2016""","""Unknown or Not Stated""","""9""",433
NA,"""Washington""","""53""","""2017""","""2017""","""Yes""","""1""",3365
NA,"""Washington""","""53""","""2017""","""2017""","""No""","""2""",83820
NA,"""Washington""","""53""","""2017""","""2017""","""Unknown or Not Stated""","""9""",377
NA,"""Washington""","""53""","""2018""","""2018""","""Yes""","""1""",3292
NA,"""Washington""","""53""","""2018""","""2018""","""No""","""2""",82793
NA,"""Washington""","""53""","""2019""","""2019""","""Yes""","""1""",3381
NA,"""Washington""","""53""","""2019""","""2019""","""No""","""2""",81487
NA,"""Washington""","""53""","""2019""","""2019""","""Unknown or Not Stated""","""9""",27
NA,"""Washington""","""53""","""2020""","""2020""","""Yes""","""1""",3134
NA,"""Washington""","""53""","""2020""","""2020""","""No""","""2""",79374
NA,"""Washington""","""53""","""2020""","""2020""","""Unknown or Not Stated""","""9""",578
NA,"""Washington""","""53""","""2021""","""2021""","""Yes""","""1""",3222
NA,"""Washington""","""53""","""2021""","""2021""","""No""","""2""",79708
NA,"""Washington""","""53""","""2021""","""2021""","""Unknown or Not Stated""","""9""",981
NA,"""West Virginia""","""54""","""2016""","""2016""","""Yes""","""1""",641
NA,"""West Virginia""","""54""","""2016""","""2016""","""No""","""2""",18340
NA,"""West Virginia""","""54""","""2016""","""2016""","""Unknown or Not Stated""","""9""",98
NA,"""West Virginia""","""54""","""2017""","""2017""","""Yes""","""1""",847
NA,"""West Virginia""","""54""","""2017""","""2017""","""No""","""2""",17732
