"""Notes""","""State of Residence""","""State of Residence Code""","""Year""","""Year Code""","""Previous Preterm Birth""","""Previous Preterm Birth Code""","Births"
NA,"""Colorado""","""08""","""2017""","""2017""","""Yes""","""1""",2010
NA,"""Colorado""","""08""","""2017""","""2017""","""No""","""2""",62363
NA,"""Colorado""","""08""","""2018""","""2018""","""Yes""","""1""",1863
NA,"""Colorado""","""08""","""2018""","""2018""","""No""","""2""",61014
NA,"""Colorado""","""08""","""2019""","""2019""","""Yes""","""1""",1910
NA,"""Colorado""","""08""","""2019""","""2019""","""No""","""2""",60949
NA,"""Colorado""","""08""","""2019""","""2019""","""Unknown or Not Stated""","""9""",10
NA,"""Colorado""","""08""","""2020""","""2020""","""Yes""","""1""",2065
NA,"""Colorado""","""08""","""2020""","""2020""","""No""","""2""",59414
NA,"""Colorado""","""08""","""2020""","""2020""","""Unknown or Not Stated""","""9""",15
NA,"""Colorado""","""08""","""2021""","""2021""","""Yes""","""1""",1949
NA,"""Colorado""","""08""","""2021""","""2021""","""No""","""2""",60991
NA,"""Connecticut""","""09""","""2016""","""2016""","""Yes""","""1""",1128
NA,"""Connecticut""","""09""","""2016""","""2016""","""No""","""2""",34193
NA,"""Connecticut""","""09""","""2016""","""2016""","""Unknown or Not Stated""","""9""",694
NA,"""Connecticut""","""09""","""2017""","""2017""","""Yes""","""1""",1388
NA,"""Connecticut""","""09""","""2017""","""2017""","""No""","""2""",33560
NA,"""Connecticut""","""09""","""2017""","""2017""","""Unknown or Not Stated""","""9""",273
NA,"""Connecticut""","""09""","""2018""","""2018""","""Yes""","""1""",1472
NA,"""Connecticut""","""09""","""2018""","""2018""","""No""","""2""",33142
NA,"""Connecticut""","""09""","""2018""","""2018""","""Unknown or Not Stated""","""9""",111
NA,"""Connecticut""","""09""","""2019""","""2019""","""Yes""","""1""",1470
NA,"""Connecticut""","""09""","""2019""","""2019""","""No""","""2""",32667
NA,"""Connecticut""","""09""","""2019""","""2019""","""Unknown or Not Stated""","""9""",121
NA,"""Connecticut""","""09""","""2020""","""2020""","""Yes""","""1""",1389
