"""Notes""","""State of Residence""","""State of Residence Code""","""Year""","""Year Code""","""Chlamydia""","""Chlamydia Code""","Births"
NA,"""Michigan""","""26""","""2019""","""2019""","""Yes""","""1""",1695
NA,"""Michigan""","""26""","""2019""","""2019""","""No""","""2""",104712
NA,"""Michigan""","""26""","""2019""","""2019""","""Unknown or Not Stated""","""9""",1479
NA,"""Michigan""","""26""","""2020""","""2020""","""Yes""","""1""",1460
NA,"""Michigan""","""26""","""2020""","""2020""","""No""","""2""",101236
NA,"""Michigan""","""26""","""2020""","""2020""","""Unknown or Not Stated""","""9""",1378
NA,"""Michigan""","""26""","""2021""","""2021""","""Yes""","""1""",1376
NA,"""Michigan""","""26""","""2021""","""2021""","""No""","""2""",102363
NA,"""Michigan""","""26""","""2021""","""2021""","""Unknown or Not Stated""","""9""",1241
NA,"""Minnesota""","""27""","""2016""","""2016""","""Yes""","""1""",908
NA,"""Minnesota""","""27""","""2016""","""2016""","""No""","""2""",68651
NA,"""Minnesota""","""27""","""2016""","""2016""","""Unknown or Not Stated""","""9""",190
NA,"""Minnesota""","""27""","""2017""","""2017""","""Yes""","""1""",851
NA,"""Minnesota""","""27""","""2017""","""2017""","""No""","""2""",67509
NA,"""Minnesota""","""27""","""2017""","""2017""","""Unknown or Not Stated""","""9""",235
NA,"""Minnesota""","""27""","""2018""","""2018""","""Yes""","""1""",815
NA,"""Minnesota""","""27""","""2018""","""2018""","""No""","""2""",66367
NA,"""Minnesota""","""27""","""2018""","""2018""","""Unknown or Not Stated""","""9""",162
NA,"""Minnesota""","""27""","""2019""","""2019""","""Yes""","""1""",835
NA,"""Minnesota""","""27""","""2019""","""2019""","""No""","""2""",64979
NA,"""Minnesota""","""27""","""2019""","""2019""","""Unknown or Not Stated""","""9""",213
NA,"""Minnesota""","""27""","""2020""","""2020""","""Yes""","""1""",751
NA,"""Minnesota""","""27""","""2020""","""2020""","""No""","""2""",62514
NA,"""Minnesota""","""27""","""2020""","""2020""","""Unknown or Not Stated""","""9""",178
NA,"""Minnesota""","""27""","""2021""","""2021""","""Yes""","""1""",803
NA,"""Minnesota""","""27""","""2021""","""2021""","""No""","""2""",63449
NA,"""Minnesota""","""27""","""2021""","""2021""","""Unknown or Not Stated""","""9""",173
NA,"""Mississippi""","""28""","""2016""","""2016""","""Yes""","""1""",1090
NA,"""Mississippi""","""28""","""2016""","""2016""","""No""","""2""",36820
NA,"""Mississippi""","""28""","""2016""","""2016""","""Unknown or Not Stated""","""9""",18
NA,"""Mississippi""","""28""","""2017""","""2017""","""Yes""","""1""",1202
NA,"""Mississippi""","""28""","""2017""","""2017""","""No""","""2""",36143
NA,"""Mississippi""","""28""","""2017""","""2017""","""Unknown or Not Stated""","""9""",12
NA,"""Mississippi""","""28""","""2018""","""2018""","""Yes""","""1""",1332
NA,"""Mississippi""","""28""","""2018""","""2018""","""No""","""2""",35645
NA,"""Mississippi""","""28""","""2018""","""2018""","""Unknown or Not Stated""","""9""",23
NA,"""Mississippi""","""28""","""2019""","""2019""","""Yes""","""1""",1383
NA,"""Mississippi""","""28""","""2019""","""2019""","""No""","""2""",35232
NA,"""Mississippi""","""28""","""2019""","""2019""","""Unknown or Not Stated""","""9""",21
NA,"""Mississippi""","""28""","""2020""","""2020""","""Yes""","""1""",1365
NA,"""Mississippi""","""28""","""2020""","""2020""","""No""","""2""",34100
NA,"""Mississippi""","""28""","""2021""","""2021""","""Yes""","""1""",1459
NA,"""Mississippi""","""28""","""2021""","""2021""","""No""","""2""",33687
NA,"""Mississippi""","""28""","""2021""","""2021""","""Unknown or Not Stated""","""9""",10
NA,"""Missouri""","""29""","""2016""","""2016""","""Yes""","""1""",1704
NA,"""Missouri""","""29""","""2016""","""2016""","""No""","""2""",72999
NA,"""Missouri""","""29""","""2017""","""2017""","""Yes""","""1""",1660
NA,"""Missouri""","""29""","""2017""","""2017""","""No""","""2""",71373
NA,"""Missouri""","""29""","""2018""","""2018""","""Yes""","""1""",1771
NA,"""Missouri""","""29""","""2018""","""2018""","""No""","""2""",71497
NA,"""Missouri""","""29""","""2019""","""2019""","""Yes""","""1""",1672
NA,"""Missouri""","""29""","""2019""","""2019""","""No""","""2""",70451
NA,"""Missouri""","""29""","""2020""","""2020""","""Yes""","""1""",1628
NA,"""Missouri""","""29""","""2020""","""2020""","""No""","""2""",67653
NA,"""Missouri""","""29""","""2021""","""2021""","""Yes""","""1""",1542
NA,"""Missouri""","""29""","""2021""","""2021""","""No""","""2""",67910
NA,"""Montana""","""30""","""2016""","""2016""","""Yes""","""1""",221
NA,"""Montana""","""30""","""2016""","""2016""","""No""","""2""",12034
NA,"""Montana""","""30""","""2016""","""2016""","""Unknown or Not Stated""","""9""",27
NA,"""Montana""","""30""","""2017""","""2017""","""Yes""","""1""",200
NA,"""Montana""","""30""","""2017""","""2017""","""No""","""2""",11580
NA,"""Montana""","""30""","""2017""","""2017""","""Unknown or Not Stated""","""9""",19
NA,"""Montana""","""30""","""2018""","""2018""","""Yes""","""1""",186
NA,"""Montana""","""30""","""2018""","""2018""","""No""","""2""",11316
NA,"""Montana""","""30""","""2018""","""2018""","""Unknown or Not Stated""","""9""",11
NA,"""Montana""","""30""","""2019""","""2019""","""Yes""","""1""",212
NA,"""Montana""","""30""","""2019""","""2019""","""No""","""2""",10862
NA,"""Montana""","""30""","""2020""","""2020""","""Yes""","""1""",172
NA,"""Montana""","""30""","""2020""","""2020""","""No""","""2""",10618
NA,"""Montana""","""30""","""2021""","""2021""","""Yes""","""1""",169
NA,"""Montana""","""30""","""2021""","""2021""","""No""","""2""",11061
NA,"""Nebraska""","""31""","""2016""","""2016""","""Yes""","""1""",555
NA,"""Nebraska""","""31""","""2016""","""2016""","""No""","""2""",25969
NA,"""Nebraska""","""31""","""2016""","""2016""","""Unknown or Not Stated""","""9""",65
NA,"""Nebraska""","""31""","""2017""","""2017""","""Yes""","""1""",541
NA,"""Nebraska""","""31""","""2017""","""2017""","""No""","""2""",25246
NA,"""Nebraska""","""31""","""2017""","""2017""","""Unknown or Not Stated""","""9""",34
NA,"""Nebraska""","""31""","""2018""","""2018""","""Yes""","""1""",491
NA,"""Nebraska""","""31""","""2018""","""2018""","""No""","""2""",24955
NA,"""Nebraska""","""31""","""2018""","""2018""","""Unknown or Not Stated""","""9""",42
NA,"""Nebraska""","""31""","""2019""","""2019""","""Yes""","""1""",455
NA,"""Nebraska""","""31""","""2019""","""2019""","""No""","""2""",24257
NA,"""Nebraska""","""31""","""2019""","""2019""","""Unknown or Not Stated""","""9""",43
NA,"""Nebraska""","""31""","""2020""","""2020""","""Yes""","""1""",463
NA,"""Nebraska""","""31""","""2020""","""2020""","""No""","""2""",23734
NA,"""Nebraska""","""31""","""2020""","""2020""","""Unknown or Not Stated""","""9""",94
NA,"""Nebraska""","""31""","""2021""","""2021""","""Yes""","""1""",492
NA,"""Nebraska""","""31""","""2021""","""2021""","""No""","""2""",24053
NA,"""Nebraska""","""31""","""2021""","""2021""","""Unknown or Not Stated""","""9""",64
NA,"""Nevada""","""32""","""2016""","""2016""","""Yes""","""1""",585
NA,"""Nevada""","""32""","""2016""","""2016""","""No""","""2""",35672
NA,"""Nevada""","""32""","""2017""","""2017""","""Yes""","""1""",569
NA,"""Nevada""","""32""","""2017""","""2017""","""No""","""2""",35185
NA,"""Nevada""","""32""","""2018""","""2018""","""Yes""","""1""",470
NA,"""Nevada""","""32""","""2018""","""2018""","""No""","""2""",35211
NA,"""Nevada""","""32""","""2019""","""2019""","""Yes""","""1""",446
NA,"""Nevada""","""32""","""2019""","""2019""","""No""","""2""",34624
NA,"""Nevada""","""32""","""2020""","""2020""","""Yes""","""1""",409
NA,"""Nevada""","""32""","""2020""","""2020""","""No""","""2""",33243
NA,"""Nevada""","""32""","""2021""","""2021""","""Yes""","""1""",347
NA,"""Nevada""","""32""","""2021""","""2021""","""No""","""2""",33336
NA,"""New Hampshire""","""33""","""2016""","""2016""","""Yes""","""1""",156
NA,"""New Hampshire""","""33""","""2016""","""2016""","""No""","""2""",11999
NA,"""New Hampshire""","""33""","""2016""","""2016""","""Unknown or Not Stated""","""9""",112
NA,"""New Hampshire""","""33""","""2017""","""2017""","""Yes""","""1""",143
NA,"""New Hampshire""","""33""","""2017""","""2017""","""No""","""2""",11948
NA,"""New Hampshire""","""33""","""2017""","""2017""","""Unknown or Not Stated""","""9""",25
NA,"""New Hampshire""","""33""","""2018""","""2018""","""Yes""","""1""",120
NA,"""New Hampshire""","""33""","""2018""","""2018""","""No""","""2""",11855
NA,"""New Hampshire""","""33""","""2018""","""2018""","""Unknown or Not Stated""","""9""",20
NA,"""New Hampshire""","""33""","""2019""","""2019""","""Yes""","""1""",118
NA,"""New Hampshire""","""33""","""2019""","""2019""","""No""","""2""",11697
NA,"""New Hampshire""","""33""","""2019""","""2019""","""Unknown or Not Stated""","""9""",24
NA,"""New Hampshire""","""33""","""2020""","""2020""","""Yes""","""1""",98
NA,"""New Hampshire""","""33""","""2020""","""2020""","""No""","""2""",11660
NA,"""New Hampshire""","""33""","""2020""","""2020""","""Unknown or Not Stated""","""9""",33
NA,"""New Hampshire""","""33""","""2021""","""2021""","""Yes""","""1""",107
NA,"""New Hampshire""","""33""","""2021""","""2021""","""No""","""2""",12485
NA,"""New Hampshire""","""33""","""2021""","""2021""","""Unknown or Not Stated""","""9""",33
NA,"""New Jersey""","""34""","""2016""","""2016""","""Yes""","""1""",2100
NA,"""New Jersey""","""34""","""2016""","""2016""","""No""","""2""",100542
NA,"""New Jersey""","""34""","""2017""","""2017""","""Yes""","""1""",2084
NA,"""New Jersey""","""34""","""2017""","""2017""","""No""","""2""",99163
NA,"""New Jersey""","""34""","""2018""","""2018""","""Yes""","""1""",1865
NA,"""New Jersey""","""34""","""2018""","""2018""","""No""","""2""",99348
NA,"""New Jersey""","""34""","""2018""","""2018""","""Unknown or Not Stated""","""9""",10
NA,"""New Jersey""","""34""","""2019""","""2019""","""Yes""","""1""",1722
NA,"""New Jersey""","""34""","""2019""","""2019""","""No""","""2""",97853
NA,"""New Jersey""","""34""","""2019""","""2019""","""Unknown or Not Stated""","""9""",10
NA,"""New Jersey""","""34""","""2020""","""2020""","""Yes""","""1""",1594
NA,"""New Jersey""","""34""","""2020""","""2020""","""No""","""2""",96350
NA,"""New Jersey""","""34""","""2020""","""2020""","""Unknown or Not Stated""","""9""",10
NA,"""New Jersey""","""34""","""2021""","""2021""","""Yes""","""1""",1482
NA,"""New Jersey""","""34""","""2021""","""2021""","""No""","""2""",99574
NA,"""New Jersey""","""34""","""2021""","""2021""","""Unknown or Not Stated""","""9""",441
NA,"""New Mexico""","""35""","""2016""","""2016""","""Yes""","""1""",478
NA,"""New Mexico""","""35""","""2016""","""2016""","""No""","""2""",24022
NA,"""New Mexico""","""35""","""2016""","""2016""","""Unknown or Not Stated""","""9""",192
NA,"""New Mexico""","""35""","""2017""","""2017""","""Yes""","""1""",519
NA,"""New Mexico""","""35""","""2017""","""2017""","""No""","""2""",23034
NA,"""New Mexico""","""35""","""2017""","""2017""","""Unknown or Not Stated""","""9""",214
NA,"""New Mexico""","""35""","""2018""","""2018""","""Yes""","""1""",423
NA,"""New Mexico""","""35""","""2018""","""2018""","""No""","""2""",22480
NA,"""New Mexico""","""35""","""2018""","""2018""","""Unknown or Not Stated""","""9""",136
NA,"""New Mexico""","""35""","""2019""","""2019""","""Yes""","""1""",462
NA,"""New Mexico""","""35""","""2019""","""2019""","""No""","""2""",22390
NA,"""New Mexico""","""35""","""2019""","""2019""","""Unknown or Not Stated""","""9""",108
NA,"""New Mexico""","""35""","""2020""","""2020""","""Yes""","""1""",393
NA,"""New Mexico""","""35""","""2020""","""2020""","""No""","""2""",21357
NA,"""New Mexico""","""35""","""2020""","""2020""","""Unknown or Not Stated""","""9""",153
NA,"""New Mexico""","""35""","""2021""","""2021""","""Yes""","""1""",362
NA,"""New Mexico""","""35""","""2021""","""2021""","""No""","""2""",20914
NA,"""New Mexico""","""35""","""2021""","""2021""","""Unknown or Not Stated""","""9""",115
NA,"""New York""","""36""","""2016""","""2016""","""Yes""","""1""",3292
NA,"""New York""","""36""","""2016""","""2016""","""No""","""2""",229957
NA,"""New York""","""36""","""2016""","""2016""","""Unknown or Not Stated""","""9""",1034
NA,"""New York""","""36""","""2017""","""2017""","""Yes""","""1""",3053
NA,"""New York""","""36""","""2017""","""2017""","""No""","""2""",225555
NA,"""New York""","""36""","""2017""","""2017""","""Unknown or Not Stated""","""9""",1129
NA,"""New York""","""36""","""2018""","""2018""","""Yes""","""1""",2818
NA,"""New York""","""36""","""2018""","""2018""","""No""","""2""",222250
NA,"""New York""","""36""","""2018""","""2018""","""Unknown or Not Stated""","""9""",1170
NA,"""New York""","""36""","""2019""","""2019""","""Yes""","""1""",2992
NA,"""New York""","""36""","""2019""","""2019""","""No""","""2""",217259
NA,"""New York""","""36""","""2019""","""2019""","""Unknown or Not Stated""","""9""",1288
NA,"""New York""","""36""","""2020""","""2020""","""Yes""","""1""",2672
NA,"""New York""","""36""","""2020""","""2020""","""No""","""2""",205478
NA,"""New York""","""36""","""2020""","""2020""","""Unknown or Not Stated""","""9""",1188
NA,"""New York""","""36""","""2021""","""2021""","""Yes""","""1""",2735
NA,"""New York""","""36""","""2021""","""2021""","""No""","""2""",206608
NA,"""New York""","""36""","""2021""","""2021""","""Unknown or Not Stated""","""9""",1399
NA,"""North Carolina""","""37""","""2016""","""2016""","""Yes""","""1""",2462
NA,"""North Carolina""","""37""","""2016""","""2016""","""No""","""2""",117978
NA,"""North Carolina""","""37""","""2016""","""2016""","""Unknown or Not Stated""","""9""",339
NA,"""North Carolina""","""37""","""2017""","""2017""","""Yes""","""1""",2517
NA,"""North Carolina""","""37""","""2017""","""2017""","""No""","""2""",117163
NA,"""North Carolina""","""37""","""2017""","""2017""","""Unknown or Not Stated""","""9""",445
NA,"""North Carolina""","""37""","""2018""","""2018""","""Yes""","""1""",2502
NA,"""North Carolina""","""37""","""2018""","""2018""","""No""","""2""",116006
NA,"""North Carolina""","""37""","""2018""","""2018""","""Unknown or Not Stated""","""9""",446
NA,"""North Carolina""","""37""","""2019""","""2019""","""Yes""","""1""",2516
NA,"""North Carolina""","""37""","""2019""","""2019""","""No""","""2""",115598
NA,"""North Carolina""","""37""","""2019""","""2019""","""Unknown or Not Stated""","""9""",611
NA,"""North Carolina""","""37""","""2020""","""2020""","""Yes""","""1""",2669
NA,"""North Carolina""","""37""","""2020""","""2020""","""No""","""2""",112595
NA,"""North Carolina""","""37""","""2020""","""2020""","""Unknown or Not Stated""","""9""",1466
NA,"""North Carolina""","""37""","""2021""","""2021""","""Yes""","""1""",2654
NA,"""North Carolina""","""37""","""2021""","""2021""","""No""","""2""",117105
NA,"""North Carolina""","""37""","""2021""","""2021""","""Unknown or Not Stated""","""9""",707
NA,"""North Dakota""","""38""","""2016""","""2016""","""Yes""","""1""",127
NA,"""North Dakota""","""38""","""2016""","""2016""","""No""","""2""",11254
NA,"""North Dakota""","""38""","""2017""","""2017""","""Yes""","""1""",117
NA,"""North Dakota""","""38""","""2017""","""2017""","""No""","""2""",10617
NA,"""North Dakota""","""38""","""2018""","""2018""","""Yes""","""1""",143
NA,"""North Dakota""","""38""","""2018""","""2018""","""No""","""2""",10492
NA,"""North Dakota""","""38""","""2019""","""2019""","""Yes""","""1""",123
NA,"""North Dakota""","""38""","""2019""","""2019""","""No""","""2""",10331
NA,"""North Dakota""","""38""","""2020""","""2020""","""Yes""","""1""",130
NA,"""North Dakota""","""38""","""2020""","""2020""","""No""","""2""",9929
NA,"""North Dakota""","""38""","""2021""","""2021""","""Yes""","""1""",161
NA,"""North Dakota""","""38""","""2021""","""2021""","""No""","""2""",9951
NA,"""Ohio""","""39""","""2016""","""2016""","""Yes""","""1""",4097
NA,"""Ohio""","""39""","""2016""","""2016""","""No""","""2""",133934
NA,"""Ohio""","""39""","""2016""","""2016""","""Unknown or Not Stated""","""9""",54
NA,"""Ohio""","""39""","""2017""","""2017""","""Yes""","""1""",4185
NA,"""Ohio""","""39""","""2017""","""2017""","""No""","""2""",132604
NA,"""Ohio""","""39""","""2017""","""2017""","""Unknown or Not Stated""","""9""",43
NA,"""Ohio""","""39""","""2018""","""2018""","""Yes""","""1""",3984
NA,"""Ohio""","""39""","""2018""","""2018""","""No""","""2""",131127
NA,"""Ohio""","""39""","""2018""","""2018""","""Unknown or Not Stated""","""9""",23
NA,"""Ohio""","""39""","""2019""","""2019""","""Yes""","""1""",4023
NA,"""Ohio""","""39""","""2019""","""2019""","""No""","""2""",130385
NA,"""Ohio""","""39""","""2019""","""2019""","""Unknown or Not Stated""","""9""",53
NA,"""Ohio""","""39""","""2020""","""2020""","""Yes""","""1""",3750
NA,"""Ohio""","""39""","""2020""","""2020""","""No""","""2""",125417
NA,"""Ohio""","""39""","""2020""","""2020""","""Unknown or Not Stated""","""9""",24
NA,"""Ohio""","""39""","""2021""","""2021""","""Yes""","""1""",3600
NA,"""Ohio""","""39""","""2021""","""2021""","""No""","""2""",126097
NA,"""Ohio""","""39""","""2021""","""2021""","""Unknown or Not Stated""","""9""",94
NA,"""Oklahoma""","""40""","""2016""","""2016""","""Yes""","""1""",1242
NA,"""Oklahoma""","""40""","""2016""","""2016""","""No""","""2""",51349
NA,"""Oklahoma""","""40""","""2017""","""2017""","""Yes""","""1""",1163
NA,"""Oklahoma""","""40""","""2017""","""2017""","""No""","""2""",49049
NA,"""Oklahoma""","""40""","""2018""","""2018""","""Yes""","""1""",1117
NA,"""Oklahoma""","""40""","""2018""","""2018""","""No""","""2""",48683
NA,"""Oklahoma""","""40""","""2019""","""2019""","""Yes""","""1""",1071
NA,"""Oklahoma""","""40""","""2019""","""2019""","""No""","""2""",48066
NA,"""Oklahoma""","""40""","""2020""","""2020""","""Yes""","""1""",1047
NA,"""Oklahoma""","""40""","""2020""","""2020""","""No""","""2""",46574
NA,"""Oklahoma""","""40""","""2021""","""2021""","""Yes""","""1""",1073
NA,"""Oklahoma""","""40""","""2021""","""2021""","""No""","""2""",47326
NA,"""Oklahoma""","""40""","""2021""","""2021""","""Unknown or Not Stated""","""9""",11
NA,"""Oregon""","""41""","""2016""","""2016""","""Yes""","""1""",814
NA,"""Oregon""","""41""","""2016""","""2016""","""No""","""2""",44716
NA,"""Oregon""","""41""","""2017""","""2017""","""Yes""","""1""",779
NA,"""Oregon""","""41""","""2017""","""2017""","""No""","""2""",42851
NA,"""Oregon""","""41""","""2018""","""2018""","""Yes""","""1""",646
NA,"""Oregon""","""41""","""2018""","""2018""","""No""","""2""",41540
NA,"""Oregon""","""41""","""2019""","""2019""","""Yes""","""1""",652
NA,"""Oregon""","""41""","""2019""","""2019""","""No""","""2""",41203
NA,"""Oregon""","""41""","""2020""","""2020""","""Yes""","""1""",551
NA,"""Oregon""","""41""","""2020""","""2020""","""No""","""2""",39266
NA,"""Oregon""","""41""","""2021""","""2021""","""Yes""","""1""",620
NA,"""Oregon""","""41""","""2021""","""2021""","""No""","""2""",40294
NA,"""Pennsylvania""","""42""","""2016""","""2016""","""Yes""","""1""",2631
NA,"""Pennsylvania""","""42""","""2016""","""2016""","""No""","""2""",136732
NA,"""Pennsylvania""","""42""","""2016""","""2016""","""Unknown or Not Stated""","""9""",46
NA,"""Pennsylvania""","""42""","""2017""","""2017""","""Yes""","""1""",2876
NA,"""Pennsylvania""","""42""","""2017""","""2017""","""No""","""2""",134817
NA,"""Pennsylvania""","""42""","""2017""","""2017""","""Unknown or Not Stated""","""9""",52
NA,"""Pennsylvania""","""42""","""2018""","""2018""","""Yes""","""1""",3101
NA,"""Pennsylvania""","""42""","""2018""","""2018""","""No""","""2""",132526
NA,"""Pennsylvania""","""42""","""2018""","""2018""","""Unknown or Not Stated""","""9""",46
NA,"""Pennsylvania""","""42""","""2019""","""2019""","""Yes""","""1""",2888
NA,"""Pennsylvania""","""42""","""2019""","""2019""","""No""","""2""",131294
NA,"""Pennsylvania""","""42""","""2019""","""2019""","""Unknown or Not Stated""","""9""",48
NA,"""Pennsylvania""","""42""","""2020""","""2020""","""Yes""","""1""",2503
NA,"""Pennsylvania""","""42""","""2020""","""2020""","""No""","""2""",128122
NA,"""Pennsylvania""","""42""","""2020""","""2020""","""Unknown or Not Stated""","""9""",68
NA,"""Pennsylvania""","""42""","""2021""","""2021""","""Yes""","""1""",2278
NA,"""Pennsylvania""","""42""","""2021""","""2021""","""No""","""2""",129952
NA,"""Pennsylvania""","""42""","""2021""","""2021""","""Unknown or Not Stated""","""9""",392
NA,"""Rhode Island""","""44""","""2016""","""2016""","""Yes""","""1""",108
NA,"""Rhode Island""","""44""","""2016""","""2016""","""No""","""2""",10689
NA,"""Rhode Island""","""44""","""2017""","""2017""","""Yes""","""1""",108
NA,"""Rhode Island""","""44""","""2017""","""2017""","""No""","""2""",10530
NA,"""Rhode Island""","""44""","""2018""","""2018""","""Yes""","""1""",103
NA,"""Rhode Island""","""44""","""2018""","""2018""","""No""","""2""",10403
NA,"""Rhode Island""","""44""","""2019""","""2019""","""Yes""","""1""",103
NA,"""Rhode Island""","""44""","""2019""","""2019""","""No""","""2""",10071
NA,"""Rhode Island""","""44""","""2020""","""2020""","""Yes""","""1""",104
NA,"""Rhode Island""","""44""","""2020""","""2020""","""No""","""2""",9990
NA,"""Rhode Island""","""44""","""2021""","""2021""","""Yes""","""1""",94
NA,"""Rhode Island""","""44""","""2021""","""2021""","""No""","""2""",10367
NA,"""South Carolina""","""45""","""2016""","""2016""","""Yes""","""1""",2089
NA,"""South Carolina""","""45""","""2016""","""2016""","""No""","""2""",55236
NA,"""South Carolina""","""45""","""2016""","""2016""","""Unknown or Not Stated""","""9""",17
NA,"""South Carolina""","""45""","""2017""","""2017""","""Yes""","""1""",1869
NA,"""South Carolina""","""45""","""2017""","""2017""","""No""","""2""",55146
NA,"""South Carolina""","""45""","""2017""","""2017""","""Unknown or Not Stated""","""9""",14
NA,"""South Carolina""","""45""","""2018""","""2018""","""Yes""","""1""",1860
NA,"""South Carolina""","""45""","""2018""","""2018""","""No""","""2""",54797
NA,"""South Carolina""","""45""","""2018""","""2018""","""Unknown or Not Stated""","""9""",12
NA,"""South Carolina""","""45""","""2019""","""2019""","""Yes""","""1""",1670
NA,"""South Carolina""","""45""","""2019""","""2019""","""No""","""2""",55355
NA,"""South Carolina""","""45""","""2019""","""2019""","""Unknown or Not Stated""","""9""",13
NA,"""South Carolina""","""45""","""2020""","""2020""","""Yes""","""1""",1557
NA,"""South Carolina""","""45""","""2020""","""2020""","""No""","""2""",54127
NA,"""South Carolina""","""45""","""2020""","""2020""","""Unknown or Not Stated""","""9""",20
NA,"""South Carolina""","""45""","""2021""","""2021""","""Yes""","""1""",1550
NA,"""South Carolina""","""45""","""2021""","""2021""","""No""","""2""",55514
NA,"""South Carolina""","""45""","""2021""","""2021""","""Unknown or Not Stated""","""9""",121
NA,"""South Dakota""","""46""","""2016""","""2016""","""Yes""","""1""",312
NA,"""South Dakota""","""46""","""2016""","""2016""","""No""","""2""",11961
NA,"""South Dakota""","""46""","""2017""","""2017""","""Yes""","""1""",306
NA,"""South Dakota""","""46""","""2017""","""2017""","""No""","""2""",11819
NA,"""South Dakota""","""46""","""2018""","""2018""","""Yes""","""1""",267
NA,"""South Dakota""","""46""","""2018""","""2018""","""No""","""2""",11608
NA,"""South Dakota""","""46""","""2018""","""2018""","""Unknown or Not Stated""","""9""",18
NA,"""South Dakota""","""46""","""2019""","""2019""","""Yes""","""1""",280
NA,"""South Dakota""","""46""","""2019""","""2019""","""No""","""2""",11164
NA,"""South Dakota""","""46""","""2020""","""2020""","""Yes""","""1""",276
NA,"""South Dakota""","""46""","""2020""","""2020""","""No""","""2""",10677
NA,"""South Dakota""","""46""","""2021""","""2021""","""Yes""","""1""",333
NA,"""South Dakota""","""46""","""2021""","""2021""","""No""","""2""",11032
NA,"""Tennessee""","""47""","""2016""","""2016""","""Yes""","""1""",1818
NA,"""Tennessee""","""47""","""2016""","""2016""","""No""","""2""",78976
NA,"""Tennessee""","""47""","""2016""","""2016""","""Unknown or Not Stated""","""9""",13
NA,"""Tennessee""","""47""","""2017""","""2017""","""Yes""","""1""",1889
NA,"""Tennessee""","""47""","""2017""","""2017""","""No""","""2""",79054
NA,"""Tennessee""","""47""","""2017""","""2017""","""Unknown or Not Stated""","""9""",73
NA,"""Tennessee""","""47""","""2018""","""2018""","""Yes""","""1""",2170
NA,"""Tennessee""","""47""","""2018""","""2018""","""No""","""2""",78534
NA,"""Tennessee""","""47""","""2018""","""2018""","""Unknown or Not Stated""","""9""",47
NA,"""Tennessee""","""47""","""2019""","""2019""","""Yes""","""1""",2129
NA,"""Tennessee""","""47""","""2019""","""2019""","""No""","""2""",78310
NA,"""Tennessee""","""47""","""2019""","""2019""","""Unknown or Not Stated""","""9""",11
NA,"""Tennessee""","""47""","""2020""","""2020""","""Yes""","""1""",2261
NA,"""Tennessee""","""47""","""2020""","""2020""","""No""","""2""",76423
NA,"""Tennessee""","""47""","""2021""","""2021""","""Yes""","""1""",2399
NA,"""Tennessee""","""47""","""2021""","""2021""","""No""","""2""",79307
NA,"""Tennessee""","""47""","""2021""","""2021""","""Unknown or Not Stated""","""9""",11
NA,"""Texas""","""48""","""2016""","""2016""","""Yes""","""1""",8938
NA,"""Texas""","""48""","""2016""","""2016""","""No""","""2""",389103
NA,"""Texas""","""48""","""2017""","""2017""","""Yes""","""1""",8224
NA,"""Texas""","""48""","""2017""","""2017""","""No""","""2""",373822
NA,"""Texas""","""48""","""2018""","""2018""","""Yes""","""1""",8194
NA,"""Texas""","""48""","""2018""","""2018""","""No""","""2""",370396
NA,"""Texas""","""48""","""2018""","""2018""","""Unknown or Not Stated""","""9""",34
NA,"""Texas""","""48""","""2019""","""2019""","""Yes""","""1""",8248
NA,"""Texas""","""48""","""2019""","""2019""","""No""","""2""",368508
NA,"""Texas""","""48""","""2019""","""2019""","""Unknown or Not Stated""","""9""",843
NA,"""Texas""","""48""","""2020""","""2020""","""Yes""","""1""",7293
NA,"""Texas""","""48""","""2020""","""2020""","""No""","""2""",360081
NA,"""Texas""","""48""","""2020""","""2020""","""Unknown or Not Stated""","""9""",816
NA,"""Texas""","""48""","""2021""","""2021""","""Yes""","""1""",6962
NA,"""Texas""","""48""","""2021""","""2021""","""No""","""2""",365803
NA,"""Texas""","""48""","""2021""","""2021""","""Unknown or Not Stated""","""9""",829
NA,"""Utah""","""49""","""2016""","""2016""","""Yes""","""1""",538
NA,"""Utah""","""49""","""2016""","""2016""","""No""","""2""",49925
NA,"""Utah""","""49""","""2017""","""2017""","""Yes""","""1""",484
NA,"""Utah""","""49""","""2017""","""2017""","""No""","""2""",48101
NA,"""Utah""","""49""","""2018""","""2018""","""Yes""","""1""",386
NA,"""Utah""","""49""","""2018""","""2018""","""No""","""2""",46822
NA,"""Utah""","""49""","""2019""","""2019""","""Yes""","""1""",399
NA,"""Utah""","""49""","""2019""","""2019""","""No""","""2""",46426
NA,"""Utah""","""49""","""2020""","""2020""","""Yes""","""1""",359
NA,"""Utah""","""49""","""2020""","""2020""","""No""","""2""",45343
NA,"""Utah""","""49""","""2021""","""2021""","""Yes""","""1""",303
NA,"""Utah""","""49""","""2021""","""2021""","""No""","""2""",46409
NA,"""Vermont""","""50""","""2016""","""2016""","""Yes""","""1""",75
NA,"""Vermont""","""50""","""2016""","""2016""","""No""","""2""",5681
NA,"""Vermont""","""50""","""2017""","""2017""","""Yes""","""1""",60
NA,"""Vermont""","""50""","""2017""","""2017""","""No""","""2""",5595
NA,"""Vermont""","""50""","""2018""","""2018""","""Yes""","""1""",65
NA,"""Vermont""","""50""","""2018""","""2018""","""No""","""2""",5366
NA,"""Vermont""","""50""","""2019""","""2019""","""Yes""","""1""",52
