"""Notes""","""State of Residence""","""State of Residence Code""","""Year""","""Year Code""","""Chlamydia""","""Chlamydia Code""","Births"
NA,"""California""","""06""","""2020""","""2020""","""Unknown or Not Stated""","""9""",1416
NA,"""California""","""06""","""2021""","""2021""","""Yes""","""1""",3580
NA,"""California""","""06""","""2021""","""2021""","""No""","""2""",415207
NA,"""California""","""06""","""2021""","""2021""","""Unknown or Not Stated""","""9""",1821
NA,"""Colorado""","""08""","""2016""","""2016""","""Yes""","""1""",1214
NA,"""Colorado""","""08""","""2016""","""2016""","""No""","""2""",65389
NA,"""Colorado""","""08""","""2016""","""2016""","""Unknown or Not Stated""","""9""",10
NA,"""Colorado""","""08""","""2017""","""2017""","""Yes""","""1""",1110
NA,"""Colorado""","""08""","""2017""","""2017""","""No""","""2""",63261
NA,"""Colorado""","""08""","""2017""","""2017""","""Unknown or Not Stated""","""9""",11
NA,"""Colorado""","""08""","""2018""","""2018""","""Yes""","""1""",1190
NA,"""Colorado""","""08""","""2018""","""2018""","""No""","""2""",61688
NA,"""Colorado""","""08""","""2019""","""2019""","""Yes""","""1""",1002
NA,"""Colorado""","""08""","""2019""","""2019""","""No""","""2""",61859
NA,"""Colorado""","""08""","""2020""","""2020""","""Yes""","""1""",1080
NA,"""Colorado""","""08""","""2020""","""2020""","""No""","""2""",60403
NA,"""Colorado""","""08""","""2020""","""2020""","""Unknown or Not Stated""","""9""",11
NA,"""Colorado""","""08""","""2021""","""2021""","""Yes""","""1""",1210
NA,"""Colorado""","""08""","""2021""","""2021""","""No""","""2""",61734
NA,"""Connecticut""","""09""","""2016""","""2016""","""Yes""","""1""",336
NA,"""Connecticut""","""09""","""2016""","""2016""","""No""","""2""",35065
NA,"""Connecticut""","""09""","""2016""","""2016""","""Unknown or Not Stated""","""9""",614
NA,"""Connecticut""","""09""","""2017""","""2017""","""Yes""","""1""",276
NA,"""Connecticut""","""09""","""2017""","""2017""","""No""","""2""",34698
NA,"""Connecticut""","""09""","""2017""","""2017""","""Unknown or Not Stated""","""9""",247
NA,"""Connecticut""","""09""","""2018""","""2018""","""Yes""","""1""",322
NA,"""Connecticut""","""09""","""2018""","""2018""","""No""","""2""",34315
NA,"""Connecticut""","""09""","""2018""","""2018""","""Unknown or Not Stated""","""9""",88
NA,"""Connecticut""","""09""","""2019""","""2019""","""Yes""","""1""",279
NA,"""Connecticut""","""09""","""2019""","""2019""","""No""","""2""",33895
NA,"""Connecticut""","""09""","""2019""","""2019""","""Unknown or Not Stated""","""9""",84
NA,"""Connecticut""","""09""","""2020""","""2020""","""Yes""","""1""",342
NA,"""Connecticut""","""09""","""2020""","""2020""","""No""","""2""",33028
NA,"""Connecticut""","""09""","""2020""","""2020""","""Unknown or Not Stated""","""9""",90
NA,"""Connecticut""","""09""","""2021""","""2021""","""Yes""","""1""",384
NA,"""Connecticut""","""09""","""2021""","""2021""","""No""","""2""",35256
NA,"""Connecticut""","""09""","""2021""","""2021""","""Unknown or Not Stated""","""9""",30
NA,"""Delaware""","""10""","""2016""","""2016""","""Yes""","""1""",222
NA,"""Delaware""","""10""","""2016""","""2016""","""No""","""2""",10770
NA,"""Delaware""","""10""","""2017""","""2017""","""Yes""","""1""",268
NA,"""Delaware""","""10""","""2017""","""2017""","""No""","""2""",10586
NA,"""Delaware""","""10""","""2018""","""2018""","""Yes""","""1""",254
NA,"""Delaware""","""10""","""2018""","""2018""","""No""","""2""",10363
NA,"""Delaware""","""10""","""2019""","""2019""","""Yes""","""1""",289
NA,"""Delaware""","""10""","""2019""","""2019""","""No""","""2""",10227
NA,"""Delaware""","""10""","""2019""","""2019""","""Unknown or Not Stated""","""9""",46
NA,"""Delaware""","""10""","""2020""","""2020""","""Yes""","""1""",204
NA,"""Delaware""","""10""","""2020""","""2020""","""No""","""2""",10069
NA,"""Delaware""","""10""","""2020""","""2020""","""Unknown or Not Stated""","""9""",119
NA,"""Delaware""","""10""","""2021""","""2021""","""Yes""","""1""",180
NA,"""Delaware""","""10""","""2021""","""2021""","""No""","""2""",10213
NA,"""Delaware""","""10""","""2021""","""2021""","""Unknown or Not Stated""","""9""",89
NA,"""District of Columbia""","""11""","""2016""","""2016""","""Yes""","""1""",145
NA,"""District of Columbia""","""11""","""2016""","""2016""","""No""","""2""",9697
NA,"""District of Columbia""","""11""","""2016""","""2016""","""Unknown or Not Stated""","""9""",16
NA,"""District of Columbia""","""11""","""2017""","""2017""","""Yes""","""1""",148
NA,"""District of Columbia""","""11""","""2017""","""2017""","""No""","""2""",9409
NA,"""District of Columbia""","""11""","""2018""","""2018""","""Yes""","""1""",161
NA,"""District of Columbia""","""11""","""2018""","""2018""","""No""","""2""",9048
NA,"""District of Columbia""","""11""","""2019""","""2019""","""Yes""","""1""",161
NA,"""District of Columbia""","""11""","""2019""","""2019""","""No""","""2""",8912
