"""Notes""","""State of Residence""","""State of Residence Code""","""OE Gestational Age Recode 10""","""OE Gestational Age Recode 10 Code""","""Year""","""Year Code""","Births"
NA,"""Alaska""","""02""","""20 - 27 weeks""","""02""","""2020""","""2020""",51
NA,"""Alaska""","""02""","""20 - 27 weeks""","""02""","""2021""","""2021""",51
NA,"""Alaska""","""02""","""28 - 31 weeks""","""03""","""2016""","""2016""",69
NA,"""Alaska""","""02""","""28 - 31 weeks""","""03""","""2017""","""2017""",82
NA,"""Alaska""","""02""","""28 - 31 weeks""","""03""","""2018""","""2018""",81
NA,"""Alaska""","""02""","""28 - 31 weeks""","""03""","""2019""","""2019""",64
NA,"""Alaska""","""02""","""28 - 31 weeks""","""03""","""2020""","""2020""",72
NA,"""Alaska""","""02""","""28 - 31 weeks""","""03""","""2021""","""2021""",87
NA,"""Alaska""","""02""","""32 - 35 weeks""","""04""","""2016""","""2016""",449
NA,"""Alaska""","""02""","""32 - 35 weeks""","""04""","""2017""","""2017""",434
NA,"""Alaska""","""02""","""32 - 35 weeks""","""04""","""2018""","""2018""",416
NA,"""Alaska""","""02""","""32 - 35 weeks""","""04""","""2019""","""2019""",453
NA,"""Alaska""","""02""","""32 - 35 weeks""","""04""","""2020""","""2020""",397
NA,"""Alaska""","""02""","""32 - 35 weeks""","""04""","""2021""","""2021""",408
NA,"""Alaska""","""02""","""36 weeks""","""05""","""2016""","""2016""",423
NA,"""Alaska""","""02""","""36 weeks""","""05""","""2017""","""2017""",369
NA,"""Alaska""","""02""","""36 weeks""","""05""","""2018""","""2018""",386
NA,"""Alaska""","""02""","""36 weeks""","""05""","""2019""","""2019""",401
NA,"""Alaska""","""02""","""36 weeks""","""05""","""2020""","""2020""",405
NA,"""Alaska""","""02""","""36 weeks""","""05""","""2021""","""2021""",402
NA,"""Alaska""","""02""","""37 - 39 weeks""","""06""","""2016""","""2016""",6421
NA,"""Alaska""","""02""","""37 - 39 weeks""","""06""","""2017""","""2017""",6004
NA,"""Alaska""","""02""","""37 - 39 weeks""","""06""","""2018""","""2018""",5934
NA,"""Alaska""","""02""","""37 - 39 weeks""","""06""","""2019""","""2019""",5844
NA,"""Alaska""","""02""","""37 - 39 weeks""","""06""","""2020""","""2020""",5827
NA,"""Alaska""","""02""","""37 - 39 weeks""","""06""","""2021""","""2021""",5713
NA,"""Alaska""","""02""","""40 weeks""","""07""","""2016""","""2016""",2596
NA,"""Alaska""","""02""","""40 weeks""","""07""","""2017""","""2017""",2375
NA,"""Alaska""","""02""","""40 weeks""","""07""","""2018""","""2018""",2213
NA,"""Alaska""","""02""","""40 weeks""","""07""","""2019""","""2019""",2155
NA,"""Alaska""","""02""","""40 weeks""","""07""","""2020""","""2020""",1946
NA,"""Alaska""","""02""","""40 weeks""","""07""","""2021""","""2021""",1898
NA,"""Alaska""","""02""","""41 weeks""","""08""","""2016""","""2016""",1117
NA,"""Alaska""","""02""","""41 weeks""","""08""","""2017""","""2017""",1035
NA,"""Alaska""","""02""","""41 weeks""","""08""","""2018""","""2018""",917
NA,"""Alaska""","""02""","""41 weeks""","""08""","""2019""","""2019""",798
NA,"""Alaska""","""02""","""41 weeks""","""08""","""2020""","""2020""",706
NA,"""Alaska""","""02""","""41 weeks""","""08""","""2021""","""2021""",750
NA,"""Alaska""","""02""","""42 weeks or more""","""09""","""2016""","""2016""",71
NA,"""Alaska""","""02""","""42 weeks or more""","""09""","""2017""","""2017""",89
NA,"""Alaska""","""02""","""42 weeks or more""","""09""","""2018""","""2018""",83
NA,"""Alaska""","""02""","""42 weeks or more""","""09""","""2019""","""2019""",62
NA,"""Alaska""","""02""","""42 weeks or more""","""09""","""2020""","""2020""",54
NA,"""Alaska""","""02""","""42 weeks or more""","""09""","""2021""","""2021""",44
NA,"""Alaska""","""02""","""Unknown or Not Stated""","""10""","""2020""","""2020""",10
NA,"""Alaska""","""02""","""Unknown or Not Stated""","""10""","""2021""","""2021""",13
NA,"""Arizona""","""04""","""Under 20 weeks""","""01""","""2016""","""2016""",30
NA,"""Arizona""","""04""","""Under 20 weeks""","""01""","""2017""","""2017""",25
NA,"""Arizona""","""04""","""Under 20 weeks""","""01""","""2018""","""2018""",18
NA,"""Arizona""","""04""","""Under 20 weeks""","""01""","""2019""","""2019""",23
NA,"""Arizona""","""04""","""Under 20 weeks""","""01""","""2020""","""2020""",24
NA,"""Arizona""","""04""","""Under 20 weeks""","""01""","""2021""","""2021""",32
NA,"""Arizona""","""04""","""20 - 27 weeks""","""02""","""2016""","""2016""",452
NA,"""Arizona""","""04""","""20 - 27 weeks""","""02""","""2017""","""2017""",437
NA,"""Arizona""","""04""","""20 - 27 weeks""","""02""","""2018""","""2018""",446
NA,"""Arizona""","""04""","""20 - 27 weeks""","""02""","""2019""","""2019""",394
NA,"""Arizona""","""04""","""20 - 27 weeks""","""02""","""2020""","""2020""",405
NA,"""Arizona""","""04""","""20 - 27 weeks""","""02""","""2021""","""2021""",438
NA,"""Arizona""","""04""","""28 - 31 weeks""","""03""","""2016""","""2016""",637
NA,"""Arizona""","""04""","""28 - 31 weeks""","""03""","""2017""","""2017""",628
NA,"""Arizona""","""04""","""28 - 31 weeks""","""03""","""2018""","""2018""",663
NA,"""Arizona""","""04""","""28 - 31 weeks""","""03""","""2019""","""2019""",648
NA,"""Arizona""","""04""","""28 - 31 weeks""","""03""","""2020""","""2020""",554
NA,"""Arizona""","""04""","""28 - 31 weeks""","""03""","""2021""","""2021""",650
NA,"""Arizona""","""04""","""32 - 35 weeks""","""04""","""2016""","""2016""",3331
NA,"""Arizona""","""04""","""32 - 35 weeks""","""04""","""2017""","""2017""",3342
NA,"""Arizona""","""04""","""32 - 35 weeks""","""04""","""2018""","""2018""",3394
NA,"""Arizona""","""04""","""32 - 35 weeks""","""04""","""2019""","""2019""",3279
NA,"""Arizona""","""04""","""32 - 35 weeks""","""04""","""2020""","""2020""",3234
NA,"""Arizona""","""04""","""32 - 35 weeks""","""04""","""2021""","""2021""",3475
NA,"""Arizona""","""04""","""36 weeks""","""05""","""2016""","""2016""",3204
NA,"""Arizona""","""04""","""36 weeks""","""05""","""2017""","""2017""",3146
NA,"""Arizona""","""04""","""36 weeks""","""05""","""2018""","""2018""",3152
NA,"""Arizona""","""04""","""36 weeks""","""05""","""2019""","""2019""",3091
NA,"""Arizona""","""04""","""36 weeks""","""05""","""2020""","""2020""",3072
NA,"""Arizona""","""04""","""36 weeks""","""05""","""2021""","""2021""",3200
NA,"""Arizona""","""04""","""37 - 39 weeks""","""06""","""2016""","""2016""",54292
NA,"""Arizona""","""04""","""37 - 39 weeks""","""06""","""2017""","""2017""",52693
NA,"""Arizona""","""04""","""37 - 39 weeks""","""06""","""2018""","""2018""",52934
NA,"""Arizona""","""04""","""37 - 39 weeks""","""06""","""2019""","""2019""",52862
NA,"""Arizona""","""04""","""37 - 39 weeks""","""06""","""2020""","""2020""",50904
NA,"""Arizona""","""04""","""37 - 39 weeks""","""06""","""2021""","""2021""",51526
NA,"""Arizona""","""04""","""40 weeks""","""07""","""2016""","""2016""",17118
NA,"""Arizona""","""04""","""40 weeks""","""07""","""2017""","""2017""",16335
NA,"""Arizona""","""04""","""40 weeks""","""07""","""2018""","""2018""",15417
NA,"""Arizona""","""04""","""40 weeks""","""07""","""2019""","""2019""",14868
NA,"""Arizona""","""04""","""40 weeks""","""07""","""2020""","""2020""",14328
NA,"""Arizona""","""04""","""40 weeks""","""07""","""2021""","""2021""",14318
NA,"""Arizona""","""04""","""41 weeks""","""08""","""2016""","""2016""",5133
NA,"""Arizona""","""04""","""41 weeks""","""08""","""2017""","""2017""",4930
NA,"""Arizona""","""04""","""41 weeks""","""08""","""2018""","""2018""",4413
NA,"""Arizona""","""04""","""41 weeks""","""08""","""2019""","""2019""",3998
NA,"""Arizona""","""04""","""41 weeks""","""08""","""2020""","""2020""",4171
NA,"""Arizona""","""04""","""41 weeks""","""08""","""2021""","""2021""",4066
NA,"""Arizona""","""04""","""42 weeks or more""","""09""","""2016""","""2016""",231
NA,"""Arizona""","""04""","""42 weeks or more""","""09""","""2017""","""2017""",213
NA,"""Arizona""","""04""","""42 weeks or more""","""09""","""2018""","""2018""",190
NA,"""Arizona""","""04""","""42 weeks or more""","""09""","""2019""","""2019""",160
NA,"""Arizona""","""04""","""42 weeks or more""","""09""","""2020""","""2020""",159
NA,"""Arizona""","""04""","""42 weeks or more""","""09""","""2021""","""2021""",153
NA,"""Arizona""","""04""","""Unknown or Not Stated""","""10""","""2016""","""2016""",92
NA,"""Arizona""","""04""","""Unknown or Not Stated""","""10""","""2017""","""2017""",123
NA,"""Arizona""","""04""","""Unknown or Not Stated""","""10""","""2018""","""2018""",96
NA,"""Arizona""","""04""","""Unknown or Not Stated""","""10""","""2019""","""2019""",52
NA,"""Arizona""","""04""","""Unknown or Not Stated""","""10""","""2020""","""2020""",96
NA,"""Arizona""","""04""","""Unknown or Not Stated""","""10""","""2021""","""2021""",58
NA,"""Arkansas""","""05""","""Under 20 weeks""","""01""","""2017""","""2017""",17
NA,"""Arkansas""","""05""","""Under 20 weeks""","""01""","""2018""","""2018""",10
NA,"""Arkansas""","""05""","""Under 20 weeks""","""01""","""2019""","""2019""",18
NA,"""Arkansas""","""05""","""Under 20 weeks""","""01""","""2020""","""2020""",15
NA,"""Arkansas""","""05""","""Under 20 weeks""","""01""","""2021""","""2021""",19
NA,"""Arkansas""","""05""","""20 - 27 weeks""","""02""","""2016""","""2016""",276
NA,"""Arkansas""","""05""","""20 - 27 weeks""","""02""","""2017""","""2017""",270
NA,"""Arkansas""","""05""","""20 - 27 weeks""","""02""","""2018""","""2018""",256
NA,"""Arkansas""","""05""","""20 - 27 weeks""","""02""","""2019""","""2019""",270
NA,"""Arkansas""","""05""","""20 - 27 weeks""","""02""","""2020""","""2020""",238
NA,"""Arkansas""","""05""","""20 - 27 weeks""","""02""","""2021""","""2021""",263
NA,"""Arkansas""","""05""","""28 - 31 weeks""","""03""","""2016""","""2016""",422
NA,"""Arkansas""","""05""","""28 - 31 weeks""","""03""","""2017""","""2017""",386
NA,"""Arkansas""","""05""","""28 - 31 weeks""","""03""","""2018""","""2018""",378
NA,"""Arkansas""","""05""","""28 - 31 weeks""","""03""","""2019""","""2019""",405
NA,"""Arkansas""","""05""","""28 - 31 weeks""","""03""","""2020""","""2020""",352
NA,"""Arkansas""","""05""","""28 - 31 weeks""","""03""","""2021""","""2021""",422
NA,"""Arkansas""","""05""","""32 - 35 weeks""","""04""","""2016""","""2016""",1763
NA,"""Arkansas""","""05""","""32 - 35 weeks""","""04""","""2017""","""2017""",1886
NA,"""Arkansas""","""05""","""32 - 35 weeks""","""04""","""2018""","""2018""",1929
NA,"""Arkansas""","""05""","""32 - 35 weeks""","""04""","""2019""","""2019""",1885
NA,"""Arkansas""","""05""","""32 - 35 weeks""","""04""","""2020""","""2020""",1922
NA,"""Arkansas""","""05""","""32 - 35 weeks""","""04""","""2021""","""2021""",1910
NA,"""Arkansas""","""05""","""36 weeks""","""05""","""2016""","""2016""",1687
NA,"""Arkansas""","""05""","""36 weeks""","""05""","""2017""","""2017""",1709
NA,"""Arkansas""","""05""","""36 weeks""","""05""","""2018""","""2018""",1726
NA,"""Arkansas""","""05""","""36 weeks""","""05""","""2019""","""2019""",1784
NA,"""Arkansas""","""05""","""36 weeks""","""05""","""2020""","""2020""",1615
NA,"""Arkansas""","""05""","""36 weeks""","""05""","""2021""","""2021""",1714
NA,"""Arkansas""","""05""","""37 - 39 weeks""","""06""","""2016""","""2016""",25821
NA,"""Arkansas""","""05""","""37 - 39 weeks""","""06""","""2017""","""2017""",25585
NA,"""Arkansas""","""05""","""37 - 39 weeks""","""06""","""2018""","""2018""",25498
NA,"""Arkansas""","""05""","""37 - 39 weeks""","""06""","""2019""","""2019""",25723
NA,"""Arkansas""","""05""","""37 - 39 weeks""","""06""","""2020""","""2020""",25282
NA,"""Arkansas""","""05""","""37 - 39 weeks""","""06""","""2021""","""2021""",25787
NA,"""Arkansas""","""05""","""40 weeks""","""07""","""2016""","""2016""",6806
NA,"""Arkansas""","""05""","""40 weeks""","""07""","""2017""","""2017""",6271
NA,"""Arkansas""","""05""","""40 weeks""","""07""","""2018""","""2018""",5943
NA,"""Arkansas""","""05""","""40 weeks""","""07""","""2019""","""2019""",5487
NA,"""Arkansas""","""05""","""40 weeks""","""07""","""2020""","""2020""",4904
NA,"""Arkansas""","""05""","""40 weeks""","""07""","""2021""","""2021""",4907
NA,"""Arkansas""","""05""","""41 weeks""","""08""","""2016""","""2016""",1397
NA,"""Arkansas""","""05""","""41 weeks""","""08""","""2017""","""2017""",1315
NA,"""Arkansas""","""05""","""41 weeks""","""08""","""2018""","""2018""",1163
NA,"""Arkansas""","""05""","""41 weeks""","""08""","""2019""","""2019""",923
NA,"""Arkansas""","""05""","""41 weeks""","""08""","""2020""","""2020""",835
NA,"""Arkansas""","""05""","""41 weeks""","""08""","""2021""","""2021""",864
NA,"""Arkansas""","""05""","""42 weeks or more""","""09""","""2016""","""2016""",70
NA,"""Arkansas""","""05""","""42 weeks or more""","""09""","""2017""","""2017""",65
NA,"""Arkansas""","""05""","""42 weeks or more""","""09""","""2018""","""2018""",89
NA,"""Arkansas""","""05""","""42 weeks or more""","""09""","""2019""","""2019""",62
NA,"""Arkansas""","""05""","""42 weeks or more""","""09""","""2020""","""2020""",62
NA,"""Arkansas""","""05""","""42 weeks or more""","""09""","""2021""","""2021""",54
NA,"""Arkansas""","""05""","""Unknown or Not Stated""","""10""","""2016""","""2016""",23
NA,"""Arkansas""","""05""","""Unknown or Not Stated""","""10""","""2017""","""2017""",16
NA,"""Arkansas""","""05""","""Unknown or Not Stated""","""10""","""2018""","""2018""",26
NA,"""Arkansas""","""05""","""Unknown or Not Stated""","""10""","""2020""","""2020""",26
NA,"""Arkansas""","""05""","""Unknown or Not Stated""","""10""","""2021""","""2021""",25
NA,"""California""","""06""","""Under 20 weeks""","""01""","""2016""","""2016""",73
NA,"""California""","""06""","""Under 20 weeks""","""01""","""2017""","""2017""",90
NA,"""California""","""06""","""Under 20 weeks""","""01""","""2018""","""2018""",80
NA,"""California""","""06""","""Under 20 weeks""","""01""","""2019""","""2019""",96
NA,"""California""","""06""","""Under 20 weeks""","""01""","""2020""","""2020""",77
NA,"""California""","""06""","""Under 20 weeks""","""01""","""2021""","""2021""",70
NA,"""California""","""06""","""20 - 27 weeks""","""02""","""2016""","""2016""",2405
NA,"""California""","""06""","""20 - 27 weeks""","""02""","""2017""","""2017""",2308
NA,"""California""","""06""","""20 - 27 weeks""","""02""","""2018""","""2018""",2298
NA,"""California""","""06""","""20 - 27 weeks""","""02""","""2019""","""2019""",2225
NA,"""California""","""06""","""20 - 27 weeks""","""02""","""2020""","""2020""",2048
NA,"""California""","""06""","""20 - 27 weeks""","""02""","""2021""","""2021""",2146
NA,"""California""","""06""","""28 - 31 weeks""","""03""","""2016""","""2016""",3725
NA,"""California""","""06""","""28 - 31 weeks""","""03""","""2017""","""2017""",3601
NA,"""California""","""06""","""28 - 31 weeks""","""03""","""2018""","""2018""",3510
NA,"""California""","""06""","""28 - 31 weeks""","""03""","""2019""","""2019""",3823
NA,"""California""","""06""","""28 - 31 weeks""","""03""","""2020""","""2020""",3573
NA,"""California""","""06""","""28 - 31 weeks""","""03""","""2021""","""2021""",3909
NA,"""California""","""06""","""32 - 35 weeks""","""04""","""2016""","""2016""",19064
NA,"""California""","""06""","""32 - 35 weeks""","""04""","""2017""","""2017""",18172
NA,"""California""","""06""","""32 - 35 weeks""","""04""","""2018""","""2018""",18019
NA,"""California""","""06""","""32 - 35 weeks""","""04""","""2019""","""2019""",17426
NA,"""California""","""06""","""32 - 35 weeks""","""04""","""2020""","""2020""",15933
NA,"""California""","""06""","""32 - 35 weeks""","""04""","""2021""","""2021""",16720
NA,"""California""","""06""","""36 weeks""","""05""","""2016""","""2016""",16807
NA,"""California""","""06""","""36 weeks""","""05""","""2017""","""2017""",16736
NA,"""California""","""06""","""36 weeks""","""05""","""2018""","""2018""",16057
NA,"""California""","""06""","""36 weeks""","""05""","""2019""","""2019""",16388
NA,"""California""","""06""","""36 weeks""","""05""","""2020""","""2020""",15138
NA,"""California""","""06""","""36 weeks""","""05""","""2021""","""2021""",15598
NA,"""California""","""06""","""37 - 39 weeks""","""06""","""2016""","""2016""",297339
NA,"""California""","""06""","""37 - 39 weeks""","""06""","""2017""","""2017""",287098
NA,"""California""","""06""","""37 - 39 weeks""","""06""","""2018""","""2018""",278659
NA,"""California""","""06""","""37 - 39 weeks""","""06""","""2019""","""2019""",277906
NA,"""California""","""06""","""37 - 39 weeks""","""06""","""2020""","""2020""",266177
NA,"""California""","""06""","""37 - 39 weeks""","""06""","""2021""","""2021""",268862
NA,"""California""","""06""","""40 weeks""","""07""","""2016""","""2016""",111602
NA,"""California""","""06""","""40 weeks""","""07""","""2017""","""2017""",106574
NA,"""California""","""06""","""40 weeks""","""07""","""2018""","""2018""",101541
NA,"""California""","""06""","""40 weeks""","""07""","""2019""","""2019""",97216
NA,"""California""","""06""","""40 weeks""","""07""","""2020""","""2020""",89460
NA,"""California""","""06""","""40 weeks""","""07""","""2021""","""2021""",86176
NA,"""California""","""06""","""41 weeks""","""08""","""2016""","""2016""",35499
NA,"""California""","""06""","""41 weeks""","""08""","""2017""","""2017""",35042
NA,"""California""","""06""","""41 weeks""","""08""","""2018""","""2018""",33103
NA,"""California""","""06""","""41 weeks""","""08""","""2019""","""2019""",30007
NA,"""California""","""06""","""41 weeks""","""08""","""2020""","""2020""",26640
NA,"""California""","""06""","""41 weeks""","""08""","""2021""","""2021""",25968
NA,"""California""","""06""","""42 weeks or more""","""09""","""2016""","""2016""",1881
NA,"""California""","""06""","""42 weeks or more""","""09""","""2017""","""2017""",1716
NA,"""California""","""06""","""42 weeks or more""","""09""","""2018""","""2018""",1404
NA,"""California""","""06""","""42 weeks or more""","""09""","""2019""","""2019""",1187
NA,"""California""","""06""","""42 weeks or more""","""09""","""2020""","""2020""",1038
NA,"""California""","""06""","""42 weeks or more""","""09""","""2021""","""2021""",977
NA,"""California""","""06""","""Unknown or Not Stated""","""10""","""2016""","""2016""",432
NA,"""California""","""06""","""Unknown or Not Stated""","""10""","""2017""","""2017""",321
NA,"""California""","""06""","""Unknown or Not Stated""","""10""","""2018""","""2018""",249
NA,"""California""","""06""","""Unknown or Not Stated""","""10""","""2019""","""2019""",205
NA,"""California""","""06""","""Unknown or Not Stated""","""10""","""2020""","""2020""",175
NA,"""California""","""06""","""Unknown or Not Stated""","""10""","""2021""","""2021""",182
NA,"""Colorado""","""08""","""Under 20 weeks""","""01""","""2016""","""2016""",15
NA,"""Colorado""","""08""","""Under 20 weeks""","""01""","""2017""","""2017""",10
NA,"""Colorado""","""08""","""Under 20 weeks""","""01""","""2018""","""2018""",16
NA,"""Colorado""","""08""","""Under 20 weeks""","""01""","""2019""","""2019""",21
NA,"""Colorado""","""08""","""Under 20 weeks""","""01""","""2020""","""2020""",23
NA,"""Colorado""","""08""","""Under 20 weeks""","""01""","""2021""","""2021""",26
NA,"""Colorado""","""08""","""20 - 27 weeks""","""02""","""2016""","""2016""",315
NA,"""Colorado""","""08""","""20 - 27 weeks""","""02""","""2017""","""2017""",328
NA,"""Colorado""","""08""","""20 - 27 weeks""","""02""","""2018""","""2018""",315
NA,"""Colorado""","""08""","""20 - 27 weeks""","""02""","""2019""","""2019""",293
NA,"""Colorado""","""08""","""20 - 27 weeks""","""02""","""2020""","""2020""",317
NA,"""Colorado""","""08""","""20 - 27 weeks""","""02""","""2021""","""2021""",302
NA,"""Colorado""","""08""","""28 - 31 weeks""","""03""","""2016""","""2016""",500
NA,"""Colorado""","""08""","""28 - 31 weeks""","""03""","""2017""","""2017""",493
NA,"""Colorado""","""08""","""28 - 31 weeks""","""03""","""2018""","""2018""",556
NA,"""Colorado""","""08""","""28 - 31 weeks""","""03""","""2019""","""2019""",528
NA,"""Colorado""","""08""","""28 - 31 weeks""","""03""","""2020""","""2020""",484
NA,"""Colorado""","""08""","""28 - 31 weeks""","""03""","""2021""","""2021""",512
NA,"""Colorado""","""08""","""32 - 35 weeks""","""04""","""2016""","""2016""",2708
NA,"""Colorado""","""08""","""32 - 35 weeks""","""04""","""2017""","""2017""",2634
NA,"""Colorado""","""08""","""32 - 35 weeks""","""04""","""2018""","""2018""",2736
NA,"""Colorado""","""08""","""32 - 35 weeks""","""04""","""2019""","""2019""",2732
NA,"""Colorado""","""08""","""32 - 35 weeks""","""04""","""2020""","""2020""",2624
NA,"""Colorado""","""08""","""32 - 35 weeks""","""04""","""2021""","""2021""",2870
NA,"""Colorado""","""08""","""36 weeks""","""05""","""2016""","""2016""",2360
NA,"""Colorado""","""08""","""36 weeks""","""05""","""2017""","""2017""",2173
NA,"""Colorado""","""08""","""36 weeks""","""05""","""2018""","""2018""",2172
NA,"""Colorado""","""08""","""36 weeks""","""05""","""2019""","""2019""",2430
NA,"""Colorado""","""08""","""36 weeks""","""05""","""2020""","""2020""",2171
NA,"""Colorado""","""08""","""36 weeks""","""05""","""2021""","""2021""",2423
NA,"""Colorado""","""08""","""37 - 39 weeks""","""06""","""2016""","""2016""",39096
NA,"""Colorado""","""08""","""37 - 39 weeks""","""06""","""2017""","""2017""",38518
NA,"""Colorado""","""08""","""37 - 39 weeks""","""06""","""2018""","""2018""",38256
NA,"""Colorado""","""08""","""37 - 39 weeks""","""06""","""2019""","""2019""",39468
NA,"""Colorado""","""08""","""37 - 39 weeks""","""06""","""2020""","""2020""",39338
